1d-7d,,,,,,,Średnia z 7dni,Date,Zamknięte przypadki,Suma Zgonów,DR,Przyrost dzienny ozdrowieńców,Przyrost dzienny zgonów,Date1,Prognoza zgonów,,,,FND
526,463,120,143,103,504,370,318,2023-01-11,6009397,118601,1.97,0,14,2023-02-01,6,3295514,43413,1.32,4
463,120,143,103,504,370,342,292,2023-01-12,6009415,118619,1.97,0,18,2023-02-02,6,3295532,43431,1.32,4
120,143,103,504,370,342,324,272,2023-01-13,6009422,118626,1.97,0,7,2023-02-03,5,3295539,43438,1.32,4
143,103,504,370,342,324,340,304,2023-01-14,6009433,118637,1.97,0,11,2023-02-04,6,3295550,43449,1.32,4
103,504,370,342,324,340,77,294,2023-01-15,6009433,118637,1.97,0,0,2023-02-05,6,3295550,43449,1.32,4
504,370,342,324,340,77,55,287,2023-01-16,6009433,118637,1.97,0,0,2023-02-06,6,3295550,43449,1.32,4
370,342,324,340,77,55,514,289,2023-01-17,6009442,118646,1.97,0,9,2023-02-07,6,3295559,43458,1.32,4
342,324,340,77,55,514,378,290,2023-01-18,6009448,118652,1.97,0,6,2023-02-08,6,3295565,43464,1.32,4
324,340,77,55,514,378,388,297,2023-01-19,6009457,118661,1.97,0,9,2023-02-09,6,3295574,43473,1.32,4
340,77,55,514,378,388,331,298,2023-01-20,6009460,118664,1.97,0,3,2023-02-10,6,3295577,43476,1.32,4
77,55,514,378,388,331,415,308,2023-01-21,6009463,118667,1.97,0,3,2023-02-11,6,3295580,43479,1.32,4
55,514,378,388,331,415,73,308,2023-01-22,6009463,118667,1.97,0,0,2023-02-12,6,3295580,43479,1.32,4
514,378,388,331,415,73,65,309,2023-01-23,6009463,118667,1.97,0,0,2023-02-13,6,3295580,43479,1.32,4
378,388,331,415,73,65,687,334,2023-01-24,6009478,118682,1.97,0,15,2023-02-14,7,3295595,43494,1.32,4
388,331,415,73,65,687,494,350,2023-01-25,6009484,118688,1.98,0,6,2023-02-15,7,3295601,43500,1.32,5
331,415,73,65,687,494,532,371,2023-01-26,6009487,118691,1.98,0,3,2023-02-16,7,3295604,43503,1.32,5
415,73,65,687,494,532,540,401,2023-01-27,6009495,118699,1.98,0,8,2023-02-17,8,3295612,43511,1.32,5
73,65,687,494,532,540,520,416,2023-01-28,6009497,118701,1.98,0,2,2023-02-18,8,3295614,43513,1.32,5
65,687,494,532,540,520,50,413,2023-01-29,6009497,118701,1.98,0,0,2023-02-19,8,3295614,43513,1.32,5
687,494,532,540,520,50,53,411,2023-01-30,6009497,118701,1.98,0,0,2023-02-20,8,3295614,43513,1.32,5
494,532,540,520,50,53,989,454,2023-01-31,6009509,118713,1.98,0,12,2023-02-21,9,3295626,43525,1.32,6
532,540,520,50,53,989,836,503,2023-02-01,6009518,118722,1.98,0,9,2023-02-22,10,3295635,43534,1.32,7
540,520,50,53,989,836,811,543,2023-02-02,6009522,118726,1.98,0,4,2023-02-23,11,3295639,43538,1.32,7
520,50,53,989,836,811,1124,626,2023-02-03,6009525,118729,1.98,0,3,2023-02-24,12,3295642,43541,1.32,8
50,53,989,836,811,1124,820,669,2023-02-04,6009530,118734,1.98,0,5,2023-02-25,13,3295647,43546,1.32,9
53,989,836,811,1124,820,121,679,2023-02-05,6009530,118734,1.98,0,0,2023-02-26,13,3295647,43546,1.32,9
989,836,811,1124,820,121,129,690,2023-02-06,6009530,118734,1.98,0,0,2023-02-27,14,3295647,43546,1.32,9
836,811,1124,820,121,129,1447,755,2023-02-07,6009536,118740,1.98,0,6,2023-02-28,15,3295653,43552,1.32,10
811,1124,820,121,129,1447,1211,809,2023-02-08,6009544,118748,1.98,0,8,2023-03-01,16,3295661,43560,1.32,11
1124,820,121,129,1447,1211,1170,860,2023-02-09,6009549,118753,1.98,0,5,2023-03-02,17,3295666,43565,1.32,11
820,121,129,1447,1211,1170,1179,868,2023-02-10,6009557,118761,1.98,0,8,2023-03-03,17,3295674,43573,1.32,11
121,129,1447,1211,1170,1179,1350,944,2023-02-11,6009561,118765,1.98,0,4,2023-03-04,19,3295678,43577,1,12
129,1447,1211,1170,1179,1350,169,951,2023-02-12,6009561,118765,1.98,0,0,2023-03-05,18,3295678,43577,1,12
1447,1211,1170,1179,1350,169,200,961,2023-02-13,6009561,118765,1.98,0,0,2023-03-06,19,3295678,43577,1.32,13
1211,1170,1179,1350,169,200,2317,1085,2023-02-14,6009567,118771,1.98,0,6,2023-03-07,21,3295684,43583,1.32,14
1170,1179,1350,169,200,2317,1876,1180,2023-02-15,6009582,118786,1.98,0,15,2023-03-08,23,3295699,43598,1.32,16
1179,1350,169,200,2317,1876,1977,1295,2023-02-16,6009591,118795,1.98,0,9,2023-03-09,26,3295708,43607,1.32,17
1350,169,200,2317,1876,1977,1923,1402,2023-02-17,6009599,118803,1.98,0,8,2023-03-10,28,3295716,43615,1.32,19
169,200,2317,1876,1977,1923,2030,1499,2023-02-18,6009608,118812,1.98,0,9,2023-03-11,30,3295725,43624,1,20
200,2317,1876,1977,1923,2030,280,1515,2023-02-19,6009608,118812,1.98,0,0,2023-03-12,30,3295725,43624,1,20
2317,1876,1977,1923,2030,280,280,1526,2023-02-20,6009608,118812,1.98,0,0,2023-03-13,30,3295725,43624,1.32,20
1876,1977,1923,2030,280,280,3431,1685,2023-02-21,6009615,118819,1.98,0,7,2023-03-14,33,3295732,43631,1.32,22
1977,1923,2030,280,280,3431,2770,1813,2023-02-22,6009622,118826,1.98,0,7,2023-03-15,36,3295739,43638,1.32,24
1923,2030,280,280,3431,2770,2813,1932,2023-02-23,6009632,118836,1.98,0,10,2023-03-16,38,3295749,43648,1.32,26
2030,280,280,3431,2770,2813,2655,2037,2023-02-24,6009642,118846,1.98,0,10,2023-03-17,40,3295759,43658,1.32,27
280,280,3431,2770,2813,2655,2595,2118,2023-02-25,6009650,118854,1.98,0,8,2023-03-18,42,3295767,43666,1,28
280,3431,2770,2813,2655,2595,427,2139,2023-02-26,6009650,118854,1.98,0,0,2023-03-19,42,3295767,43666,1,28
3431,2770,2813,2655,2595,427,432,2160,2023-02-27,6009650,118854,1.98,0,0,2023-03-20,43,3295767,43666,1.32,29
2770,2813,2655,2595,427,432,3772,2209,2023-02-28,6009666,118870,1.98,0,16,2023-03-21,44,3295783,43682,1.33,29
2813,2655,2595,427,432,3772,2992,2241,2023-03-01,6009680,118884,1.98,0,14,2023-03-22,44,3295797,43696,1.33,30
2655,2595,427,432,3772,2992,3036,2273,2023-03-02,6009706,118910,1.98,0,26,2023-03-23,45,3295823,43722,1.33,30
2595,427,432,3772,2992,3036,3291,2364,2023-03-03,6009723,118927,1.98,0,17,2023-03-24,47,3295840,43739,1.33,31
427,432,3772,2992,3036,3291,3112,2437,2023-03-04,6009734,118938,1.98,0,11,2023-03-25,48,3295851,43750,1,32
432,3772,2992,3036,3291,3112,427,2437,2023-03-05,6009734,118938,1.98,0,0,2023-03-26,48,3295851,43750,1,32
3772,2992,3036,3291,3112,427,450,2440,2023-03-06,6009734,118938,1.98,0,0,2023-03-27,48,3295851,43750,1.33,32
2992,3036,3291,3112,427,450,4833,2592,2023-03-07,6009752,118956,1.98,0,18,2023-03-28,51,3295869,43768,1.33,34
3036,3291,3112,427,450,4833,3907,2722,2023-03-08,6009771,118975,1.98,0,19,2023-03-29,54,3295888,43787,1.33,36
3291,3112,427,450,4833,3907,3462,2783,2023-03-09,6009792,118996,1.98,0,21,2023-03-30,55,3295909,43808,1.33,37
3112,427,450,4833,3907,3462,3621,2830,2023-03-10,6009798,119002,1.98,0,6,2023-03-31,56,3295915,43814,1.33,38
427,450,4833,3907,3462,3621,3633,2905,2023-03-11,6009812,119016,1.98,0,14,2023-04-01,58,3295929,43828,1,39
450,4833,3907,3462,3621,3633,479,2912,2023-03-12,6009812,119016,1.98,0,0,2023-04-02,58,3295929,43828,1,39
4833,3907,3462,3621,3633,479,535,2924,2023-03-13,6009812,119016,1.98,0,0,2023-04-03,58,3295929,43828,1.33,39
3907,3462,3621,3633,479,535,5083,2960,2023-03-14,6009828,119032,1.98,0,16,2023-04-04,59,3295945,43844,1.33,39
3462,3621,3633,479,535,5083,4071,2983,2023-03-15,6009854,119058,1.98,0,26,2023-04-05,59,3295971,43870,1.33,40
3621,3633,479,535,5083,4071,3661,3012,2023-03-16,6009883,119087,1.98,0,29,2023-04-06,60,3296000,43899,1.33,40
3633,479,535,5083,4071,3661,3364,2975,2023-03-17,6009891,119095,1.98,0,8,2023-04-07,59,3296008,43907,1.33,40
479,535,5083,4071,3661,3364,3203,2914,2023-03-18,6009918,119122,1.98,0,27,2023-04-08,58,3296035,43934,1,39
535,5083,4071,3661,3364,3203,430,2907,2023-03-19,6009918,119122,1.98,0,0,2023-04-09,58,3296035,43934,1,39
5083,4071,3661,3364,3203,430,393,2886,2023-03-20,6009920,119124,1.98,0,2,2023-04-10,57,3296037,43936,1.33,38
4071,3661,3364,3203,430,393,4203,2761,2023-03-21,6009952,119156,1.98,0,32,2023-04-11,55,3296069,43968,1.33,37
3661,3364,3203,430,393,4203,3048,2615,2023-03-22,6009981,119185,1.98,0,29,2023-04-12,52,3296098,43997,1.33,35
