wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,937,233,1170,0.24,0.06,0.31,24,3,21,2398,0,0,8442,1290,7108,44,t0000,2022-10-20
dolnośląskie,bolesławiecki,4,1,5,0.44,0.11,0.56,0,0,0,6,0,0,29,5,23,1,t0201,2022-10-20
dolnośląskie,dzierżoniowski,4,1,5,0.4,0.1,0.5,0,0,0,1,0,0,14,5,9,0,t0202,2022-10-20
dolnośląskie,głogowski,1,0,1,0.11,0.0,0.11,0,0,0,1,0,0,10,1,9,0,t0203,2022-10-20
dolnośląskie,górowski,1,0,1,0.29,0.0,0.29,0,0,0,1,0,0,2,1,1,0,t0204,2022-10-20
dolnośląskie,jaworski,2,0,2,0.4,0.0,0.4,1,1,0,0,0,0,5,3,1,1,t0205,2022-10-20
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,1,0,0,4,1,3,0,t0206,2022-10-20
dolnośląskie,kamiennogórski,0,1,1,0.0,0.23,0.23,0,0,0,3,0,0,5,1,4,0,t0207,2022-10-20
dolnośląskie,kłodzki,7,0,7,0.45,0.0,0.45,1,0,1,5,0,0,17,7,10,0,t0208,2022-10-20
dolnośląskie,legnicki,3,0,3,0.54,0.0,0.54,0,0,0,2,0,0,16,4,12,0,t0209,2022-10-20
dolnośląskie,lubański,1,0,1,0.18,0.0,0.18,0,0,0,4,0,0,6,1,5,0,t0210,2022-10-20
dolnośląskie,lubiński,5,1,6,0.47,0.09,0.57,0,0,0,6,0,0,27,6,21,0,t0211,2022-10-20
dolnośląskie,lwówecki,1,0,1,0.22,0.0,0.22,0,0,0,1,0,0,3,1,2,0,t0212,2022-10-20
dolnośląskie,milicki,2,0,2,0.54,0.0,0.54,0,0,0,0,0,0,4,2,2,0,t0213,2022-10-20
dolnośląskie,oleśnicki,1,0,1,0.09,0.0,0.09,0,0,0,0,0,0,6,1,5,0,t0214,2022-10-20
dolnośląskie,oławski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,6,0,t0215,2022-10-20
dolnośląskie,polkowicki,2,0,2,0.32,0.0,0.32,0,0,0,3,0,0,12,2,10,0,t0216,2022-10-20
dolnośląskie,strzeliński,1,0,1,0.23,0.0,0.23,0,0,0,2,0,0,6,1,5,0,t0217,2022-10-20
dolnośląskie,średzki,1,0,1,0.18,0.0,0.18,0,0,0,12,0,0,16,1,15,0,t0218,2022-10-20
dolnośląskie,świdnicki,1,0,1,0.06,0.0,0.06,0,0,0,4,0,0,9,1,8,0,t0219,2022-10-20
dolnośląskie,trzebnicki,1,1,2,0.12,0.12,0.23,0,0,0,2,0,0,9,2,7,0,t0220,2022-10-20
