wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,9077.0,-,-,2.37,244.0,66.0,178.0,7661.0,13023.0,181631,35044,9815,24463,766,t0000
dolnośląskie,bolesławiecki,-,-,8.0,-,-,0.89,,,,27.0,34.0,383,29,8,20,1,t0201
dolnośląskie,dzierżoniowski,-,-,10.0,-,-,0.99,,,,4.0,11.0,194,25,10,15,0,t0202
dolnośląskie,głogowski,-,-,12.0,-,-,1.35,,,,12.0,16.0,279,35,12,23,0,t0203
dolnośląskie,górowski,-,-,6.0,-,-,1.73,,,,6.0,8.0,107,26,8,17,1,t0204
dolnośląskie,jaworski,-,-,11.0,-,-,2.2,,,,7.0,7.0,124,29,11,17,1,t0205
dolnośląskie,jeleniogórski,-,-,40.0,-,-,6.31,,,,10.0,12.0,204,99,40,57,2,t0206
dolnośląskie,kamiennogórski,-,-,4.0,-,-,0.93,,,,4.0,6.0,142,23,6,17,0,t0207
dolnośląskie,kłodzki,-,-,10.0,-,-,0.64,,,,9.0,36.0,373,72,10,62,0,t0208
dolnośląskie,legnicki,-,-,5.0,-,-,0.91,,,,1.0,5.0,152,16,5,11,0,t0209
dolnośląskie,lubański,-,-,9.0,-,-,1.66,,,,5.0,11.0,315,24,9,14,1,t0210
dolnośląskie,lubiński,-,-,3.0,-,-,0.28,,,,9.0,40.0,363,54,6,48,0,t0211
dolnośląskie,lwówecki,-,-,4.0,-,-,0.87,,,,5.0,7.0,160,32,5,24,3,t0212
dolnośląskie,milicki,-,-,8.0,-,-,2.17,,,,6.0,21.0,152,26,8,18,0,t0213
dolnośląskie,oleśnicki,-,-,17.0,-,-,1.58,,,,12.0,32.0,430,57,19,38,0,t0214
dolnośląskie,oławski,-,-,15.0,-,-,1.95,4.0,3.0,1.0,11.0,18.0,406,57,17,40,0,t0215
dolnośląskie,polkowicki,-,-,2.0,-,-,0.32,,,,6.0,3.0,165,9,2,7,0,t0216
dolnośląskie,strzeliński,-,-,3.0,-,-,0.69,,,,1.0,17.0,149,12,4,8,0,t0217
dolnośląskie,średzki,-,-,6.0,-,-,1.08,,,,13.0,16.0,251,18,7,11,0,t0218
dolnośląskie,świdnicki,-,-,20.0,-,-,1.28,,,,12.0,34.0,827,61,20,40,1,t0219
dolnośląskie,trzebnicki,-,-,19.0,-,-,2.22,,,,8.0,25.0,372,69,20,49,0,t0220
dolnośląskie,wałbrzyski,-,-,10.0,-,-,1.8,,,,10.0,11.0,312,29,10,19,0,t0221
dolnośląskie,wołowski,-,-,14.0,-,-,3.0,1.0,1.0,,5.0,13.0,226,33,16,17,0,t0222
dolnośląskie,wrocławski,-,-,26.0,-,-,1.69,1.0,,1.0,20.0,50.0,820,131,27,102,2,t0223
dolnośląskie,ząbkowicki,-,-,11.0,-,-,1.71,,,,5.0,5.0,212,37,11,26,0,t0224
dolnośląskie,zgorzelecki,-,-,7.0,-,-,0.79,2.0,2.0,,10.0,40.0,457,24,7,17,0,t0225
dolnośląskie,złotoryjski,-,-,5.0,-,-,1.16,,,,4.0,5.0,304,13,5,8,0,t0226
dolnośląskie,Jelenia Góra,-,-,12.0,-,-,1.52,,,,4.0,12.0,276,37,13,24,0,t0261
dolnośląskie,Legnica,-,-,14.0,-,-,1.41,,,,9.0,24.0,459,48,14,30,4,t0262
dolnośląskie,Wrocław,-,-,153.0,-,-,2.38,1.0,1.0,,72.0,178.0,2590,752,164,578,10,t0264
dolnośląskie,Wałbrzych,-,-,10.0,-,-,0.9,1.0,1.0,,17.0,21.0,393,90,11,79,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,22.0,-,-,4.0,,,,11.0,16.0,219,64,38,26,0,t0401
kujawsko-pomorskie,brodnicki,-,-,25.0,-,-,3.16,,,,19.0,38.0,504,62,25,36,1,t0402
kujawsko-pomorskie,bydgoski,-,-,41.0,-,-,3.43,3.0,,3.0,57.0,70.0,1321,141,45,88,8,t0403
kujawsko-pomorskie,chełmiński,-,-,38.0,-,-,7.33,,,,24.0,32.0,432,141,61,79,1,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,9.0,-,-,2.0,,,,8.0,16.0,216,28,9,18,1,t0405
kujawsko-pomorskie,grudziądzki,-,-,15.0,-,-,3.73,2.0,1.0,1.0,13.0,38.0,419,57,16,40,1,t0406
kujawsko-pomorskie,inowrocławski,-,-,89.0,-,-,5.59,2.0,,2.0,70.0,63.0,1062,240,108,125,7,t0407
kujawsko-pomorskie,lipnowski,-,-,6.0,-,-,0.91,,,,7.0,15.0,369,20,6,14,0,t0408
kujawsko-pomorskie,mogileński,-,-,13.0,-,-,2.86,,,,5.0,16.0,238,29,17,12,0,t0409
kujawsko-pomorskie,nakielski,-,-,36.0,-,-,4.18,2.0,,2.0,42.0,43.0,821,95,36,57,2,t0410
kujawsko-pomorskie,radziejowski,-,-,10.0,-,-,2.49,,,,1.0,36.0,218,22,10,12,0,t0411
kujawsko-pomorskie,rypiński,-,-,8.0,-,-,1.84,,,,6.0,7.0,170,26,8,18,0,t0412
kujawsko-pomorskie,sępoleński,-,-,8.0,-,-,1.95,,,,19.0,46.0,359,31,8,22,1,t0413
kujawsko-pomorskie,świecki,-,-,24.0,-,-,2.43,2.0,,2.0,43.0,59.0,950,78,26,49,3,t0414
