wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,53420,-,-,13.93,276,62,214,63154,12277,909567,173487,62314,107621,3552,t0000,2022-01-25
dolnośląskie,bolesławiecki,-,-,147,-,-,16.33,1,0,1,211,25,2902,432,178,225,29,t0201,2022-01-25
dolnośląskie,dzierżoniowski,-,-,129,-,-,12.83,1,0,1,135,8,2337,374,148,219,7,t0202,2022-01-25
dolnośląskie,głogowski,-,-,129,-,-,14.52,0,0,0,139,19,2624,357,151,201,5,t0203,2022-01-25
dolnośląskie,górowski,-,-,18,-,-,5.19,0,0,0,48,4,507,117,23,94,0,t0204,2022-01-25
dolnośląskie,jaworski,-,-,10,-,-,2.0,0,0,0,73,7,1108,63,11,49,3,t0205,2022-01-25
dolnośląskie,jeleniogórski,-,-,40,-,-,6.31,0,0,0,90,8,1362,178,51,127,0,t0206,2022-01-25
dolnośląskie,kamiennogórski,-,-,64,-,-,14.86,0,0,0,58,10,985,186,72,111,3,t0207,2022-01-25
dolnośląskie,kłodzki,-,-,163,-,-,10.37,0,0,0,318,20,4318,459,193,263,3,t0208,2022-01-25
dolnośląskie,legnicki,-,-,46,-,-,8.33,0,0,0,72,10,1463,181,52,120,9,t0209,2022-01-25
dolnośląskie,lubański,-,-,34,-,-,6.29,0,0,0,133,6,1445,126,44,73,9,t0210,2022-01-25
dolnośląskie,lubiński,-,-,188,-,-,17.72,0,0,0,188,36,3200,481,211,251,19,t0211,2022-01-25
dolnośląskie,lwówecki,-,-,29,-,-,6.34,0,0,0,78,3,750,136,33,98,5,t0212,2022-01-25
dolnośląskie,milicki,-,-,120,-,-,32.51,0,0,0,126,28,2056,227,137,89,1,t0213,2022-01-25
dolnośląskie,oleśnicki,-,-,185,-,-,17.24,1,1,0,173,70,4140,482,218,259,5,t0214,2022-01-25
dolnośląskie,oławski,-,-,129,-,-,16.79,0,0,0,122,24,2563,412,156,248,8,t0215,2022-01-25
dolnośląskie,polkowicki,-,-,112,-,-,17.75,0,0,0,113,9,2393,313,124,172,17,t0216,2022-01-25
dolnośląskie,strzeliński,-,-,138,-,-,31.76,0,0,0,124,10,2017,333,159,170,4,t0217,2022-01-25
dolnośląskie,średzki,-,-,104,-,-,18.79,0,0,0,118,19,2099,268,124,130,14,t0218,2022-01-25
dolnośląskie,świdnicki,-,-,229,-,-,14.63,5,0,5,252,32,5435,629,255,358,16,t0219,2022-01-25
dolnośląskie,trzebnicki,-,-,145,-,-,16.98,1,1,0,160,17,2186,417,161,253,3,t0220,2022-01-25
dolnośląskie,wałbrzyski,-,-,80,-,-,14.44,0,0,0,101,12,1600,256,90,164,2,t0221,2022-01-25
dolnośląskie,wołowski,-,-,60,-,-,12.84,0,0,0,71,14,1704,176,68,104,4,t0222,2022-01-25
dolnośląskie,wrocławski,-,-,390,-,-,25.35,0,0,0,394,113,6771,1199,439,731,29,t0223,2022-01-25
dolnośląskie,ząbkowicki,-,-,58,-,-,8.99,1,0,1,129,2,1584,166,72,90,4,t0224,2022-01-25
dolnośląskie,zgorzelecki,-,-,85,-,-,9.58,2,2,0,123,11,2490,177,96,68,13,t0225,2022-01-25
dolnośląskie,złotoryjski,-,-,34,-,-,7.86,0,0,0,107,3,1027,123,39,79,5,t0226,2022-01-25
dolnośląskie,Jelenia Góra,-,-,66,-,-,8.38,1,0,1,130,14,2608,258,82,175,1,t0261,2022-01-25
dolnośląskie,Legnica,-,-,111,-,-,11.2,0,0,0,147,12,2441,350,129,204,17,t0262,2022-01-25
