wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,6789,-,-,1.77,389,97,292,11232,3104,176833,47406,7536,39036,834,t0000
dolnośląskie,bolesławiecki,-,-,10,-,-,1.11,3,0,3,30,10,427,271,14,254,3,t0201
dolnośląskie,dzierżoniowski,-,-,4,-,-,0.4,0,0,0,9,5,167,81,5,76,0,t0202
dolnośląskie,głogowski,-,-,15,-,-,1.69,0,0,0,10,3,283,80,16,63,1,t0203
dolnośląskie,górowski,-,-,2,-,-,0.58,0,0,0,4,0,77,21,2,19,0,t0204
dolnośląskie,jaworski,-,-,7,-,-,1.4,0,0,0,7,4,168,44,7,37,0,t0205
dolnośląskie,jeleniogórski,-,-,2,-,-,0.32,0,0,0,9,7,240,40,2,37,1,t0206
dolnośląskie,kamiennogórski,-,-,2,-,-,0.46,0,0,0,7,1,86,29,2,27,0,t0207
dolnośląskie,kłodzki,-,-,29,-,-,1.84,1,0,1,47,12,534,472,37,432,3,t0208
dolnośląskie,legnicki,-,-,5,-,-,0.91,0,0,0,10,2,154,91,6,84,1,t0209
dolnośląskie,lubański,-,-,3,-,-,0.55,0,0,0,12,0,239,35,6,26,3,t0210
dolnośląskie,lubiński,-,-,9,-,-,0.85,1,0,1,27,3,196,96,9,86,1,t0211
dolnośląskie,lwówecki,-,-,2,-,-,0.44,0,0,0,9,3,108,39,3,36,0,t0212
dolnośląskie,milicki,-,-,6,-,-,1.63,0,0,0,12,2,104,37,10,26,1,t0213
dolnośląskie,oleśnicki,-,-,15,-,-,1.4,0,0,0,25,5,346,113,19,93,1,t0214
dolnośląskie,oławski,-,-,17,-,-,2.21,1,1,0,29,3,475,81,17,64,0,t0215
dolnośląskie,polkowicki,-,-,3,-,-,0.48,1,1,0,10,3,182,49,4,45,0,t0216
dolnośląskie,strzeliński,-,-,2,-,-,0.46,1,0,1,5,2,88,26,3,22,1,t0217
dolnośląskie,średzki,-,-,10,-,-,1.81,0,0,0,6,2,303,50,10,40,0,t0218
dolnośląskie,świdnicki,-,-,8,-,-,0.51,2,0,2,24,10,648,179,9,170,0,t0219
dolnośląskie,trzebnicki,-,-,13,-,-,1.52,2,0,2,23,5,416,86,21,60,5,t0220
dolnośląskie,wałbrzyski,-,-,7,-,-,1.26,1,0,1,15,5,121,82,9,73,0,t0221
dolnośląskie,wołowski,-,-,2,-,-,0.43,5,0,5,7,3,156,38,2,36,0,t0222
dolnośląskie,wrocławski,-,-,36,-,-,2.34,1,1,0,61,14,1230,199,36,158,5,t0223
dolnośląskie,ząbkowicki,-,-,1,-,-,0.16,0,0,0,13,4,268,46,1,45,0,t0224
dolnośląskie,zgorzelecki,-,-,3,-,-,0.34,1,1,0,26,5,303,48,6,42,0,t0225
dolnośląskie,złotoryjski,-,-,1,-,-,0.23,0,0,0,9,0,135,34,1,32,1,t0226
dolnośląskie,Jelenia Góra,-,-,3,-,-,0.38,0,0,0,18,12,293,77,3,73,1,t0261
dolnośląskie,Legnica,-,-,11,-,-,1.11,2,2,0,23,6,528,164,14,149,1,t0262
dolnośląskie,Wrocław,-,-,103,-,-,1.6,7,6,1,193,44,3689,1041,115,895,31,t0264
dolnośląskie,Wałbrzych,-,-,12,-,-,1.08,1,0,1,24,13,328,192,15,177,0,t0265
kujawsko-pomorskie,aleksandrowski,-,-,13,-,-,2.36,0,0,0,22,6,163,68,18,50,0,t0401
kujawsko-pomorskie,brodnicki,-,-,24,-,-,3.03,0,0,0,32,9,317,85,25,60,0,t0402
kujawsko-pomorskie,bydgoski,-,-,37,-,-,3.1,2,0,2,81,19,952,186,41,143,2,t0403
kujawsko-pomorskie,chełmiński,-,-,39,-,-,7.53,1,0,1,37,4,572,134,41,93,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,17,-,-,3.78,1,0,1,24,1,236,53,17,35,1,t0405
kujawsko-pomorskie,grudziądzki,-,-,15,-,-,3.73,0,0,0,15,3,290,55,17,37,1,t0406
kujawsko-pomorskie,inowrocławski,-,-,33,-,-,2.07,1,0,1,50,8,682,151,36,112,3,t0407
kujawsko-pomorskie,lipnowski,-,-,7,-,-,1.07,0,0,0,9,5,187,62,8,53,1,t0408
kujawsko-pomorskie,mogileński,-,-,5,-,-,1.1,0,0,0,7,2,212,42,5,35,2,t0409
kujawsko-pomorskie,nakielski,-,-,30,-,-,3.48,2,0,2,63,13,607,153,31,121,1,t0410
kujawsko-pomorskie,radziejowski,-,-,3,-,-,0.75,0,0,0,11,4,157,47,4,43,0,t0411
kujawsko-pomorskie,rypiński,-,-,2,-,-,0.46,0,0,0,6,0,117,38,2,35,1,t0412
