wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,6919,-,-,1.8,443,106,337,11207,4595,188242,48317,7625,39862,830,t0000
dolnośląskie,bolesławiecki,-,-,17,-,-,1.89,1,1,0,37,10,424,100,18,79,3,t0201
dolnośląskie,dzierżoniowski,-,-,1,-,-,0.1,0,0,0,11,0,187,61,2,59,0,t0202
dolnośląskie,głogowski,-,-,5,-,-,0.56,1,1,0,20,9,305,77,6,71,0,t0203
dolnośląskie,górowski,-,-,3,-,-,0.86,0,0,0,8,1,122,35,3,32,0,t0204
dolnośląskie,jaworski,-,-,4,-,-,0.8,0,0,0,11,8,163,47,4,41,2,t0205
dolnośląskie,jeleniogórski,-,-,4,-,-,0.63,0,0,0,15,6,263,66,4,62,0,t0206
dolnośląskie,kamiennogórski,-,-,3,-,-,0.7,1,1,0,4,0,92,62,4,58,0,t0207
dolnośląskie,kłodzki,-,-,19,-,-,1.21,0,0,0,31,16,533,128,21,105,2,t0208
dolnośląskie,legnicki,-,-,6,-,-,1.09,1,1,0,7,3,173,53,8,44,1,t0209
dolnośląskie,lubański,-,-,4,-,-,0.74,0,0,0,23,4,264,35,4,30,1,t0210
dolnośląskie,lubiński,-,-,7,-,-,0.66,3,0,3,18,3,248,105,8,93,4,t0211
dolnośląskie,lwówecki,-,-,6,-,-,1.31,0,0,0,15,6,127,44,6,38,0,t0212
dolnośląskie,milicki,-,-,3,-,-,0.81,0,0,0,3,6,148,27,3,24,0,t0213
dolnośląskie,oleśnicki,-,-,19,-,-,1.77,1,1,0,24,13,356,126,21,98,7,t0214
dolnośląskie,oławski,-,-,9,-,-,1.17,3,1,2,15,3,392,68,11,57,0,t0215
dolnośląskie,polkowicki,-,-,2,-,-,0.32,0,0,0,16,3,201,43,2,40,1,t0216
dolnośląskie,strzeliński,-,-,5,-,-,1.15,0,0,0,11,3,124,34,5,27,2,t0217
dolnośląskie,średzki,-,-,8,-,-,1.45,0,0,0,22,5,242,55,9,46,0,t0218
dolnośląskie,świdnicki,-,-,16,-,-,1.02,0,0,0,22,9,705,155,17,138,0,t0219
dolnośląskie,trzebnicki,-,-,7,-,-,0.82,1,1,0,12,7,418,118,9,107,2,t0220
dolnośląskie,wałbrzyski,-,-,3,-,-,0.54,0,0,0,10,3,141,54,4,50,0,t0221
dolnośląskie,wołowski,-,-,6,-,-,1.28,1,0,1,22,10,226,36,7,29,0,t0222
dolnośląskie,wrocławski,-,-,32,-,-,2.08,0,0,0,49,10,1240,226,39,185,2,t0223
dolnośląskie,ząbkowicki,-,-,3,-,-,0.47,1,0,1,9,11,271,57,7,50,0,t0224
dolnośląskie,zgorzelecki,-,-,11,-,-,1.24,1,0,1,21,2,353,51,11,39,1,t0225
dolnośląskie,złotoryjski,-,-,4,-,-,0.92,0,0,0,9,6,142,41,5,35,1,t0226
dolnośląskie,Jelenia Góra,-,-,4,-,-,0.51,0,0,0,20,12,303,76,4,70,2,t0261
dolnośląskie,Legnica,-,-,24,-,-,2.42,1,1,0,27,1,571,150,27,118,5,t0262
dolnośląskie,Wrocław,-,-,84,-,-,1.3,5,5,0,224,61,3964,1113,99,997,17,t0264
dolnośląskie,Wałbrzych,-,-,16,-,-,1.45,4,0,4,24,6,303,195,18,176,1,t0265
kujawsko-pomorskie,aleksandrowski,-,-,5,-,-,0.91,0,0,0,11,5,195,39,10,27,2,t0401
kujawsko-pomorskie,brodnicki,-,-,15,-,-,1.9,2,0,2,22,2,396,69,15,54,0,t0402
kujawsko-pomorskie,bydgoski,-,-,43,-,-,3.6,0,0,0,81,37,1183,220,44,174,2,t0403
kujawsko-pomorskie,chełmiński,-,-,17,-,-,3.28,0,0,0,49,4,570,90,18,71,1,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,20,-,-,4.45,0,0,0,26,4,230,56,21,33,2,t0405
kujawsko-pomorskie,grudziądzki,-,-,11,-,-,2.74,1,0,1,12,13,368,53,11,40,2,t0406
kujawsko-pomorskie,inowrocławski,-,-,22,-,-,1.38,0,0,0,51,12,862,118,23,93,2,t0407
kujawsko-pomorskie,lipnowski,-,-,6,-,-,0.91,0,0,0,13,3,288,54,6,46,2,t0408
kujawsko-pomorskie,mogileński,-,-,7,-,-,1.54,0,0,0,9,6,204,39,7,32,0,t0409
kujawsko-pomorskie,nakielski,-,-,54,-,-,6.26,3,0,3,59,18,716,179,55,119,5,t0410
kujawsko-pomorskie,radziejowski,-,-,7,-,-,1.74,0,0,0,16,7,194,52,8,43,1,t0411
kujawsko-pomorskie,rypiński,-,-,0,-,-,0.0,1,0,1,12,3,151,30,0,30,0,t0412
kujawsko-pomorskie,sępoleński,-,-,4,-,-,0.98,2,2,0,11,12,253,46,5,41,0,t0413
kujawsko-pomorskie,świecki,-,-,35,-,-,3.54,3,0,3,24,29,720,140,36,100,4,t0414
kujawsko-pomorskie,toruński,-,-,15,-,-,1.38,3,2,1,52,14,842,137,21,110,6,t0415
kujawsko-pomorskie,tucholski,-,-,28,-,-,5.79,1,0,1,13,9,284,79,28,50,1,t0416
kujawsko-pomorskie,wąbrzeski,-,-,14,-,-,4.1,1,0,1,20,11,243,51,15,36,0,t0417
kujawsko-pomorskie,włocławski,-,-,22,-,-,2.56,1,0,1,25,23,360,79,22,54,3,t0418
kujawsko-pomorskie,żniński,-,-,17,-,-,2.43,2,0,2,29,15,474,101,20,79,2,t0419
kujawsko-pomorskie,Bydgoszcz,-,-,73,-,-,2.11,5,0,5,244,128,2860,530,81,441,8,t0461
kujawsko-pomorskie,Grudziądz,-,-,30,-,-,3.19,5,2,3,40,24,643,234,30,199,5,t0462
kujawsko-pomorskie,Toruń,-,-,46,-,-,2.29,4,4,0,132,15,1225,229,52,175,2,t0463
kujawsko-pomorskie,Włocławek,-,-,42,-,-,3.84,2,0,2,40,16,483,147,46,98,3,t0464
lubelskie,bialski,-,-,28,-,-,2.53,0,0,0,29,5,399,134,35,98,1,t0601
lubelskie,biłgorajski,-,-,22,-,-,2.19,0,0,0,13,2,260,98,24,69,5,t0602
lubelskie,chełmski,-,-,6,-,-,0.77,0,0,0,21,2,325,52,6,44,2,t0603
lubelskie,hrubieszowski,-,-,7,-,-,1.12,0,0,0,7,0,214,64,8,54,2,t0604
lubelskie,janowski,-,-,8,-,-,1.76,0,0,0,9,1,95,48,9,39,0,t0605
lubelskie,krasnostawski,-,-,13,-,-,2.07,1,0,1,24,5,355,78,14,63,1,t0606
lubelskie,kraśnicki,-,-,15,-,-,1.58,0,0,0,14,9,282,88,16,72,0,t0607
lubelskie,lubartowski,-,-,8,-,-,0.91,3,3,0,13,4,263,73,9,64,0,t0608
lubelskie,lubelski,-,-,19,-,-,1.22,4,0,4,44,3,682,147,19,126,2,t0609
lubelskie,łęczyński,-,-,13,-,-,2.27,1,0,1,18,10,337,74,14,58,2,t0610
lubelskie,łukowski,-,-,9,-,-,0.84,2,0,2,23,4,267,67,10,57,0,t0611
lubelskie,opolski,-,-,11,-,-,1.87,1,0,1,15,2,246,48,12,36,0,t0612
lubelskie,parczewski,-,-,3,-,-,0.87,5,0,5,9,4,86,39,3,34,2,t0613
lubelskie,puławski,-,-,15,-,-,1.33,1,0,1,35,13,560,107,15,92,0,t0614
lubelskie,radzyński,-,-,1,-,-,0.17,0,0,0,7,7,131,48,1,46,1,t0615
lubelskie,rycki,-,-,10,-,-,1.79,0,0,0,9,2,309,62,10,51,1,t0616
lubelskie,świdnicki,-,-,27,-,-,3.76,1,0,1,27,5,257,104,32,70,2,t0617
lubelskie,tomaszowski,-,-,26,-,-,3.16,1,0,1,22,8,309,104,29,71,4,t0618
lubelskie,włodawski,-,-,10,-,-,2.62,0,0,0,26,5,284,56,10,46,0,t0619
lubelskie,zamojski,-,-,11,-,-,1.04,1,0,1,12,5,212,93,12,80,1,t0620
lubelskie,Biała Podlaska,-,-,12,-,-,2.1,0,0,0,18,6,218,72,13,58,1,t0661
lubelskie,Chełm,-,-,10,-,-,1.62,0,0,0,21,7,253,57,10,46,1,t0662
lubelskie,Lublin,-,-,65,-,-,1.91,7,0,7,135,25,1642,436,75,356,5,t0663
lubelskie,Zamość,-,-,8,-,-,1.27,4,0,4,5,8,159,73,10,63,0,t0664
lubuskie,gorzowski,-,-,21,-,-,2.91,1,1,0,22,15,499,91,23,66,2,t0801
lubuskie,krośnieński,-,-,12,-,-,2.19,0,0,0,26,11,342,60,12,47,1,t0802
