wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,7152,-,-,1.86,419,81,338,10947,6423,190953,47141,7918,38419,804,t0000
dolnośląskie,bolesławiecki,-,-,30,-,-,3.33,0,0,0,31,29,433,112,38,73,1,t0201
dolnośląskie,dzierżoniowski,-,-,19,-,-,1.89,0,0,0,13,3,183,96,19,77,0,t0202
dolnośląskie,głogowski,-,-,17,-,-,1.91,1,0,1,24,6,306,86,17,69,0,t0203
dolnośląskie,górowski,-,-,7,-,-,2.02,0,0,0,8,2,121,40,7,33,0,t0204
dolnośląskie,jaworski,-,-,17,-,-,3.4,0,0,0,10,2,168,65,17,46,2,t0205
dolnośląskie,jeleniogórski,-,-,13,-,-,2.05,0,0,0,8,1,252,74,14,55,5,t0206
dolnośląskie,kamiennogórski,-,-,2,-,-,0.46,2,2,0,3,0,93,31,2,28,1,t0207
dolnośląskie,kłodzki,-,-,44,-,-,2.8,0,0,0,62,15,571,222,50,158,14,t0208
dolnośląskie,legnicki,-,-,7,-,-,1.27,0,0,0,5,3,165,61,12,44,5,t0209
dolnośląskie,lubański,-,-,19,-,-,3.51,0,0,0,17,5,261,77,21,56,0,t0210
dolnośląskie,lubiński,-,-,15,-,-,1.41,0,0,0,20,8,249,85,15,69,1,t0211
dolnośląskie,lwówecki,-,-,4,-,-,0.87,0,0,0,9,15,113,60,4,54,2,t0212
dolnośląskie,milicki,-,-,6,-,-,1.63,0,0,0,2,11,150,34,8,26,0,t0213
dolnośląskie,oleśnicki,-,-,14,-,-,1.3,1,1,0,22,13,356,116,18,96,2,t0214
dolnośląskie,oławski,-,-,17,-,-,2.21,0,0,0,15,5,398,116,18,92,6,t0215
dolnośląskie,polkowicki,-,-,12,-,-,1.9,0,0,0,11,6,209,47,12,34,1,t0216
dolnośląskie,strzeliński,-,-,2,-,-,0.46,0,0,0,7,1,132,26,2,24,0,t0217
dolnośląskie,średzki,-,-,16,-,-,2.89,0,0,0,8,7,252,68,17,49,2,t0218
dolnośląskie,świdnicki,-,-,22,-,-,1.41,0,0,0,20,12,697,128,22,106,0,t0219
