wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,6796,-,-,1.77,429,129,300,11120,13565,197693,61274,7585,52911,778,t0000,2021-04-29
dolnośląskie,bolesławiecki,-,-,15,-,-,1.67,5,1,4,29,52,681,130,21,106,3,t0201,2021-04-29
dolnośląskie,dzierżoniowski,-,-,21,-,-,2.09,0,0,0,23,14,505,121,24,97,0,t0202,2021-04-29
dolnośląskie,głogowski,-,-,24,-,-,2.7,1,0,1,29,26,623,128,25,102,1,t0203,2021-04-29
dolnośląskie,górowski,-,-,11,-,-,3.17,1,0,1,20,26,238,38,11,26,1,t0204,2021-04-29
dolnośląskie,jaworski,-,-,21,-,-,4.21,1,1,0,24,13,307,69,21,48,0,t0205,2021-04-29
dolnośląskie,jeleniogórski,-,-,17,-,-,2.68,0,0,0,19,19,345,118,17,101,0,t0206,2021-04-29
dolnośląskie,kamiennogórski,-,-,5,-,-,1.16,0,0,0,4,6,113,67,6,61,0,t0207,2021-04-29
dolnośląskie,kłodzki,-,-,18,-,-,1.15,2,0,2,39,26,460,149,19,129,1,t0208,2021-04-29
dolnośląskie,legnicki,-,-,5,-,-,0.91,1,1,0,21,29,525,73,6,64,3,t0209,2021-04-29
dolnośląskie,lubański,-,-,15,-,-,2.77,0,0,0,31,17,368,50,15,35,0,t0210,2021-04-29
dolnośląskie,lubiński,-,-,19,-,-,1.79,2,0,2,39,75,661,133,23,107,3,t0211,2021-04-29
dolnośląskie,lwówecki,-,-,4,-,-,0.87,1,1,0,35,30,316,79,4,75,0,t0212,2021-04-29
dolnośląskie,milicki,-,-,8,-,-,2.17,0,0,0,6,14,135,48,8,38,2,t0213,2021-04-29
dolnośląskie,oleśnicki,-,-,18,-,-,1.68,0,0,0,31,34,546,134,23,110,1,t0214,2021-04-29
dolnośląskie,oławski,-,-,26,-,-,3.38,3,2,1,27,27,585,114,28,83,3,t0215,2021-04-29
dolnośląskie,polkowicki,-,-,17,-,-,2.69,1,0,1,25,48,642,92,18,72,2,t0216,2021-04-29
dolnośląskie,strzeliński,-,-,9,-,-,2.07,1,1,0,7,28,291,46,9,37,0,t0217,2021-04-29
dolnośląskie,średzki,-,-,7,-,-,1.26,2,0,2,30,35,520,59,7,51,1,t0218,2021-04-29
dolnośląskie,świdnicki,-,-,14,-,-,0.89,1,0,1,44,67,1160,162,15,145,2,t0219,2021-04-29
dolnośląskie,trzebnicki,-,-,18,-,-,2.11,1,1,0,18,46,511,119,20,99,0,t0220,2021-04-29
dolnośląskie,wałbrzyski,-,-,9,-,-,1.62,1,0,1,19,19,219,70,9,61,0,t0221,2021-04-29
dolnośląskie,wołowski,-,-,14,-,-,3.0,0,0,0,15,22,357,73,16,56,1,t0222,2021-04-29
dolnośląskie,wrocławski,-,-,44,-,-,2.86,0,0,0,56,86,1217,306,50,255,1,t0223,2021-04-29
dolnośląskie,ząbkowicki,-,-,13,-,-,2.02,0,0,0,21,11,322,97,15,81,1,t0224,2021-04-29
dolnośląskie,zgorzelecki,-,-,19,-,-,2.14,0,0,0,39,39,581,106,21,80,5,t0225,2021-04-29
dolnośląskie,złotoryjski,-,-,14,-,-,3.24,2,2,0,25,14,380,51,14,37,0,t0226,2021-04-29
dolnośląskie,Jelenia Góra,-,-,28,-,-,3.55,0,0,0,38,39,412,161,31,130,0,t0261,2021-04-29
dolnośląskie,Legnica,-,-,7,-,-,0.71,1,1,0,40,37,804,103,8,91,4,t0262,2021-04-29
dolnośląskie,Wrocław,-,-,159,-,-,2.47,5,3,2,212,300,3944,1444,183,1243,18,t0264,2021-04-29
dolnośląskie,Wałbrzych,-,-,13,-,-,1.18,0,0,0,32,56,543,148,14,134,0,t0265,2021-04-29
kujawsko-pomorskie,aleksandrowski,-,-,3,-,-,0.55,0,0,0,9,15,138,50,4,45,1,t0401,2021-04-29
kujawsko-pomorskie,brodnicki,-,-,5,-,-,0.63,0,0,0,17,17,289,74,5,69,0,t0402,2021-04-29
kujawsko-pomorskie,bydgoski,-,-,26,-,-,2.18,2,0,2,50,58,598,159,26,127,6,t0403,2021-04-29
kujawsko-pomorskie,chełmiński,-,-,5,-,-,0.96,1,1,0,15,11,177,88,5,83,0,t0404,2021-04-29
kujawsko-pomorskie,golubsko-dobrzyński,-,-,5,-,-,1.11,0,0,0,8,12,98,38,5,33,0,t0405,2021-04-29
kujawsko-pomorskie,grudziądzki,-,-,2,-,-,0.5,1,1,0,15,9,171,40,3,36,1,t0406,2021-04-29
kujawsko-pomorskie,inowrocławski,-,-,16,-,-,1.0,1,0,1,49,39,524,150,17,126,7,t0407,2021-04-29
kujawsko-pomorskie,lipnowski,-,-,8,-,-,1.22,0,0,0,13,14,279,84,8,72,4,t0408,2021-04-29
kujawsko-pomorskie,mogileński,-,-,12,-,-,2.64,1,0,1,10,14,258,63,12,51,0,t0409,2021-04-29
kujawsko-pomorskie,nakielski,-,-,18,-,-,2.09,1,0,1,32,22,490,98,19,77,2,t0410,2021-04-29
kujawsko-pomorskie,radziejowski,-,-,11,-,-,2.74,0,0,0,17,14,268,53,12,40,1,t0411,2021-04-29
kujawsko-pomorskie,rypiński,-,-,4,-,-,0.92,1,1,0,5,8,181,42,4,37,1,t0412,2021-04-29
kujawsko-pomorskie,sępoleński,-,-,8,-,-,1.95,1,0,1,23,8,200,44,8,35,1,t0413,2021-04-29
kujawsko-pomorskie,świecki,-,-,11,-,-,1.11,1,0,1,19,22,453,132,12,119,1,t0414,2021-04-29
kujawsko-pomorskie,toruński,-,-,9,-,-,0.83,1,0,1,21,33,406,152,9,142,1,t0415,2021-04-29
kujawsko-pomorskie,tucholski,-,-,12,-,-,2.48,1,0,1,21,23,285,70,13,54,3,t0416,2021-04-29
kujawsko-pomorskie,wąbrzeski,-,-,1,-,-,0.29,0,0,0,8,5,79,19,1,18,0,t0417,2021-04-29
kujawsko-pomorskie,włocławski,-,-,8,-,-,0.93,2,0,2,9,19,335,93,8,81,4,t0418,2021-04-29
kujawsko-pomorskie,żniński,-,-,11,-,-,1.57,2,0,2,16,24,401,92,15,77,0,t0419,2021-04-29
kujawsko-pomorskie,Bydgoszcz,-,-,72,-,-,2.08,6,0,6,127,112,1522,538,77,443,18,t0461,2021-04-29
kujawsko-pomorskie,Grudziądz,-,-,13,-,-,1.38,0,0,0,24,23,376,114,15,95,4,t0462,2021-04-29
kujawsko-pomorskie,Toruń,-,-,25,-,-,1.24,3,0,3,57,44,659,352,27,316,9,t0463,2021-04-29
kujawsko-pomorskie,Włocławek,-,-,17,-,-,1.55,0,0,0,26,37,409,145,20,123,2,t0464,2021-04-29
lubelskie,bialski,-,-,13,-,-,1.18,1,1,0,28,33,492,138,14,124,0,t0601,2021-04-29
lubelskie,biłgorajski,-,-,5,-,-,0.5,1,0,1,32,28,351,110,6,103,1,t0602,2021-04-29
lubelskie,chełmski,-,-,9,-,-,1.16,1,0,1,26,19,341,117,10,107,0,t0603,2021-04-29
lubelskie,hrubieszowski,-,-,7,-,-,1.12,2,0,2,23,28,386,115,9,99,7,t0604,2021-04-29
lubelskie,janowski,-,-,4,-,-,0.88,1,0,1,17,17,273,73,5,67,1,t0605,2021-04-29
lubelskie,krasnostawski,-,-,7,-,-,1.11,0,0,0,27,10,309,107,7,99,1,t0606,2021-04-29
lubelskie,kraśnicki,-,-,4,-,-,0.42,1,0,1,11,17,207,97,6,91,0,t0607,2021-04-29
lubelskie,lubartowski,-,-,20,-,-,2.27,2,2,0,26,32,496,120,20,99,1,t0608,2021-04-29
lubelskie,lubelski,-,-,36,-,-,2.31,1,0,1,60,31,792,284,40,241,3,t0609,2021-04-29
lubelskie,łęczyński,-,-,6,-,-,1.05,0,0,0,16,11,284,64,8,56,0,t0610,2021-04-29
lubelskie,łukowski,-,-,2,-,-,0.19,0,0,0,18,17,311,89,2,87,0,t0611,2021-04-29
lubelskie,opolski,-,-,13,-,-,2.21,0,0,0,23,16,228,71,14,57,0,t0612,2021-04-29
lubelskie,parczewski,-,-,4,-,-,1.16,0,0,0,8,11,137,40,4,36,0,t0613,2021-04-29
lubelskie,puławski,-,-,31,-,-,2.75,0,0,0,45,51,696,216,37,176,3,t0614,2021-04-29
lubelskie,radzyński,-,-,11,-,-,1.88,4,0,4,15,13,251,127,13,114,0,t0615,2021-04-29
lubelskie,rycki,-,-,8,-,-,1.43,0,0,0,14,15,217,59,9,50,0,t0616,2021-04-29
lubelskie,świdnicki,-,-,22,-,-,3.07,1,1,0,48,23,430,144,25,118,1,t0617,2021-04-29
lubelskie,tomaszowski,-,-,20,-,-,2.43,0,0,0,24,27,283,89,20,67,2,t0618,2021-04-29
lubelskie,włodawski,-,-,2,-,-,0.52,0,0,0,8,7,115,38,2,36,0,t0619,2021-04-29
lubelskie,zamojski,-,-,27,-,-,2.55,1,0,1,17,29,435,125,27,95,3,t0620,2021-04-29
lubelskie,Biała Podlaska,-,-,11,-,-,1.92,1,1,0,20,21,222,117,12,105,0,t0661,2021-04-29
lubelskie,Chełm,-,-,12,-,-,1.95,1,0,1,24,14,258,86,12,73,1,t0662,2021-04-29
lubelskie,Lublin,-,-,53,-,-,1.56,1,0,1,98,97,1453,724,59,661,4,t0663,2021-04-29
lubelskie,Zamość,-,-,15,-,-,2.37,2,0,2,12,28,193,86,15,70,1,t0664,2021-04-29
lubuskie,gorzowski,-,-,7,-,-,0.97,1,0,1,16,26,321,103,11,92,0,t0801,2021-04-29
lubuskie,krośnieński,-,-,2,-,-,0.37,1,1,0,14,9,385,107,4,102,1,t0802,2021-04-29
lubuskie,międzyrzecki,-,-,2,-,-,0.35,1,1,0,19,20,277,114,4,108,2,t0803,2021-04-29
lubuskie,nowosolski,-,-,6,-,-,0.7,1,0,1,29,30,438,115,11,104,0,t0804,2021-04-29
lubuskie,słubicki,-,-,9,-,-,1.92,0,0,0,9,7,236,97,10,87,0,t0805,2021-04-29
lubuskie,strzelecko-drezdenecki,-,-,5,-,-,1.02,1,1,0,6,3,145,94,6,86,2,t0806,2021-04-29
lubuskie,sulęciński,-,-,16,-,-,4.56,0,0,0,9,10,191,229,16,211,2,t0807,2021-04-29
lubuskie,świebodziński,-,-,11,-,-,1.98,0,0,0,19,6,413,132,15,116,1,t0808,2021-04-29
lubuskie,zielonogórski,-,-,4,-,-,0.53,2,0,2,20,11,304,113,7,106,0,t0809,2021-04-29
lubuskie,żagański,-,-,19,-,-,2.42,1,1,0,29,27,427,150,20,126,4,t0810,2021-04-29
lubuskie,żarski,-,-,14,-,-,1.46,0,0,0,29,27,362,200,16,180,4,t0811,2021-04-29
lubuskie,wschowski,-,-,1,-,-,0.26,1,1,0,13,10,236,47,2,45,0,t0812,2021-04-29
lubuskie,Gorzów Wielkopolski,-,-,13,-,-,1.05,0,0,0,31,30,424,286,13,270,3,t0861,2021-04-29
lubuskie,Zielona Góra,-,-,16,-,-,1.13,1,0,1,34,50,514,282,18,262,2,t0862,2021-04-29
łódzkie,bełchatowski,-,-,19,-,-,1.69,0,0,0,30,48,441,171,20,151,0,t1001,2021-04-29
łódzkie,kutnowski,-,-,21,-,-,2.18,0,0,0,28,27,389,109,23,86,0,t1002,2021-04-29
łódzkie,łaski,-,-,5,-,-,1.0,0,0,0,13,20,241,60,5,55,0,t1003,2021-04-29
łódzkie,łęczycki,-,-,10,-,-,2.02,1,1,0,11,5,235,51,10,41,0,t1004,2021-04-29
łódzkie,łowicki,-,-,13,-,-,1.67,1,0,1,18,27,391,99,13,86,0,t1005,2021-04-29
łódzkie,łódzki wschodni,-,-,24,-,-,3.31,0,0,0,39,46,450,151,25,125,1,t1006,2021-04-29
łódzkie,opoczyński,-,-,9,-,-,1.19,0,0,0,13,20,318,109,11,96,2,t1007,2021-04-29
łódzkie,pabianicki,-,-,17,-,-,1.43,4,0,4,47,42,741,159,17,141,1,t1008,2021-04-29
łódzkie,pajęczański,-,-,11,-,-,2.15,2,0,2,14,29,317,58,15,43,0,t1009,2021-04-29
łódzkie,piotrkowski,-,-,21,-,-,2.3,0,0,0,32,33,462,190,23,167,0,t1010,2021-04-29
łódzkie,poddębicki,-,-,17,-,-,4.14,0,0,0,12,27,258,59,17,41,1,t1011,2021-04-29
