wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,389,-,-,0.1,7,4,3,2594,268,53037,41135,452,40618,65,t00,2021-09-03
dolnośląskie,-,-,34,-,-,0.12,1,1,0,196,19,4941,2805,37,2765,3,t02,2021-09-03
kujawsko-pomorskie,-,-,5,-,-,0.02,1,1,0,102,8,1542,1578,19,1554,5,t04,2021-09-03
lubelskie,-,-,33,-,-,0.16,0,0,0,159,12,2546,1728,38,1690,0,t06,2021-09-03
lubuskie,-,-,9,-,-,0.09,0,0,0,58,4,1259,926,9,915,2,t08,2021-09-03
łódzkie,-,-,15,-,-,0.06,0,0,0,158,23,3774,2792,18,2773,1,t10,2021-09-03
małopolskie,-,-,43,-,-,0.13,0,0,0,243,35,3323,3589,48,3539,2,t12,2021-09-03
mazowieckie,-,-,40,-,-,0.07,0,0,0,418,50,16023,4923,44,4874,5,t14,2021-09-03
opolskie,-,-,8,-,-,0.08,0,0,0,46,7,1367,977,8,968,1,t16,2021-09-03
podkarpackie,-,-,22,-,-,0.1,2,2,0,153,11,1481,2768,28,2738,2,t18,2021-09-03
podlaskie,-,-,12,-,-,0.1,0,0,0,80,15,1216,1047,13,1031,3,t20,2021-09-03
pomorskie,-,-,58,-,-,0.25,0,0,0,184,12,3197,2550,60,2471,19,t22,2021-09-03
śląskie,-,-,26,-,-,0.06,1,0,1,318,29,4491,4552,30,4514,8,t24,2021-09-03
świętokrzyskie,-,-,4,-,-,0.03,2,0,2,61,8,739,1126,6,1118,2,t26,2021-09-03
warmińsko-mazurskie,-,-,12,-,-,0.08,0,0,0,86,9,895,1340,13,1326,1,t28,2021-09-03
wielkopolskie,-,-,26,-,-,0.07,0,0,0,211,13,4353,2547,30,2510,7,t30,2021-09-03
zachodniopomorskie,-,-,31,-,-,0.18,0,0,0,118,10,1865,1707,40,1665,2,t32,2021-09-03
