7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
54,143.8571429,2068.285714,2023-06-05,2.610857853,-,-,2.061175695,-18.28571429,-33.86243386,2023-06-12,14.37735849,17.65398385
49.57142857,131.5714286,2054.142857,2023-06-06,2.413241533,-,-,2.071202795,-14,-28.24207493,2023-06-13,15.61237785,-
48.85714286,125.7142857,2041,2023-06-07,2.393784559,-,-,1.995807128,-14.85714286,-30.40935673,2023-06-14,16.23522727,-
45.57142857,125.1428571,1937.428571,2023-06-08,2.352160448,-,-,1.756608395,-15.85714286,-34.79623824,2023-06-15,15.48173516,-
37.71428571,101.5714286,1754.714286,2023-06-09,2.149312057,-,-,1.749518304,-5.285714286,-14.01515152,2023-06-16,17.27566807,-
37.57142857,97.85714286,1764,2023-06-10,2.129899579,-,-,1.634449159,-7.857142857,-20.91254753,2023-06-17,18.02627737,-
37.14285714,97.85714286,1757,2023-06-11,2.113993008,-,-,1.588556074,-8.428571429,-22.69230769,2023-06-18,17.95474453,-
35.71428571,97.85714286,1732.714286,2023-06-12,2.061175695,-18.28571429,-33.86243386,1.598245064,-6.571428571,-18.4,2023-06-19,17.70656934,-
35.57142857,95,1717.428571,2023-06-13,2.071202795,-14,-28.24207493,1.586782267,-7.857142857,-22.08835341,2023-06-20,18.07819549,-
34,95.57142857,1703.571429,2023-06-14,1.995807128,-14.85714286,-30.40935673,1.479338843,-8.428571429,-24.78991597,2023-06-21,17.82511211,-
29.71428571,90,1691.571429,2023-06-15,1.756608395,-15.85714286,-34.79623824,1.417451864,-5,-16.82692308,2023-06-22,18.7952381,-
32.42857143,107.7142857,1853.571429,2023-06-16,1.749518304,-5.285714286,-14.01515152,1.484812489,-7.428571429,-22.90748899,2023-06-23,17.20822281,-
29.71428571,107.2857143,1818,2023-06-17,1.634449159,-7.857142857,-20.91254753,1.528497409,-4.428571429,-14.90384615,2023-06-24,16.94540613,-
28.71428571,106.8571429,1807.571429,2023-06-18,1.588556074,-8.428571429,-22.69230769,1.555169418,-3.142857143,-10.94527363,2023-06-25,16.9157754,-
29.14285714,106.8571429,1823.428571,2023-06-19,1.598245064,-6.571428571,-18.4,1.502445842,-4.571428571,-15.68627451,2023-06-26,17.06417112,-
27.71428571,101.5714286,1746.571429,2023-06-20,1.586782267,-7.857142857,-22.08835341,1.381365114,-5.857142857,-21.13402062,2023-06-27,17.1954993,-
25.57142857,95.71428571,1728.571429,2023-06-21,1.479338843,-8.428571429,-24.78991597,1.392111369,-4.142857143,-16.20111732,2023-06-28,18.05970149,-
24.71428571,97.14285714,1743.571429,2023-06-22,1.417451864,-5,-16.82692308,1.318340442,-5.285714286,-21.38728324,2023-06-29,17.94852941,-
25,94.14285714,1683.714286,2023-06-23,1.484812489,-7.428571429,-22.90748899,1.224162151,-7.571428571,-30.28571429,2023-06-30,17.88467375,-
25.28571429,93.14285714,1654.285714,2023-06-24,1.528497409,-4.428571429,-14.90384615,1.194280027,-9,-35.59322034,2023-07-01,17.7607362,-
25.57142857,93.57142857,1644.285714,2023-06-25,1.555169418,-3.142857143,-10.94527363,1.24965441,-9.428571429,-36.87150838,2023-07-02,17.57251908,-
24.57142857,93.71428571,1635.428571,2023-06-26,1.502445842,-4.571428571,-15.68627451,-,-,-,-,17.45121951,-
21.85714286,87.14285714,1582.285714,2023-06-27,1.381365114,-5.857142857,-21.13402062,-,-,-,-,18.15737705,-
21.42857143,84.85714286,1539.285714,2023-06-28,1.392111369,-4.142857143,-16.20111732,-,-,-,-,18.13973064,-
19.42857143,77,1473.714286,2023-06-29,1.318340442,-5.285714286,-21.38728324,-,-,-,-,19.13914657,-
17.42857143,72.42857143,1423.714286,2023-06-30,1.224162151,-7.571428571,-30.28571429,-,-,-,-,19.65680473,-
16.28571429,66.78571429,1363.642857,2023-07-01,1.194280027,-9,-35.59322034,-,-,-,-,20.41818182,-
16.14285714,66.5,1291.785714,2023-07-02,1.24965441,-9.428571429,-36.87150838,-,-,-,-,19.42534909,-
