7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
12.57142857,48.78571429,695.0714286,2023-07-06,1.808652759,-,-,1.673360107,-1.857142857,-14.77272727,2023-07-13,14.24743777,22.22173423
11.14285714,45.64285714,582.9285714,2023-07-07,1.91153045,-,-,1.814560744,0.5714285714,5.128205128,2023-07-14,12.771518,-
10,40,522.8571429,2023-07-08,1.912568306,-,-,1.853997683,1.428571429,14.28571429,2023-07-15,13.07142857,-
9.571428571,39.85714286,544,2023-07-09,1.759453782,-,-,1.855245076,2,20.89552239,2023-07-16,13.64874552,-
9.428571429,39.85714286,560,2023-07-10,1.683673469,-,-,1.926200975,2.428571429,25.75757576,2023-07-17,14.05017921,-
9.428571429,34.85714286,551.8571429,2023-07-11,1.708516697,-,-,1.850533808,1.714285714,18.18181818,2023-07-18,15.83196721,-
9.428571429,33.57142857,583.1428571,2023-07-12,1.616854483,-,-,1.757589591,1.571428571,16.66666667,2023-07-19,17.37021277,-
10.71428571,30.71428571,640.2857143,2023-07-13,1.673360107,-1.857142857,-14.77272727,1.622002821,-0.8571428571,-8,2023-07-20,20.84651163,-
11.71428571,28.57142857,645.5714286,2023-07-14,1.814560744,0.5714285714,5.128205128,1.509098979,-2,-17.07317073,2023-07-21,22.595,-
11.42857143,27.14285714,616.4285714,2023-07-15,1.853997683,1.428571429,14.28571429,1.507867133,-1.571428571,-13.75,2023-07-22,22.71052632,-
11.57142857,27.14285714,623.7142857,2023-07-16,1.855245076,2,20.89552239,1.569754588,-1.428571429,-12.34567901,2023-07-23,22.97894737,-
11.85714286,27.14285714,615.5714286,2023-07-17,1.926200975,2.428571429,25.75757576,1.57480315,-1.571428571,-13.25301205,2023-07-24,22.67894737,-
11.14285714,24.85714286,602.1428571,2023-07-18,1.850533808,1.714285714,18.18181818,1.526548673,-1.285714286,-11.53846154,2023-07-25,24.22413793,-
11,23.42857143,625.8571429,2023-07-19,1.757589591,1.571428571,16.66666667,1.655629139,-1,-9.090909091,2023-07-26,26.71341463,-
9.857142857,22.85714286,607.7142857,2023-07-20,1.622002821,-0.8571428571,-8,1.596806387,-0.7142857143,-7.246376812,2023-07-27,26.5875,-
9.714285714,21.71428571,643.7142857,2023-07-21,1.509098979,-2,-17.07317073,1.595888558,-1.285714286,-13.23529412,2023-07-28,29.64473684,-
9.857142857,22.28571429,653.7142857,2023-07-22,1.507867133,-1.571428571,-13.75,1.381597126,-2.714285714,-27.53623188,2023-07-29,29.33333333,-
10.14285714,22.28571429,646.1428571,2023-07-23,1.569754588,-1.428571429,-12.34567901,1.329561528,-3.428571429,-33.8028169,2023-07-30,28.99358974,-
10.28571429,22.28571429,653.1428571,2023-07-24,1.57480315,-1.571428571,-13.25301205,1.300202254,-3.857142857,-37.5,2023-07-31,29.30769231,-
9.857142857,24,645.7142857,2023-07-25,1.526548673,-1.285714286,-11.53846154,1.811163895,-1.142857143,-11.5942029,2023-08-01,26.9047619,-
10,23.71428571,604,2023-07-26,1.655629139,-1,-9.090909091,2.041438147,-0.4285714286,-4.285714286,2023-08-02,25.46987952,-
9.142857143,24.14285714,572.5714286,2023-07-27,1.596806387,-0.7142857143,-7.246376812,-,-,-,-,23.71597633,-
8.428571429,23.85714286,528.1428571,2023-07-28,1.595888558,-1.285714286,-13.23529412,-,-,-,-,22.13772455,-
7.142857143,21.85714286,517,2023-07-29,1.381597126,-2.714285714,-27.53623188,-,-,-,-,23.65359477,-
6.714285714,21.85714286,505,2023-07-30,1.329561528,-3.428571429,-33.8028169,-,-,-,-,23.10457516,-
6.428571429,21.85714286,494.4285714,2023-07-31,1.300202254,-3.857142857,-37.5,-,-,-,-,22.62091503,-
8.714285714,20.42857143,481.1428571,2023-08-01,1.811163895,-1.142857143,-11.5942029,-,-,-,-,23.55244755,-
9.571428571,20,468.8571429,2023-08-02,2.041438147,-0.4285714286,-4.285714286,-,-,-,-,23.44285714,-
