7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
72.71428571,175.1428571,2335.285714,2023-05-29,3.113721172,-,-,2.610857853,-18.71428571,-25.7367387,2023-06-05,13.33360522,16.45189037
61.28571429,166,2270.285714,2023-05-30,2.699471432,-,-,2.413241533,-11.71428571,-19.11421911,2023-06-06,13.67641997,-
57,162.1428571,2217.428571,2023-05-31,2.570545033,-,-,2.393784559,-8.142857143,-14.28571429,2023-06-07,13.67577093,-
59.28571429,159.1428571,2275.714286,2023-06-01,2.60514752,-,-,2.352160448,-13.71428571,-23.13253012,2023-06-08,14.29982047,-
56.85714286,154.1428571,2189.571429,2023-06-02,2.596724734,-,-,2.149312057,-19.14285714,-33.66834171,2023-06-09,14.20481928,-
54.57142857,143.8571429,2129.428571,2023-06-03,2.562726419,-,-,2.129899579,-17,-31.15183246,2023-06-10,14.80238332,-
55.14285714,144.1428571,2124.142857,2023-06-04,2.596005111,-,-,2.113993008,-18,-32.64248705,2023-06-11,14.73637265,-
54,143.8571429,2068.285714,2023-06-05,2.610857853,-18.71428571,-25.7367387,2.061175695,-18.28571429,-33.86243386,2023-06-12,14.37735849,-
49.57142857,131.5714286,2054.142857,2023-06-06,2.413241533,-11.71428571,-19.11421911,2.071202795,-14,-28.24207493,2023-06-13,15.61237785,-
48.85714286,125.7142857,2041,2023-06-07,2.393784559,-8.142857143,-14.28571429,1.995807128,-14.85714286,-30.40935673,2023-06-14,16.23522727,-
45.57142857,125.1428571,1937.428571,2023-06-08,2.352160448,-13.71428571,-23.13253012,1.756608395,-15.85714286,-34.79623824,2023-06-15,15.48173516,-
37.71428571,101.5714286,1754.714286,2023-06-09,2.149312057,-19.14285714,-33.66834171,1.749518304,-5.285714286,-14.01515152,2023-06-16,17.27566807,-
37.57142857,97.85714286,1764,2023-06-10,2.129899579,-17,-31.15183246,1.634449159,-7.857142857,-20.91254753,2023-06-17,18.02627737,-
37.14285714,97.85714286,1757,2023-06-11,2.113993008,-18,-32.64248705,1.588556074,-8.428571429,-22.69230769,2023-06-18,17.95474453,-
35.71428571,97.85714286,1732.714286,2023-06-12,2.061175695,-18.28571429,-33.86243386,1.598245064,-6.571428571,-18.4,2023-06-19,17.70656934,-
35.57142857,95,1717.428571,2023-06-13,2.071202795,-14,-28.24207493,1.586782267,-7.857142857,-22.08835341,2023-06-20,18.07819549,-
34,95.57142857,1703.571429,2023-06-14,1.995807128,-14.85714286,-30.40935673,1.479338843,-8.428571429,-24.78991597,2023-06-21,17.82511211,-
29.71428571,90,1691.571429,2023-06-15,1.756608395,-15.85714286,-34.79623824,1.417451864,-5,-16.82692308,2023-06-22,18.7952381,-
32.42857143,107.7142857,1853.571429,2023-06-16,1.749518304,-5.285714286,-14.01515152,1.484812489,-7.428571429,-22.90748899,2023-06-23,17.20822281,-
29.71428571,107.2857143,1818,2023-06-17,1.634449159,-7.857142857,-20.91254753,1.528497409,-4.428571429,-14.90384615,2023-06-24,16.94540613,-
28.71428571,106.8571429,1807.571429,2023-06-18,1.588556074,-8.428571429,-22.69230769,1.555169418,-3.142857143,-10.94527363,2023-06-25,16.9157754,-
29.14285714,106.8571429,1823.428571,2023-06-19,1.598245064,-6.571428571,-18.4,-,-,-,-,17.06417112,-
27.71428571,101.5714286,1746.571429,2023-06-20,1.586782267,-7.857142857,-22.08835341,-,-,-,-,17.1954993,-
25.57142857,95.71428571,1728.571429,2023-06-21,1.479338843,-8.428571429,-24.78991597,-,-,-,-,18.05970149,-
24.71428571,97.14285714,1743.571429,2023-06-22,1.417451864,-5,-16.82692308,-,-,-,-,17.94852941,-
25,94.14285714,1683.714286,2023-06-23,1.484812489,-7.428571429,-22.90748899,-,-,-,-,17.88467375,-
25.28571429,93.14285714,1654.285714,2023-06-24,1.528497409,-4.428571429,-14.90384615,-,-,-,-,17.7607362,-
25.57142857,93.57142857,1644.285714,2023-06-25,1.555169418,-3.142857143,-10.94527363,-,-,-,-,17.57251908,-
