7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
2037,1782.428571,6698.142857,2023-02-24,30.41141468,-,-,32.62219769,326.5714286,16.0319798,2023-03-03,3.757874489,3.72585961
2117.714286,1849.714286,6843.571429,2023-02-25,30.94457781,-,-,32.91280864,319.7142857,15.09713977,2023-03-04,3.699799197,-
2138.714286,1849.285714,6932.714286,2023-02-26,30.84959509,-,-,33.05115937,298.7142857,13.96700287,2023-03-05,3.748860564,-
2160.428571,1849.571429,6955.142857,2023-02-27,31.06231771,-,-,32.94880204,279.5714286,12.94055412,2023-03-06,3.760407816,-
2209.142857,1843.285714,6953.428571,2023-02-28,31.77055512,-,-,33.25146177,382.4285714,17.31117434,2023-03-07,3.772301015,-
2240.857143,1838.857143,7054.142857,2023-03-01,31.76654043,-,-,33.90506014,481.4285714,21.48412597,2023-03-08,3.836155998,-
2272.714286,1811,7056.571429,2023-03-02,32.2070613,-,-,33.81176348,510.4285714,22.45898548,2023-03-09,3.896505482,-
2363.571429,1836.857143,7245.285714,2023-03-03,32.62219769,326.5714286,16.0319798,33.91014121,466.7142857,19.74614687,2023-03-10,3.944392596,-
2437.428571,1864.714286,7405.714286,2023-03-04,32.91280864,319.7142857,15.09713977,34.20012447,467.2857143,19.17125777,2023-03-11,3.971500804,-
2437.428571,1866.285714,7374.714286,2023-03-05,33.05115937,298.7142857,13.96700287,34.13029283,474.7142857,19.4760286,2023-03-12,3.951546234,-
2440,1867.142857,7405.428571,2023-03-06,32.94880204,279.5714286,12.94055412,34.04970225,484.2857143,19.84777518,2023-03-13,3.966182096,-
2591.571429,2025,7793.857143,2023-03-07,33.25146177,382.4285714,17.31117434,33.64728808,368.4285714,14.21641585,2023-03-14,3.848818342,-
2722.285714,2154.285714,8029.142857,2023-03-08,33.90506014,481.4285714,21.48412597,33.1871345,261.1428571,9.592779177,2023-03-15,3.727055703,-
2783.142857,2228.285714,8231.285714,2023-03-09,33.81176348,510.4285714,22.45898548,32.8160508,228.7142857,8.217842111,2023-03-16,3.693999231,-
2830.285714,2329.857143,8346.428571,2023-03-10,33.91014121,466.7142857,19.74614687,32.24288214,144.8571429,5.118110236,2023-03-17,3.582377828,-
2904.714286,2413.142857,8493.285714,2023-03-11,34.20012447,467.2857143,19.17125777,31.53029202,9,0.3098411449,2023-03-18,3.519595075,-
2912.142857,2411.571429,8532.428571,2023-03-12,34.13029283,474.7142857,19.4760286,31.4973916,-5.428571429,-0.1864115771,2023-03-19,3.53811978,-
2924.285714,2411,8588.285714,2023-03-13,34.04970225,484.2857143,19.84777518,31.33092465,-37.85714286,-1.29457743,2023-03-20,3.56212597,-
2960,2476.142857,8797.142857,2023-03-14,33.64728808,368.4285714,14.21641585,30.52488588,-199.2857143,-6.732625483,2023-03-21,3.55276063,-
2983.428571,2509.857143,8989.714286,2023-03-15,33.1871345,261.1428571,9.592779177,29.57229879,-368.8571429,-12.36353189,2023-03-22,3.581763333,-
3011.857143,2575.714286,9178,2023-03-16,32.8160508,228.7142857,8.217842111,28.67593632,-531.1428571,-17.63506142,2023-03-23,3.563283417,-
2975.142857,2560,9227.285714,2023-03-17,32.24288214,144.8571429,5.118110236,-,-,-,-,3.604408482,-
2913.714286,2519.571429,9241,2023-03-18,31.53029202,9,0.3098411449,-,-,-,-,3.667687248,-
2906.714286,2522.142857,9228.428571,2023-03-19,31.4973916,-5.428571429,-0.1864115771,-,-,-,-,3.658963466,-
2886.428571,2521.285714,9212.714286,2023-03-20,31.33092465,-37.85714286,-1.29457743,-,-,-,-,3.653974729,-
2760.714286,2448.714286,9044.142857,2023-03-21,30.52488588,-199.2857143,-6.732625483,-,-,-,-,3.693425121,-
2614.571429,2356.857143,8841.285714,2023-03-22,29.57229879,-368.8571429,-12.36353189,-,-,-,-,3.751303188,-
2480.714286,2265.285714,8650.857143,2023-03-23,28.67593632,-531.1428571,-17.63506142,-,-,-,-,3.818881251,-
