7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
340.5714286,404,1292.571429,2023-10-20,26.34836428,-,-,32.47262043,180.4285714,52.97818792,2023-10-27,3.199434229,2.991456073
356.5714286,422.1428571,1324.285714,2023-10-21,26.92556634,-,-,33.68818681,204,57.21153846,2023-10-28,3.137055838,-
356.4285714,422.2857143,1319.714286,2023-10-22,27.00801039,-,-,33.80837912,206.1428571,57.83567134,2023-10-29,3.125169147,-
360.5714286,422,1352.714286,2023-10-23,26.65540184,-,-,34.26232364,201.4285714,55.8637084,2023-10-30,3.205484089,-
402.8571429,451.1428571,1424.714286,2023-10-24,28.27634613,-,-,34.82135351,188.8571429,46.87943262,2023-10-31,3.1580114,-
447.5714286,473.5714286,1495.428571,2023-10-25,29.92930837,-,-,34.66458914,156.2857143,34.91860836,2023-11-01,3.157767722,-
489,500.5714286,1560.571429,2023-10-26,31.33467594,-,-,34.53623621,7.285714286,1.489921122,2023-11-02,3.117579909,-
521,515.5714286,1604.428571,2023-10-27,32.47262043,180.4285714,52.97818792,35.899327,35.28571429,6.772689882,2023-11-03,3.111942366,-
560.5714286,534.4285714,1664,2023-10-28,33.68818681,204,57.21153846,36.48954704,37.85714286,6.753312946,2023-11-04,3.113605988,-
562.5714286,534.8571429,1664,2023-10-29,33.80837912,206.1428571,57.83567134,36.49869679,37.57142857,6.678517014,2023-11-05,3.111111111,-
562,535.1428571,1640.285714,2023-10-30,34.26232364,201.4285714,55.8637084,36.4384036,39.28571429,6.99034062,2023-11-06,3.065136145,-
591.7142857,550.1428571,1699.285714,2023-10-31,34.82135351,188.8571429,46.87943262,37.17597306,86.42857143,14.6064703,2023-11-07,3.088808102,-
603.8571429,569.4285714,1742,2023-11-01,34.66458914,156.2857143,34.91860836,38.10957255,119.5714286,19.8012775,2023-11-08,3.059207225,-
496.2857143,466.5714286,1437,2023-11-02,34.53623621,7.285714286,1.489921122,38.73593934,394.1428571,79.41853771,2023-11-09,3.079914268,-
556.2857143,517.7142857,1549.571429,2023-11-03,35.899327,35.28571429,6.772689882,38.59309656,327,58.78274268,2023-11-10,2.993101545,-
598.4285714,546.8571429,1640,2023-11-04,36.48954704,37.85714286,6.753312946,38.7784627,282.2857143,47.17116257,2023-11-11,2.998955068,-
600.1428571,546.8571429,1644.285714,2023-11-05,36.49869679,37.57142857,6.678517014,38.64413099,288.2857143,48.03618186,2023-11-12,3.006792059,-
601.2857143,546.5714286,1650.142857,2023-11-06,36.4384036,39.28571429,6.99034062,39.52072788,279.8571429,46.54312188,2023-11-13,3.019079979,-
678.1428571,617.2857143,1824.142857,2023-11-07,37.17597306,86.42857143,14.6064703,40.85196881,227.4285714,33.53697072,2023-11-14,2.955102985,-
723.4285714,660.5714286,1898.285714,2023-11-08,38.10957255,119.5714286,19.8012775,41.2246685,218.1428571,30.15402844,2023-11-15,2.873702422,-
890.4285714,806,2298.714286,2023-11-09,38.73593934,394.1428571,79.41853771,41.23458305,69.57142857,7.813252046,2023-11-16,2.852002836,-
883.2857143,798.4285714,2288.714286,2023-11-10,38.59309656,327,58.78274268,-,-,-,-,2.866523528,-
880.7142857,805.7142857,2271.142857,2023-11-11,38.7784627,282.2857143,47.17116257,-,-,-,-,2.818794326,-
888.4285714,805.2857143,2299,2023-11-12,38.64413099,288.2857143,48.03618186,-,-,-,-,2.854887351,-
881.1428571,805.2857143,2229.571429,2023-11-13,39.52072788,279.8571429,46.54312188,-,-,-,-,2.768671279,-
905.5714286,828.2857143,2216.714286,2023-11-14,40.85196881,227.4285714,33.53697072,-,-,-,-,2.676267679,-
941.5714286,848.7142857,2284,2023-11-15,41.2246685,218.1428571,30.15402844,-,-,-,-,2.691129439,-
960,876.7142857,2328.142857,2023-11-16,41.23458305,69.57142857,7.813252046,-,-,-,-,2.655532019,-
