7D AVR - infections,7D AVR - number of orders,7D AVR - number of tests,Date,Percentage of infections in the number of tests performed,Difference of infections - week to week,Percentage of infections - week by week,Percentage Of Infections In The Number Of Tests Performed,Difference Of Infections - Week To Week,Percentage Of Infections - Week To Week,Date,The Cuotient Of Performed Tests To Orders,AVR L2:L29
294.2857143,506.8571429,4499.142857,2023-01-15,6.540928431,-,-,7.89010989,13.42857143,4.563106796,2023-01-22,8.876550169,7.433591492
287.4285714,507,4430.285714,2023-01-16,6.48781117,-,-,7.947409012,21.71428571,7.554671968,2023-01-23,8.738236123,-
288.8571429,458.1428571,4229.857143,2023-01-17,6.829004695,-,-,8.721776451,45,15.57863501,2023-01-24,9.232616152,-
290,437.4285714,4134.142857,2023-01-18,7.014755175,-,-,8.950109649,-10.14285714,-3.497536946,2023-01-25,9.45101241,-
296.5714286,435.7142857,4046.714286,2023-01-19,7.328697003,-,-,9.552577788,3.857142857,1.300578035,2023-01-26,9.287540984,-
297.5714286,426.5714286,3998.571429,2023-01-20,7.441943551,-,-,10.66765099,32.71428571,10.993759,2023-01-27,9.373744139,-
308.2857143,434.1428571,3949.857143,2023-01-21,7.804983905,-,-,11.10447487,37,12.00185357,2023-01-28,9.098058572,-
307.7142857,434,3900,2023-01-22,7.89010989,13.42857143,4.563106796,11.31593874,34.28571429,11.14206128,2023-01-29,8.986175115,-
309.1428571,433.8571429,3889.857143,2023-01-23,7.947409012,21.71428571,7.554671968,11.49891383,31.14285714,10.07393715,2023-01-30,8.96575568,-
333.8571429,452.2857143,3827.857143,2023-01-24,8.721776451,45,15.57863501,12.80962153,49.57142857,14.84809585,2023-01-31,8.463360708,-
279.8571429,372.7142857,3126.857143,2023-01-25,8.950109649,-10.14285714,-3.497536946,13.42179517,223,79.683512,2023-02-01,8.389421234,-
300.4285714,388.1428571,3145,2023-01-26,9.552577788,3.857142857,1.300578035,14.54998085,242.2857143,80.6466952,2023-02-02,8.102686787,-
330.2857143,411.4285714,3096.142857,2023-01-27,10.66765099,32.71428571,10.993759,13.43736587,295.8571429,89.57612457,2023-02-03,7.525347222,-
345.2857143,430,3109.428571,2023-01-28,11.10447487,37,12.00185357,13.88995996,323.7142857,93.75258585,2023-02-04,7.231229236,-
342,430.4285714,3022.285714,2023-01-29,11.31593874,34.28571429,11.14206128,13.86733563,337.1428571,98.57978279,2023-02-05,7.021573183,-
340.2857143,430.2857143,2959.285714,2023-01-30,11.49891383,31.14285714,10.07393715,13.88250172,349.7142857,102.7707809,2023-02-06,6.87749004,-
383.4285714,493.7142857,2993.285714,2023-01-31,12.80962153,49.57142857,14.84809585,14.61985071,372,97.01937407,2023-02-07,6.062789352,-
502.8571429,637.1428571,3746.571429,2023-02-01,13.42179517,223,79.683512,15.37688715,306.1428571,60.88068182,2023-02-08,5.880269058,-
542.7142857,678.5714286,3730,2023-02-02,14.54998085,242.2857143,80.6466952,15.71995406,317.5714286,58.51539879,2023-02-09,5.496842105,-
626.1428571,718.8571429,4659.714286,2023-02-03,13.43736587,295.8571429,89.57612457,18.43638129,242,38.64932695,2023-02-10,6.482114467,-
669,761.2857143,4816.428571,2023-02-04,13.88995996,323.7142857,93.75258585,19.64731771,274.8571429,41.08477472,2023-02-11,6.326702946,-
679.1428571,760.8571429,4897.428571,2023-02-05,13.86733563,337.1428571,98.57978279,-,-,-,-,6.436725498,-
690,761.5714286,4970.285714,2023-02-06,13.88250172,349.7142857,102.7707809,-,-,-,-,6.52635528,-
755.4285714,810,5167.142857,2023-02-07,14.61985071,372,97.01937407,-,-,-,-,6.379188713,-
809,837,5261.142857,2023-02-08,15.37688715,306.1428571,60.88068182,-,-,-,-,6.285714286,-
860.2857143,865.5714286,5472.571429,2023-02-09,15.71995406,317.5714286,58.51539879,-,-,-,-,6.322495461,-
868.1428571,896.1428571,4708.857143,2023-02-10,18.43638129,242,38.64932695,-,-,-,-,5.254583134,-
943.8571429,948.2857143,4804,2023-02-11,19.64731771,274.8571429,41.08477472,-,-,-,-,5.06598373,-
