Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-03-05,Entire Country,Entire Country,0000,0.03,0.63,37.99,2023-03-05,3823.19,0.39,0.40,0.44,0.47,0.50,0.53,0.55,0.56,0.56,0.57,0.58,0.59,0.62,0.63,0.63
2023-03-05,dolnośląskie,Bolesławiecki,0201,0.00,0.27,31.75,2023-03-05,8.98,0.27,0.27,0.33,0.38,0.37,0.45,0.45,0.46,0.48,0.43,0.43,0.40,0.33,0.28,0.27
2023-03-05,dolnośląskie,Dzierżoniowski,0202,0.00,0.24,35.02,2023-03-05,9.99,0.36,0.34,0.41,0.36,0.41,0.47,0.44,0.44,0.47,0.41,0.40,0.31,0.26,0.23,0.24
2023-03-05,dolnośląskie,Głogowski,0203,0.00,0.52,42.46,2023-03-05,8.84,0.63,0.63,0.58,0.48,0.55,0.56,0.48,0.47,0.47,0.48,0.42,0.45,0.50,0.50,0.52
2023-03-05,dolnośląskie,Górowski,0204,0.00,0.37,28.22,2023-03-05,3.46,0.08,0.08,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.08,0.12,0.17,0.25,0.37,0.37
2023-03-05,dolnośląskie,Jaworski,0205,0.00,0.17,35.56,2023-03-05,4.97,0.00,0.00,0.00,0.11,0.11,0.20,0.23,0.26,0.26,0.29,0.26,0.29,0.23,0.20,0.17
2023-03-05,dolnośląskie,Karkonoski,0206,0.00,0.09,29.13,2023-03-05,6.33,0.05,0.07,0.14,0.20,0.20,0.20,0.23,0.25,0.23,0.16,0.14,0.14,0.16,0.11,0.09
2023-03-05,dolnośląskie,Kamiennogórski,0207,0.00,0.23,36.59,2023-03-05,4.28,0.16,0.16,0.26,0.23,0.30,0.36,0.36,0.36,0.36,0.26,0.30,0.30,0.26,0.23,0.23
2023-03-05,dolnośląskie,Kłodzki,0208,0.00,0.26,35.77,2023-03-05,15.63,0.31,0.33,0.32,0.29,0.28,0.26,0.23,0.21,0.21,0.24,0.23,0.25,0.24,0.25,0.26
2023-03-05,dolnośląskie,Legnicki,0209,0.00,0.23,32.09,2023-03-05,5.51,0.10,0.10,0.10,0.15,0.18,0.15,0.18,0.18,0.21,0.31,0.28,0.26,0.23,0.21,0.23
