Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-04-11,Entire Country,Entire Country,0000,0.04,0.17,38.07,2023-04-08,3823.19,0.52,0.47,0.42,0.39,0.35,0.35,0.34,0.31,0.29,0.28,0.26,0.24,0.24,0.23,0.17
2023-04-11,dolnośląskie,Bolesławiecki,0201,0.00,0.16,31.77,2023-04-08,8.98,0.90,0.68,0.54,0.48,0.43,0.43,0.40,0.25,0.25,0.24,0.22,0.19,0.19,0.19,0.16
2023-04-11,dolnośląskie,Dzierżoniowski,0202,0.00,0.33,35.04,2023-04-08,9.99,0.44,0.47,0.44,0.38,0.34,0.34,0.34,0.20,0.20,0.24,0.29,0.36,0.36,0.37,0.33
2023-04-11,dolnośląskie,Głogowski,0203,0.00,0.06,42.49,2023-04-08,8.84,0.40,0.37,0.34,0.35,0.32,0.31,0.31,0.29,0.26,0.23,0.19,0.15,0.16,0.13,0.06
2023-04-11,dolnośląskie,Górowski,0204,0.00,0.04,28.22,2023-04-08,3.46,0.08,0.04,0.00,0.00,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.00,0.04,0.04,0.04
2023-04-11,dolnośląskie,Jaworski,0205,0.00,0.11,35.57,2023-04-08,4.97,0.06,0.06,0.03,0.06,0.06,0.06,0.11,0.14,0.17,0.20,0.23,0.20,0.20,0.14,0.11
2023-04-11,dolnośląskie,Karkonoski,0206,0.00,0.02,29.21,2023-04-08,6.33,0.20,0.16,0.14,0.20,0.25,0.25,0.25,0.25,0.25,0.20,0.14,0.07,0.07,0.07,0.02
2023-04-11,dolnośląskie,Kamiennogórski,0207,0.00,0.07,36.62,2023-04-08,4.28,0.36,0.36,0.20,0.17,0.13,0.13,0.13,0.03,0.03,0.10,0.07,0.07,0.07,0.07,0.07
2023-04-11,dolnośląskie,Kłodzki,0208,0.00,0.00,35.79,2023-04-08,15.63,0.04,0.06,0.04,0.05,0.06,0.06,0.06,0.08,0.06,0.06,0.05,0.03,0.03,0.03,0.00
2023-04-11,dolnośląskie,Legnicki,0209,0.00,0.10,32.11,2023-04-08,5.51,0.33,0.31,0.21,0.18,0.13,0.13,0.15,0.08,0.13,0.13,0.15,0.15,0.15,0.13,0.10
2023-04-11,dolnośląskie,Lubański,0210,0.00,0.11,31.74,2023-04-08,5.39,0.37,0.31,0.18,0.13,0.24,0.24,0.21,0.16,0.16,0.21,0.21,0.13,0.13,0.13,0.11
2023-04-11,dolnośląskie,Lubiński,0211,0.00,0.13,43.68,2023-04-08,10.59,0.54,0.46,0.43,0.36,0.30,0.27,0.25,0.20,0.20,0.16,0.19,0.16,0.16,0.16,0.13
2023-04-11,dolnośląskie,Lwówecki,0212,0.00,0.09,39.35,2023-04-08,4.56,0.47,0.44,0.34,0.41,0.28,0.28,0.28,0.22,0.16,0.19,0.19,0.16,0.16,0.16,0.09
2023-04-11,dolnośląskie,Milicki,0213,0.00,0.15,35.46,2023-04-08,3.68,1.74,1.90,1.90,2.01,1.59,1.59,1.59,0.85,0.54,0.58,0.46,0.39,0.39,0.39,0.15
2023-04-11,dolnośląskie,Oleśnicki,0214,0.00,0.08,52.70,2023-04-08,10.73,0.20,0.21,0.16,0.15,0.15,0.16,0.16,0.12,0.13,0.12,0.12,0.11,0.09,0.09,0.08
2023-04-11,dolnośląskie,Oławski,0215,0.00,0.02,25.60,2023-04-08,4.36,0.20,0.22,0.24,0.20,0.15,0.17,0.17,0.13,0.07,0.06,0.04,0.04,0.02,0.02,0.02
2023-04-11,dolnośląskie,Polkowicki,0216,0.00,0.09,27.45,2023-04-08,6.30,0.43,0.32,0.27,0.25,0.20,0.20,0.23,0.16,0.11,0.11,0.09,0.14,0.14,0.11,0.09
2023-04-11,dolnośląskie,Strzeliński,0217,0.00,0.10,35.69,2023-04-08,4.32,0.49,0.56,0.43,0.36,0.16,0.20,0.20,0.16,0.16,0.16,0.16,0.16,0.13,0.13,0.10
2023-04-11,dolnośląskie,Średzki,0218,0.00,0.26,25.07,2023-04-08,5.55,0.51,0.44,0.39,0.31,0.28,0.28,0.28,0.15,0.23,0.23,0.26,0.31,0.31,0.31,0.26
2023-04-11,dolnośląskie,Świdnicki,0219,0.00,0.12,36.53,2023-04-08,15.60,0.35,0.32,0.26,0.27,0.23,0.22,0.22,0.19,0.16,0.18,0.12,0.13,0.13,0.13,0.12
2023-04-11,dolnośląskie,Trzebnicki,0220,0.00,0.13,32.66,2023-04-08,8.52,0.23,0.27,0.15,0.24,0.29,0.29,0.30,0.30,0.27,0.29,0.24,0.17,0.15,0.15,0.13
2023-04-11,dolnośląskie,Wałbrzyski,0221,0.00,0.26,24.37,2023-04-08,5.51,0.31,0.41,0.36,0.39,0.33,0.31,0.31,0.28,0.23,0.23,0.31,0.28,0.28,0.28,0.26
2023-04-11,dolnośląskie,Wołowski,0222,0.00,0.06,35.16,2023-04-08,4.66,0.15,0.12,0.06,0.09,0.06,0.06,0.06,0.06,0.09,0.09,0.06,0.09,0.09,0.09,0.06
2023-04-11,dolnośląskie,Wrocławski,0223,0.00,0.16,33.09,2023-04-08,15.63,0.68,0.64,0.54,0.44,0.35,0.35,0.34,0.26,0.23,0.24,0.22,0.23,0.24,0.24,0.16
2023-04-11,dolnośląskie,Ząbkowicki,0224,0.00,0.11,34.69,2023-04-08,6.41,0.71,0.69,0.49,0.47,0.33,0.33,0.31,0.22,0.20,0.24,0.20,0.20,0.20,0.20,0.11
2023-04-11,dolnośląskie,Zgorzelecki,0225,0.00,0.14,35.60,2023-04-08,8.84,0.29,0.21,0.19,0.16,0.15,0.13,0.13,0.16,0.21,0.18,0.23,0.19,0.21,0.21,0.14
2023-04-11,dolnośląskie,Złotoryjski,0226,0.00,0.16,37.43,2023-04-08,4.30,0.46,0.53,0.49,0.49,0.36,0.33,0.33,0.26,0.20,0.16,0.20,0.13,0.16,0.16,0.16
2023-04-11,dolnośląskie,Jelenia Góra,0261,0.00,0.15,54.43,2023-04-08,7.83,0.31,0.18,0.14,0.11,0.25,0.25,0.27,0.34,0.36,0.36,0.36,0.24,0.25,0.24,0.15
2023-04-11,dolnośląskie,Legnica,0262,0.00,0.16,43.82,2023-04-08,9.84,0.45,0.42,0.29,0.26,0.23,0.23,0.21,0.19,0.23,0.24,0.24,0.19,0.19,0.19,0.16
2023-04-11,dolnośląskie,Wrocław,0264,0.03,0.15,69.64,2023-04-08,64.19,0.55,0.55,0.49,0.48,0.35,0.34,0.34,0.30,0.28,0.24,0.22,0.21,0.21,0.21,0.15
2023-04-11,dolnośląskie,Wałbrzych,0265,0.09,0.09,55.50,2023-04-08,11.00,0.28,0.22,0.19,0.18,0.18,0.17,0.17,0.12,0.08,0.08,0.08,0.10,0.10,0.10,0.09
