Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2024-03-01,dolnośląskie,Legnica,0262,0.00,0.01,45.92,2024-02-24,9.84,0.03,0.03,0.03,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
2024-03-01,dolnośląskie,Wrocław,0264,0.00,0.01,73.24,2024-02-24,64.19,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.01
2024-03-01,dolnośląskie,Wałbrzych,0265,0.00,0.00,56.13,2024-02-24,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,kujawsko-pomorskie,Aleksandrowski,0401,0.00,0.00,46.37,2024-02-24,5.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-03-01,kujawsko-pomorskie,Brodnicki,0402,0.00,0.02,34.04,2024-02-24,7.90,0.06,0.04,0.04,0.04,0.07,0.05,0.05,0.04,0.04,0.04,0.04,0.00,0.00,0.02,0.02
2024-03-01,kujawsko-pomorskie,Bydgoski,0403,0.08,0.02,29.16,2024-02-24,12.04,0.03,0.03,0.03,0.03,0.06,0.06,0.11,0.12,0.11,0.11,0.11,0.10,0.10,0.04,0.02
2024-03-01,kujawsko-pomorskie,Chełmiński,0404,0.00,0.03,38.00,2024-02-24,5.17,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03
2024-03-01,kujawsko-pomorskie,Golubsko-Dobrzyński,0405,0.00,0.06,25.77,2024-02-24,4.49,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.09,0.09,0.09,0.06,0.06,0.06,0.06
2024-03-01,kujawsko-pomorskie,Grudziądzki,0406,0.00,0.00,21.58,2024-02-24,4.03,0.11,0.14,0.14,0.14,0.07,0.07,0.11,0.11,0.07,0.07,0.07,0.04,0.04,0.00,0.00
2024-03-01,kujawsko-pomorskie,Inowrocławski,0407,0.00,0.03,31.69,2024-02-24,15.85,0.09,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03
2024-03-01,kujawsko-pomorskie,Lipnowski,0408,0.00,0.00,29.45,2024-02-24,6.55,0.13,0.13,0.13,0.13,0.09,0.09,0.11,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.00
2024-03-01,kujawsko-pomorskie,Mogileński,0409,0.00,0.00,38.10,2024-02-24,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
