Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2024-07-17,Entire Country,Entire Country,0000,0.00,0.03,39.49,2024-07-13,3823.19,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03
2024-07-17,dolnośląskie,Bolesławiecki,0201,0.00,0.05,32.75,2024-07-13,8.98,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.05
2024-07-17,dolnośląskie,Dzierżoniowski,0202,0.00,0.06,36.40,2024-07-13,9.99,0.09,0.07,0.04,0.04,0.04,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.03,0.06
2024-07-17,dolnośląskie,Głogowski,0203,0.00,0.00,44.52,2024-07-13,8.84,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
2024-07-17,dolnośląskie,Górowski,0204,0.00,0.00,29.05,2024-07-13,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-07-17,dolnośląskie,Jaworski,0205,0.00,0.00,37.10,2024-07-13,4.97,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00
2024-07-17,dolnośląskie,Karkonoski,0206,0.00,0.05,30.11,2024-07-13,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.05,0.05,0.05,0.05,0.05
2024-07-17,dolnośląskie,Kamiennogórski,0207,0.00,0.03,37.50,2024-07-13,4.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03
2024-07-17,dolnośląskie,Kłodzki,0208,0.00,0.00,36.71,2024-07-13,15.63,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024-07-17,dolnośląskie,Legnicki,0209,0.00,0.00,33.25,2024-07-13,5.51,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
