Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-12-05,Entire Country,Entire Country,0000,0.02,0.53,38.20,2023-12-02,3823.19,0.30,0.32,0.33,0.35,0.36,0.36,0.36,0.39,0.41,0.44,0.46,0.48,0.48,0.49,0.53
2023-12-05,dolnośląskie,Bolesławiecki,0201,0.00,0.54,31.78,2023-12-02,8.98,0.38,0.37,0.46,0.49,0.52,0.52,0.52,0.65,0.65,0.65,0.60,0.64,0.64,0.64,0.54
2023-12-05,dolnośląskie,Dzierżoniowski,0202,0.00,0.80,35.10,2023-12-02,9.99,0.36,0.45,0.40,0.41,0.46,0.46,0.46,0.65,0.67,0.70,0.70,0.71,0.71,0.71,0.80
2023-12-05,dolnośląskie,Głogowski,0203,0.00,0.76,42.53,2023-12-02,8.84,0.64,0.66,0.76,0.77,0.77,0.77,0.77,0.68,0.58,0.60,0.63,0.64,0.64,0.68,0.76
2023-12-05,dolnośląskie,Górowski,0204,0.00,0.17,28.22,2023-12-02,3.46,0.08,0.12,0.12,0.17,0.17,0.17,0.17,0.08,0.08,0.12,0.08,0.08,0.08,0.08,0.17
2023-12-05,dolnośląskie,Jaworski,0205,0.00,0.20,35.61,2023-12-02,4.97,0.00,0.03,0.11,0.11,0.11,0.11,0.11,0.20,0.20,0.11,0.17,0.17,0.17,0.17,0.20
2023-12-05,dolnośląskie,Karkonoski,0206,0.00,0.38,29.29,2023-12-02,6.33,0.20,0.16,0.14,0.16,0.23,0.23,0.23,0.16,0.43,0.47,0.45,0.36,0.36,0.36,0.38
2023-12-05,dolnośląskie,Kamiennogórski,0207,0.00,0.43,36.62,2023-12-02,4.28,0.23,0.23,0.33,0.40,0.43,0.43,0.43,0.53,0.63,0.50,0.46,0.50,0.50,0.50,0.43
2023-12-05,dolnośląskie,Kłodzki,0208,0.00,0.18,35.81,2023-12-02,15.63,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.07,0.11,0.14,0.13,0.13,0.13,0.13,0.18
2023-12-05,dolnośląskie,Legnicki,0209,0.00,0.10,32.11,2023-12-02,5.51,0.13,0.13,0.10,0.08,0.05,0.05,0.05,0.05,0.08,0.03,0.03,0.08,0.08,0.08,0.10
2023-12-05,dolnośląskie,Lubański,0210,0.00,0.00,31.80,2023-12-02,5.39,0.03,0.03,0.03,0.05,0.03,0.03,0.03,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.00
2023-12-05,dolnośląskie,Lubiński,0211,0.00,0.53,43.74,2023-12-02,10.59,0.20,0.19,0.19,0.22,0.24,0.24,0.27,0.41,0.45,0.47,0.50,0.51,0.51,0.53,0.53
2023-12-05,dolnośląskie,Lwówecki,0212,0.00,0.25,39.38,2023-12-02,4.56,0.34,0.31,0.16,0.22,0.25,0.25,0.25,0.28,0.31,0.22,0.19,0.22,0.22,0.22,0.25
2023-12-05,dolnośląskie,Milicki,0213,0.00,0.35,35.53,2023-12-02,3.68,0.27,0.27,0.39,0.42,0.50,0.50,0.50,0.46,0.46,0.39,0.39,0.31,0.31,0.31,0.35
2023-12-05,dolnośląskie,Oleśnicki,0214,0.00,0.15,52.76,2023-12-02,10.73,0.24,0.25,0.31,0.25,0.25,0.25,0.24,0.16,0.21,0.15,0.17,0.13,0.13,0.13,0.15
2023-12-05,dolnośląskie,Oławski,0215,0.00,0.28,25.65,2023-12-02,4.36,0.17,0.17,0.19,0.24,0.22,0.22,0.22,0.30,0.30,0.33,0.26,0.30,0.30,0.30,0.28
2023-12-05,dolnośląskie,Polkowicki,0216,0.00,0.41,27.47,2023-12-02,6.30,0.38,0.45,0.45,0.36,0.43,0.41,0.41,0.39,0.39,0.30,0.34,0.32,0.32,0.36,0.41
2023-12-05,dolnośląskie,Strzeliński,0217,0.00,0.46,35.72,2023-12-02,4.32,0.10,0.16,0.26,0.33,0.43,0.43,0.43,0.46,0.56,0.43,0.46,0.46,0.49,0.49,0.46
2023-12-05,dolnośląskie,Średzki,0218,0.00,0.13,25.08,2023-12-02,5.55,0.21,0.33,0.33,0.36,0.33,0.33,0.33,0.26,0.10,0.15,0.10,0.13,0.13,0.13,0.13
2023-12-05,dolnośląskie,Świdnicki,0219,0.00,0.22,36.57,2023-12-02,15.60,0.25,0.26,0.26,0.30,0.25,0.24,0.24,0.26,0.24,0.21,0.19,0.23,0.23,0.23,0.22
2023-12-05,dolnośląskie,Trzebnicki,0220,0.00,0.13,32.68,2023-12-02,8.52,0.02,0.03,0.05,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.05,0.08,0.08,0.08,0.13
2023-12-05,dolnośląskie,Wałbrzyski,0221,0.18,0.21,24.38,2023-12-02,5.51,0.03,0.00,0.00,0.03,0.05,0.05,0.05,0.08,0.15,0.15,0.18,0.18,0.18,0.18,0.21
2023-12-05,dolnośląskie,Wołowski,0222,0.00,0.09,35.30,2023-12-02,4.66,0.06,0.09,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.06,0.06,0.06,0.09
2023-12-05,dolnośląskie,Wrocławski,0223,0.00,0.50,33.13,2023-12-02,15.63,0.31,0.38,0.34,0.36,0.42,0.42,0.42,0.55,0.52,0.62,0.56,0.48,0.49,0.49,0.50
2023-12-05,dolnośląskie,Ząbkowicki,0224,0.00,1.11,34.72,2023-12-02,6.41,0.29,0.42,0.45,0.58,0.76,0.76,0.76,0.71,0.67,0.78,0.89,0.91,0.91,0.91,1.11
2023-12-05,dolnośląskie,Zgorzelecki,0225,0.00,0.55,35.62,2023-12-02,8.84,0.24,0.24,0.21,0.21,0.19,0.19,0.19,0.29,0.29,0.40,0.48,0.55,0.55,0.55,0.55
2023-12-05,dolnośląskie,Złotoryjski,0226,0.00,0.26,37.45,2023-12-02,4.30,0.16,0.23,0.26,0.26,0.20,0.20,0.20,0.16,0.13,0.10,0.16,0.20,0.20,0.23,0.26
2023-12-05,dolnośląskie,Jelenia Góra,0261,0.13,0.40,54.47,2023-12-02,7.83,0.23,0.13,0.16,0.20,0.20,0.20,0.20,0.18,0.29,0.25,0.25,0.32,0.32,0.32,0.40
