Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
2023-11-10,Entire Country,Entire Country,0000,0.01,0.23,38.19,2023-11-04,3823.19,0.14,0.15,0.15,0.15,0.15,0.16,0.13,0.15,0.16,0.16,0.16,0.18,0.19,0.23,0.23
2023-11-10,dolnośląskie,Bolesławiecki,0201,0.00,0.24,31.78,2023-11-04,8.98,0.09,0.09,0.09,0.09,0.22,0.22,0.21,0.21,0.22,0.22,0.22,0.19,0.17,0.22,0.24
2023-11-10,dolnośląskie,Dzierżoniowski,0202,0.00,0.36,35.09,2023-11-04,9.99,0.30,0.30,0.30,0.30,0.36,0.33,0.24,0.24,0.24,0.24,0.24,0.27,0.31,0.37,0.36
2023-11-10,dolnośląskie,Głogowski,0203,0.00,0.47,42.53,2023-11-04,8.84,0.39,0.51,0.51,0.47,0.40,0.50,0.32,0.32,0.29,0.29,0.29,0.37,0.35,0.50,0.47
2023-11-10,dolnośląskie,Górowski,0204,0.00,0.04,28.22,2023-11-04,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04
2023-11-10,dolnośląskie,Jaworski,0205,0.00,0.03,35.61,2023-11-04,4.97,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03
2023-11-10,dolnośląskie,Karkonoski,0206,0.00,0.07,29.27,2023-11-04,6.33,0.11,0.14,0.14,0.14,0.16,0.16,0.14,0.14,0.11,0.11,0.11,0.07,0.05,0.05,0.07
2023-11-10,dolnośląskie,Kamiennogórski,0207,0.00,0.13,36.62,2023-11-04,4.28,0.10,0.10,0.10,0.10,0.16,0.13,0.10,0.10,0.10,0.10,0.13,0.10,0.10,0.13,0.13
2023-11-10,dolnośląskie,Kłodzki,0208,0.00,0.04,35.81,2023-11-04,15.63,0.03,0.03,0.03,0.03,0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,0.04
2023-11-10,dolnośląskie,Legnicki,0209,0.00,0.03,32.11,2023-11-04,5.51,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03
2023-11-10,dolnośląskie,Lubański,0210,0.00,0.03,31.80,2023-11-04,5.39,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.03,0.03,0.03,0.03
2023-11-10,dolnośląskie,Lubiński,0211,0.00,0.12,43.73,2023-11-04,10.59,0.17,0.13,0.15,0.15,0.15,0.20,0.19,0.12,0.16,0.15,0.15,0.17,0.12,0.16,0.12
2023-11-10,dolnośląskie,Lwówecki,0212,0.00,0.03,39.37,2023-11-04,4.56,0.00,0.03,0.03,0.03,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.03,0.03
2023-11-10,dolnośląskie,Milicki,0213,0.00,0.46,35.53,2023-11-04,3.68,0.12,0.27,0.27,0.27,0.31,0.27,0.19,0.19,0.12,0.12,0.12,0.19,0.31,0.35,0.46
2023-11-10,dolnośląskie,Oleśnicki,0214,0.00,0.11,52.76,2023-11-04,10.73,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.04,0.04,0.04,0.04,0.03,0.05,0.11,0.11
2023-11-10,dolnośląskie,Oławski,0215,0.00,0.20,25.65,2023-11-04,4.36,0.11,0.15,0.15,0.15,0.11,0.11,0.04,0.04,0.00,0.00,0.00,0.04,0.20,0.20,0.20
2023-11-10,dolnośląskie,Polkowicki,0216,0.00,0.25,27.47,2023-11-04,6.30,0.29,0.32,0.32,0.29,0.27,0.29,0.20,0.07,0.14,0.14,0.14,0.20,0.20,0.25,0.25
2023-11-10,dolnośląskie,Strzeliński,0217,0.00,0.10,35.72,2023-11-04,4.32,0.13,0.07,0.07,0.07,0.10,0.07,0.03,0.10,0.13,0.13,0.13,0.13,0.16,0.16,0.10
2023-11-10,dolnośląskie,Średzki,0218,0.00,0.23,25.08,2023-11-04,5.55,0.10,0.08,0.08,0.08,0.03,0.08,0.05,0.05,0.05,0.05,0.05,0.08,0.13,0.18,0.23
2023-11-10,dolnośląskie,Świdnicki,0219,0.00,0.20,36.57,2023-11-04,15.60,0.11,0.14,0.14,0.14,0.12,0.10,0.09,0.11,0.11,0.11,0.11,0.12,0.17,0.20,0.20
2023-11-10,dolnośląskie,Trzebnicki,0220,0.00,0.08,32.67,2023-11-04,8.52,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0.03,0.07,0.07,0.08,0.08
2023-11-10,dolnośląskie,Wałbrzyski,0221,0.00,0.05,24.38,2023-11-04,5.51,0.03,0.03,0.03,0.03,0.05,0.03,0.03,0.08,0.10,0.10,0.10,0.08,0.08,0.08,0.05
2023-11-10,dolnośląskie,Wołowski,0222,0.00,0.00,35.30,2023-11-04,4.66,0.09,0.15,0.15,0.15,0.15,0.12,0.09,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-11-10,dolnośląskie,Wrocławski,0223,0.00,0.28,33.13,2023-11-04,15.63,0.19,0.18,0.18,0.18,0.15,0.13,0.11,0.18,0.23,0.23,0.23,0.24,0.30,0.30,0.28
2023-11-10,dolnośląskie,Ząbkowicki,0224,0.00,0.36,34.72,2023-11-04,6.41,0.14,0.16,0.16,0.16,0.20,0.18,0.16,0.09,0.11,0.11,0.11,0.18,0.22,0.24,0.36
2023-11-10,dolnośląskie,Zgorzelecki,0225,0.00,0.11,35.62,2023-11-04,8.84,0.14,0.16,0.16,0.16,0.18,0.21,0.19,0.34,0.29,0.29,0.29,0.26,0.21,0.24,0.11
2023-11-10,dolnośląskie,Złotoryjski,0226,0.00,0.00,37.45,2023-11-04,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00
2023-11-10,dolnośląskie,Jelenia Góra,0261,0.26,0.20,54.47,2023-11-04,7.83,0.22,0.27,0.27,0.27,0.27,0.20,0.14,0.11,0.20,0.20,0.20,0.16,0.16,0.16,0.20
2023-11-10,dolnośląskie,Legnica,0262,0.00,0.09,43.90,2023-11-04,9.84,0.03,0.04,0.04,0.04,0.06,0.06,0.06,0.03,0.01,0.01,0.01,0.03,0.07,0.07,0.09
2023-11-10,dolnośląskie,Wrocław,0264,0.00,0.28,69.82,2023-11-04,64.19,0.20,0.21,0.21,0.21,0.24,0.25,0.20,0.21,0.24,0.24,0.24,0.23,0.23,0.28,0.28
2023-11-10,dolnośląskie,Wałbrzych,0265,0.00,0.04,55.58,2023-11-04,11.00,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.04,0.04,0.04
2023-11-10,kujawsko-pomorskie,Aleksandrowski,0401,0.00,0.10,45.79,2023-11-04,5.49,0.05,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.08,0.10
2023-11-10,kujawsko-pomorskie,Brodnicki,0402,0.00,0.02,32.87,2023-11-04,7.90,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.02
2023-11-10,kujawsko-pomorskie,Bydgoski,0403,0.08,0.53,28.33,2023-11-04,12.04,0.14,0.14,0.14,0.14,0.15,0.18,0.14,0.22,0.30,0.30,0.30,0.37,0.40,0.46,0.53
2023-11-10,kujawsko-pomorskie,Chełmiński,0404,0.00,0.33,37.15,2023-11-04,5.17,0.03,0.03,0.03,0.03,0.14,0.16,0.14,0.22,0.22,0.22,0.22,0.22,0.33,0.41,0.33
2023-11-10,kujawsko-pomorskie,Golubsko-Dobrzyński,0405,0.00,0.57,25.36,2023-11-04,4.49,0.32,0.35,0.35,0.35,0.41,0.38,0.35,0.35,0.32,0.32,0.32,0.48,0.48,0.51,0.57
2023-11-10,kujawsko-pomorskie,Grudziądzki,0406,0.00,0.39,21.38,2023-11-04,4.03,0.18,0.36,0.36,0.36,0.36,0.36,0.36,0.46,0.32,0.32,0.32,0.28,0.39,0.53,0.39
2023-11-10,kujawsko-pomorskie,Inowrocławski,0407,0.00,0.40,30.32,2023-11-04,15.85,0.37,0.40,0.40,0.40,0.44,0.41,0.37,0.43,0.39,0.39,0.39,0.34,0.34,0.43,0.40
2023-11-10,kujawsko-pomorskie,Lipnowski,0408,0.00,0.11,28.69,2023-11-04,6.55,0.04,0.09,0.09,0.09,0.06,0.09,0.06,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.11
2023-11-10,kujawsko-pomorskie,Mogileński,0409,0.00,0.09,37.27,2023-11-04,4.55,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.09
2023-11-10,kujawsko-pomorskie,Nakielski,0410,0.00,0.10,39.28,2023-11-04,8.61,0.03,0.07,0.07,0.07,0.05,0.05,0.05,0.08,0.05,0.05,0.05,0.05,0.07,0.10,0.10
2023-11-10,kujawsko-pomorskie,Radziejowski,0411,0.00,1.03,32.74,2023-11-04,4.00,0.14,0.25,0.25,0.25,0.29,0.39,0.36,0.46,0.92,0.92,0.92,1.21,1.14,1.14,1.03
2023-11-10,kujawsko-pomorskie,Rypiński,0412,0.00,0.07,33.16,2023-11-04,4.34,0.10,0.10,0.10,0.10,0.07,0.10,0.10,0.07,0.10,0.10,0.10,0.10,0.03,0.07,0.07
2023-11-10,kujawsko-pomorskie,Sępoleński,0413,0.00,0.21,37.03,2023-11-04,4.08,0.24,0.24,0.24,0.24,0.03,0.03,0.00,0.00,0.07,0.07,0.07,0.10,0.17,0.21,0.21
2023-11-10,kujawsko-pomorskie,Świecki,0414,0.00,0.19,35.52,2023-11-04,9.87,0.09,0.09,0.09,0.09,0.06,0.07,0.03,0.04,0.09,0.09,0.09,0.13,0.14,0.16,0.19
2023-11-10,kujawsko-pomorskie,Toruński,0415,0.00,0.43,20.31,2023-11-04,10.96,0.06,0.08,0.08,0.08,0.08,0.09,0.06,0.09,0.14,0.14,0.14,0.24,0.28,0.38,0.43
2023-11-10,kujawsko-pomorskie,Tucholski,0416,0.00,0.21,33.04,2023-11-04,4.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.09,0.09,0.09,0.21
2023-11-10,kujawsko-pomorskie,Wąbrzeski,0417,0.00,0.21,32.65,2023-11-04,3.40,0.04,0.08,0.08,0.08,0.08,0.12,0.12,0.08,0.08,0.08,0.08,0.08,0.04,0.17,0.21
2023-11-10,kujawsko-pomorskie,Włocławski,0418,0.00,0.25,25.26,2023-11-04,8.56,0.17,0.18,0.18,0.18,0.23,0.25,0.22,0.20,0.25,0.25,0.25,0.28,0.25,0.27,0.25
2023-11-10,kujawsko-pomorskie,Żniński,0419,0.00,0.49,24.43,2023-11-04,6.99,0.25,0.27,0.27,0.29,0.29,0.29,0.23,0.33,0.33,0.33,0.31,0.45,0.47,0.57,0.49
2023-11-10,kujawsko-pomorskie,Bydgoszcz,0461,0.00,0.27,63.86,2023-11-04,34.41,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.15,0.20,0.24,0.27
2023-11-10,kujawsko-pomorskie,Grudziądz,0462,0.00,0.38,50.18,2023-11-04,9.36,0.20,0.20,0.20,0.20,0.18,0.21,0.21,0.30,0.29,0.29,0.29,0.29,0.36,0.47,0.38
2023-11-10,kujawsko-pomorskie,Toruń,0463,0.00,0.41,61.64,2023-11-04,19.86,0.17,0.19,0.19,0.19,0.20,0.26,0.21,0.22,0.22,0.22,0.22,0.29,0.29,0.34,0.41
2023-11-10,kujawsko-pomorskie,Włocławek,0464,0.00,0.10,47.42,2023-11-04,10.86,0.14,0.17,0.17,0.17,0.10,0.10,0.08,0.12,0.09,0.09,0.09,0.09,0.08,0.12,0.10
2023-11-10,lubelskie,Bialski,0601,0.00,0.59,20.02,2023-11-04,11.00,0.59,0.63,0.63,0.63,0.63,0.58,0.47,0.60,0.54,0.54,0.54,0.53,0.56,0.62,0.59
2023-11-10,lubelskie,Biłgorajski,0602,0.00,0.17,21.40,2023-11-04,10.03,0.17,0.16,0.16,0.17,0.17,0.16,0.14,0.21,0.24,0.24,0.23,0.20,0.21,0.27,0.17
2023-11-10,lubelskie,Chełmski,0603,0.00,0.29,17.24,2023-11-04,7.75,0.06,0.09,0.09,0.09,0.11,0.11,0.11,0.17,0.13,0.13,0.13,0.17,0.24,0.29,0.29
2023-11-10,lubelskie,Hrubieszowski,0604,0.00,0.34,26.53,2023-11-04,6.20,0.14,0.09,0.09,0.09,0.16,0.23,0.23,0.27,0.34,0.34,0.39,0.37,0.30,0.30,0.34
2023-11-10,lubelskie,Janowski,0605,0.00,0.22,18.82,2023-11-04,4.51,0.22,0.16,0.16,0.16,0.16,0.16,0.06,0.03,0.03,0.03,0.03,0.06,0.13,0.16,0.22
2023-11-10,lubelskie,Krasnostawski,0606,0.00,0.14,27.31,2023-11-04,6.26,0.11,0.11,0.11,0.11,0.05,0.05,0.05,0.09,0.11,0.11,0.11,0.16,0.16,0.16,0.14
2023-11-10,lubelskie,Kraśnicki,0607,0.00,0.45,25.57,2023-11-04,9.45,0.27,0.30,0.30,0.30,0.29,0.29,0.20,0.14,0.14,0.14,0.14,0.18,0.21,0.39,0.45
2023-11-10,lubelskie,Lubartowski,0608,0.00,0.26,21.10,2023-11-04,8.79,0.08,0.19,0.19,0.19,0.23,0.27,0.23,0.32,0.26,0.26,0.26,0.26,0.31,0.32,0.26
2023-11-10,lubelskie,Lubelski,0609,0.00,0.34,19.42,2023-11-04,15.65,0.27,0.32,0.32,0.32,0.34,0.31,0.24,0.18,0.17,0.17,0.17,0.21,0.22,0.28,0.34
2023-11-10,lubelskie,Łęczyński,0610,0.00,0.12,21.98,2023-11-04,5.72,0.05,0.05,0.05,0.05,0.07,0.07,0.07,0.15,0.15,0.15,0.15,0.15,0.12,0.20,0.12
2023-11-10,lubelskie,Łukowski,0611,0.00,0.24,18.44,2023-11-04,10.62,0.11,0.09,0.10,0.10,0.19,0.19,0.17,0.16,0.17,0.16,0.16,0.12,0.19,0.20,0.24
2023-11-10,lubelskie,Opolski,0612,0.00,0.34,28.27,2023-11-04,5.87,0.22,0.24,0.24,0.24,0.32,0.27,0.22,0.15,0.19,0.19,0.19,0.15,0.15,0.27,0.34
