#REF!,,,,,,,,,t14,t13,t12,t11,t10,t9,t8,t7,t6,t5,t4,t3,t2,t1,t
,,,,,,,,,0.40,0.40,0.40,0.36,0.33,0.31,0.28,0.26,0.26,0.26,0.25,0.24,0.23,0.22,#REF!
,,,,,,,,,0.51,0.51,0.51,0.48,0.49,0.51,0.41,0.32,0.32,0.32,0.27,0.22,0.20,0.24,
,,,,,,,,,0.48,0.48,0.48,0.55,0.57,0.55,0.47,0.44,0.44,0.44,0.36,0.34,0.30,0.27,
,,,,,,,,,0.47,0.47,0.47,0.32,0.24,0.19,0.24,0.22,0.22,0.22,0.21,0.14,0.14,0.11,
,,,,,,,,,0.04,0.04,0.04,0.21,0.21,0.16,0.16,0.16,0.16,0.16,0.00,0.00,0.04,0.04,
,,,,,,,,,0.00,0.00,0.00,0.06,0.06,0.06,0.06,0.09,0.09,0.09,0.03,0.03,0.03,0.06,
,,,,,,,,,0.47,0.47,0.47,0.38,0.34,0.27,0.29,0.32,0.32,0.32,0.32,0.36,0.38,0.36,
,,,,,,,,,0.20,0.20,0.20,0.20,0.20,0.16,0.13,0.07,0.07,0.07,0.07,0.03,0.00,0.00,
,,,,,,,,,0.05,0.05,0.05,0.02,0.04,0.04,0.02,0.05,0.05,0.05,0.05,0.04,0.04,0.04,
,,,,,,,,,0.10,0.10,0.10,0.10,0.08,0.10,0.15,0.13,0.13,0.13,0.13,0.10,0.08,0.03,
,,,,,,,,,0.00,0.00,0.00,0.03,0.05,0.05,0.08,0.08,0.08,0.08,0.05,0.03,0.03,0.03,
,,,,,,,,,0.45,0.43,0.43,0.55,0.49,0.55,0.53,0.58,0.58,0.58,0.43,0.35,0.34,0.40,
,,,,,,,,,0.06,0.06,0.06,0.06,0.09,0.13,0.13,0.09,0.09,0.09,0.09,0.09,0.06,0.06,
,,,,,,,,,1.08,1.08,1.08,0.85,0.66,0.70,0.42,0.39,0.39,0.39,0.35,0.46,0.39,0.42,
,,,,,,,,,0.11,0.11,0.11,0.15,0.12,0.09,0.13,0.12,0.12,0.12,0.08,0.09,0.12,0.08,
,,,,,,,,,0.17,0.17,0.17,0.20,0.17,0.17,0.13,0.11,0.11,0.11,0.09,0.09,0.07,0.06,
,,,,,,,,,0.14,0.14,0.14,0.14,0.18,0.25,0.27,0.23,0.23,0.23,0.23,0.16,0.14,0.11,
,,,,,,,,,0.30,0.30,0.30,0.20,0.16,0.10,0.10,0.07,0.07,0.07,0.10,0.13,0.10,0.10,
,,,,,,,,,0.23,0.23,0.23,0.36,0.28,0.26,0.28,0.23,0.23,0.23,0.13,0.18,0.15,0.10,
,,,,,,,,,0.18,0.18,0.18,0.18,0.11,0.08,0.06,0.08,0.08,0.08,0.06,0.08,0.10,0.08,
,,,,,,,,,0.12,0.12,0.12,0.15,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.10,0.10,0.10,
,,,,,,,,,0.18,0.18,0.18,0.18,0.13,0.05,0.08,0.05,0.05,0.05,0.05,0.08,0.08,0.03,
,,,,,,,,,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.06,0.06,0.06,0.06,0.03,0.03,0.03,
