wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,6,0,1,0,t00,1,0,0,0,4,0
dolnośląskie,bolesławiecki,109007,0,38547,0,t0201,47172,0,155,0,23133,0
dolnośląskie,dzierżoniowski,107034,4,37549,1,t0202,42407,0,158,0,26920,3
dolnośląskie,głogowski,106163,0,35180,0,t0203,42110,0,184,0,28689,0
dolnośląskie,górowski,38420,0,13955,0,t0204,16467,0,79,0,7919,0
dolnośląskie,jaworski,60148,0,20779,0,t0205,25205,0,45,0,14119,0
dolnośląskie,jeleniogórski,72726,2,26306,0,t0206,31464,1,401,0,14555,1
dolnośląskie,kamiennogórski,49556,0,17229,0,t0207,19543,0,113,0,12671,0
dolnośląskie,kłodzki,191023,16,68153,1,t0208,77992,3,1321,0,43557,12
dolnośląskie,legnicki,63815,0,22022,0,t0209,27393,0,268,0,14132,0
dolnośląskie,lubański,48869,1,14825,0,t0210,20445,1,110,0,13489,0
dolnośląskie,lubiński,178195,13,66956,4,t0211,73736,0,1016,0,36487,9
dolnośląskie,lwówecki,63887,0,22885,0,t0212,26519,0,319,0,14164,0
dolnośląskie,milicki,50196,0,18768,0,t0213,20826,0,120,0,10482,0
dolnośląskie,oleśnicki,169504,13,56394,1,t0214,67422,0,509,0,45179,12
dolnośląskie,oławski,58338,2,22873,0,t0215,25887,0,99,0,9479,2
dolnośląskie,polkowicki,62040,0,21254,0,t0216,27014,0,53,0,13719,0
dolnośląskie,strzeliński,55311,0,20118,0,t0217,22667,0,518,0,12008,0
dolnośląskie,średzki,38545,0,12677,0,t0218,14495,0,483,0,10890,0
dolnośląskie,świdnicki,165635,2,55637,0,t0219,65112,0,1283,0,43603,2
dolnośląskie,trzebnicki,91073,0,33432,0,t0220,35478,0,462,0,21701,0
dolnośląskie,wałbrzyski,45914,1,17083,0,t0221,18495,1,259,0,10077,0
dolnośląskie,wołowski,63862,0,22189,0,t0222,27972,0,320,0,13381,0
dolnośląskie,wrocławski,162247,14,58020,2,t0223,63900,3,1252,0,39075,9
dolnośląskie,ząbkowicki,81955,4,29419,0,t0224,34471,0,345,0,17720,4
dolnośląskie,zgorzelecki,96292,13,31843,5,t0225,39158,0,233,0,25058,8
dolnośląskie,złotoryjski,53636,0,18390,0,t0226,22285,0,223,0,12738,0
dolnośląskie,Jelenia Góra,135975,8,49366,0,t0261,53867,0,456,0,32286,8
dolnośląskie,Legnica,137209,13,48762,0,t0262,56074,2,504,0,31869,11
dolnośląskie,Wrocław,1534127,96,553587,16,t0264,633513,7,4624,0,342403,73
dolnośląskie,Wałbrzych,278009,8,106676,2,t0265,122721,0,778,0,47834,6
kujawsko-pomorskie,aleksandrowski,160591,0,67104,0,t0401,73193,0,530,0,19764,0
kujawsko-pomorskie,brodnicki,106655,0,39743,0,t0402,44692,0,1508,0,20712,0
kujawsko-pomorskie,bydgoski,115583,5,42452,1,t0403,46603,0,404,0,26124,4
kujawsko-pomorskie,chełmiński,63525,4,23028,0,t0404,25538,0,52,0,14907,4
kujawsko-pomorskie,golubsko-dobrzyński,49264,9,18746,0,t0405,21288,0,341,0,8889,9
kujawsko-pomorskie,grudziądzki,37766,0,13902,0,t0406,16561,0,31,0,7272,0
kujawsko-pomorskie,inowrocławski,154566,3,56895,0,t0407,62471,0,538,0,34662,3
