wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,31,30,1,0,t00
dolnośląskie,bolesławiecki,2323,436,175,81,t0201
dolnośląskie,dzierżoniowski,1548,305,61,34,t0202
dolnośląskie,głogowski,1287,174,94,48,t0203
dolnośląskie,górowski,213,102,0,0,t0204
dolnośląskie,jaworski,846,140,89,37,t0205
dolnośląskie,jeleniogórski,758,150,47,47,t0206
dolnośląskie,kamiennogórski,954,92,79,37,t0207
dolnośląskie,kłodzki,4589,548,372,121,t0208
dolnośląskie,legnicki,78,60,0,0,t0209
dolnośląskie,lubański,766,102,0,0,t0210
dolnośląskie,lubiński,3049,371,307,186,t0211
dolnośląskie,lwówecki,961,175,210,99,t0212
dolnośląskie,milicki,830,221,72,49,t0213
dolnośląskie,oleśnicki,1342,170,79,0,t0214
dolnośląskie,oławski,1361,231,105,81,t0215
dolnośląskie,polkowicki,71,65,0,0,t0216
dolnośląskie,strzeliński,763,216,110,89,t0217
dolnośląskie,średzki,154,65,0,0,t0218
dolnośląskie,świdnicki,2890,412,648,198,t0219
dolnośląskie,trzebnicki,1874,401,109,76,t0220
dolnośląskie,wałbrzyski,945,140,85,85,t0221
dolnośląskie,wołowski,730,147,58,30,t0222
dolnośląskie,wrocławski,867,292,0,0,t0223
dolnośląskie,ząbkowicki,1700,184,268,72,t0224
dolnośląskie,zgorzelecki,2922,223,766,132,t0225
dolnośląskie,złotoryjski,613,167,125,125,t0226
dolnośląskie,Jelenia Góra,2601,286,258,90,t0261
dolnośląskie,Legnica,3035,214,474,113,t0262
dolnośląskie,Wrocław,34880,3692,6037,1910,t0264
dolnośląskie,Wałbrzych,4735,713,1058,297,t0265
kujawsko-pomorskie,aleksandrowski,1627,218,255,59,t0401
kujawsko-pomorskie,brodnicki,1119,156,174,53,t0402
kujawsko-pomorskie,bydgoski,471,202,0,0,t0403
kujawsko-pomorskie,chełmiński,770,130,143,71,t0404
kujawsko-pomorskie,golubsko-dobrzyński,682,120,244,102,t0405
kujawsko-pomorskie,grudziądzki,209,99,48,33,t0406
kujawsko-pomorskie,inowrocławski,2686,447,238,14,t0407
kujawsko-pomorskie,lipnowski,1023,127,170,6,t0408
kujawsko-pomorskie,mogileński,623,93,89,29,t0409
kujawsko-pomorskie,nakielski,648,137,45,23,t0410
kujawsko-pomorskie,radziejowski,1009,100,250,32,t0411
kujawsko-pomorskie,rypiński,769,125,221,1,t0412
kujawsko-pomorskie,sępoleński,1087,165,165,57,t0413
kujawsko-pomorskie,świecki,1282,311,36,24,t0414
kujawsko-pomorskie,toruński,740,181,95,54,t0415
kujawsko-pomorskie,tucholski,535,126,88,48,t0416
kujawsko-pomorskie,wąbrzeski,348,83,0,0,t0417
kujawsko-pomorskie,włocławski,692,175,0,0,t0418
kujawsko-pomorskie,żniński,1100,137,103,41,t0419
kujawsko-pomorskie,Bydgoszcz,16213,2142,2247,1126,t0461
kujawsko-pomorskie,Grudziądz,3005,544,651,434,t0462
kujawsko-pomorskie,Toruń,6940,771,1074,287,t0463
kujawsko-pomorskie,Włocławek,2515,250,221,78,t0464
lubelskie,bialski,907,257,41,23,t0601
lubelskie,biłgorajski,1183,280,152,71,t0602
lubelskie,chełmski,268,161,0,0,t0603
lubelskie,hrubieszowski,846,181,131,36,t0604
lubelskie,janowski,1235,146,171,72,t0605
lubelskie,krasnostawski,1175,89,0,0,t0606
lubelskie,kraśnicki,1263,256,84,47,t0607
lubelskie,lubartowski,1450,200,84,38,t0608
lubelskie,lubelski,1336,302,72,72,t0609
lubelskie,łęczyński,1080,192,187,62,t0610
lubelskie,łukowski,1516,143,0,0,t0611
lubelskie,opolski,938,227,179,48,t0612
lubelskie,parczewski,901,103,169,84,t0613
lubelskie,puławski,3366,378,499,173,t0614
lubelskie,radzyński,901,171,25,20,t0615
lubelskie,rycki,767,171,97,25,t0616
lubelskie,świdnicki,983,200,24,18,t0617
lubelskie,tomaszowski,1566,234,207,62,t0618
lubelskie,włodawski,1011,161,135,60,t0619
lubelskie,zamojski,758,217,31,19,t0620
lubelskie,Biała Podlaska,3207,279,547,174,t0661
lubelskie,Chełm,2004,130,307,46,t0662
lubelskie,Lublin,19734,2179,2669,1149,t0663
lubelskie,Zamość,2457,297,451,129,t0664
lubuskie,gorzowski,532,195,53,31,t0801
lubuskie,krośnieński,914,192,74,0,t0802
lubuskie,międzyrzecki,1875,290,223,122,t0803
lubuskie,nowosolski,1836,248,251,71,t0804
lubuskie,słubicki,641,108,153,47,t0805
lubuskie,strzelecko-drezdenecki,802,141,109,36,t0806
lubuskie,sulęciński,692,120,79,8,t0807
lubuskie,świebodziński,1470,259,184,49,t0808
lubuskie,zielonogórski,1302,255,161,81,t0809
lubuskie,żagański,683,166,113,30,t0810
lubuskie,żarski,2245,201,358,57,t0811
lubuskie,wschowski,556,66,127,42,t0812
lubuskie,Gorzów Wielkopolski,4140,236,376,73,t0861
lubuskie,Zielona Góra,3442,670,556,167,t0862
łódzkie,bełchatowski,1980,237,396,70,t1001
łódzkie,kutnowski,1723,159,153,50,t1002
łódzkie,łaski,480,77,61,23,t1003
łódzkie,łęczycki,1379,174,111,38,t1004
łódzkie,łowicki,2650,339,254,60,t1005
łódzkie,łódzki wschodni,512,182,0,0,t1006
łódzkie,opoczyński,1005,134,108,38,t1007
łódzkie,pabianicki,1996,283,206,104,t1008
łódzkie,pajęczański,538,82,44,43,t1009
łódzkie,piotrkowski,428,176,80,80,t1010
łódzkie,poddębicki,689,104,34,34,t1011
łódzkie,radomszczański,2922,402,729,213,t1012
łódzkie,rawski,510,107,0,0,t1013
łódzkie,sieradzki,2448,510,541,244,t1014
łódzkie,skierniewicki,102,102,0,0,t1015
łódzkie,tomaszowski,1976,173,232,43,t1016
łódzkie,wieluński,1048,233,53,27,t1017
łódzkie,wieruszowski,586,192,74,0,t1018
łódzkie,zduńskowolski,1137,166,162,48,t1019
łódzkie,zgierski,4301,384,1212,210,t1020
łódzkie,brzeziński,658,173,36,36,t1021
łódzkie,Łódź,32378,3288,4682,1802,t1061
łódzkie,Piotrków Trybunalski,2012,192,143,34,t1062
łódzkie,Skierniewice,1796,302,236,37,t1063
małopolskie,bocheński,1069,217,137,34,t1201
małopolskie,brzeski,1504,264,189,59,t1202
małopolskie,chrzanowski,1864,407,232,85,t1203
małopolskie,dąbrowski,1305,277,297,160,t1204
małopolskie,gorlicki,1733,298,90,0,t1205
małopolskie,krakowski,1575,450,102,100,t1206
małopolskie,limanowski,1685,342,103,19,t1207
małopolskie,miechowski,1605,275,273,84,t1208
małopolskie,myślenicki,1148,198,54,54,t1209
małopolskie,nowosądecki,1247,370,89,36,t1210
małopolskie,nowotarski,2703,542,348,163,t1211
małopolskie,olkuski,1408,349,37,26,t1212
małopolskie,oświęcimski,2048,361,150,43,t1213
małopolskie,proszowicki,990,201,237,89,t1214
małopolskie,suski,1677,292,258,116,t1215
małopolskie,tarnowski,1080,290,0,0,t1216
małopolskie,tatrzański,1320,244,170,87,t1217
małopolskie,wadowicki,1434,279,107,26,t1218
małopolskie,wielicki,473,144,0,0,t1219
małopolskie,Kraków,36522,3827,4530,1675,t1261
małopolskie,Nowy Sącz,1640,120,161,55,t1262
małopolskie,Tarnów,4762,583,853,357,t1263
mazowieckie,białobrzeski,344,87,0,0,t1401
mazowieckie,ciechanowski,2568,354,263,127,t1402
mazowieckie,garwoliński,951,193,0,0,t1403
mazowieckie,gostyniński,684,102,0,0,t1404
mazowieckie,grodziski,2957,277,303,98,t1405
mazowieckie,grójecki,2051,285,311,118,t1406
mazowieckie,kozienicki,739,174,160,21,t1407
mazowieckie,legionowski,649,196,87,12,t1408
mazowieckie,lipski,594,105,19,19,t1409
mazowieckie,łosicki,333,114,48,48,t1410
