wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,17,0,5,0,t00,5,0,0,0,7,0
dolnośląskie,bolesławiecki,114389,0,38594,0,t0201,47215,0,119,0,28461,0
dolnośląskie,dzierżoniowski,115117,0,37592,0,t0202,42464,0,130,0,34931,0
dolnośląskie,głogowski,115188,0,35244,0,t0203,42260,0,173,0,37511,0
dolnośląskie,górowski,40244,0,13959,0,t0204,16470,0,69,0,9746,0
dolnośląskie,jaworski,63757,1,20805,0,t0205,25235,0,46,0,17671,1
dolnośląskie,jeleniogórski,76713,4,26370,0,t0206,31552,0,364,0,18427,4
dolnośląskie,kamiennogórski,52534,0,17242,0,t0207,19559,0,106,0,15627,0
dolnośląskie,kłodzki,202758,0,68221,0,t0208,78073,0,629,0,55835,0
dolnośląskie,legnicki,67293,0,22039,0,t0209,27405,0,178,0,17671,0
dolnośląskie,lubański,52586,0,14862,0,t0210,20570,0,102,0,17052,0
dolnośląskie,lubiński,187727,0,67080,0,t0211,73858,0,697,0,46092,0
dolnośląskie,lwówecki,67615,1,22916,0,t0212,26547,0,227,0,17925,1
dolnośląskie,milicki,52779,0,18790,0,t0213,20846,0,105,0,13038,0
dolnośląskie,oleśnicki,180993,1,56519,0,t0214,67582,0,434,0,56458,1
dolnośląskie,oławski,59992,0,22892,0,t0215,25910,0,96,0,11094,0
dolnośląskie,polkowicki,65645,0,21286,0,t0216,27049,0,52,0,17258,0
dolnośląskie,strzeliński,58632,2,20141,0,t0217,22693,0,384,0,15414,2
dolnośląskie,średzki,41647,0,12725,0,t0218,14547,0,469,0,13906,0
dolnośląskie,świdnicki,178921,7,55764,0,t0219,65236,0,1075,0,56846,7
dolnośląskie,trzebnicki,97208,1,33476,0,t0220,35536,0,408,0,27788,1
dolnośląskie,wałbrzyski,49286,0,17098,0,t0221,18513,0,262,0,13413,0
dolnośląskie,wołowski,66794,5,22208,0,t0222,27986,0,234,0,16366,5
dolnośląskie,wrocławski,174859,3,58277,0,t0223,64194,0,934,0,51454,3
dolnośląskie,ząbkowicki,86482,1,29483,0,t0224,34550,0,260,0,22189,1
dolnośląskie,zgorzelecki,102731,2,31906,0,t0225,39213,0,215,0,31397,2
dolnośląskie,złotoryjski,56960,0,18416,0,t0226,22316,0,131,0,16097,0
dolnośląskie,Jelenia Góra,146434,5,49480,0,t0261,54003,0,417,0,42534,5
dolnośląskie,Legnica,148443,3,48883,0,t0262,56212,0,349,0,42999,3
dolnośląskie,Wrocław,1639917,97,555617,4,t0264,636138,4,3948,3,444214,86
dolnośląskie,Wałbrzych,291255,5,106868,0,t0265,122910,0,611,0,60866,5
kujawsko-pomorskie,aleksandrowski,165854,0,67133,0,t0401,73223,0,405,0,25093,0
kujawsko-pomorskie,brodnicki,111834,0,39829,0,t0402,44762,0,1344,0,25899,0
kujawsko-pomorskie,bydgoski,123469,7,42514,0,t0403,46699,0,269,0,33987,7
kujawsko-pomorskie,chełmiński,67813,0,23055,0,t0404,25570,0,53,0,19135,0
kujawsko-pomorskie,golubsko-dobrzyński,51742,0,18750,0,t0405,21296,0,340,0,11356,0
kujawsko-pomorskie,grudziądzki,39124,0,13913,0,t0406,16574,0,30,0,8607,0
kujawsko-pomorskie,inowrocławski,167996,60,57043,0,t0407,62662,0,427,0,47864,60
kujawsko-pomorskie,lipnowski,81267,0,28856,0,t0408,33306,0,343,0,18762,0
kujawsko-pomorskie,mogileński,58126,0,19145,0,t0409,21899,0,155,0,16927,0
kujawsko-pomorskie,nakielski,134823,0,44470,0,t0410,56191,0,446,0,33716,0
kujawsko-pomorskie,radziejowski,62720,0,23240,0,t0411,25857,0,528,0,13095,0
kujawsko-pomorskie,rypiński,56265,0,19664,0,t0412,22167,0,75,0,14359,0
kujawsko-pomorskie,sępoleński,69987,0,24961,0,t0413,29842,0,134,0,15050,0
kujawsko-pomorskie,świecki,128090,5,42646,0,t0414,50148,0,391,0,34905,5
kujawsko-pomorskie,toruński,102725,0,35703,0,t0415,44391,0,411,0,22220,0
kujawsko-pomorskie,tucholski,61472,0,21147,0,t0416,24262,0,155,0,15908,0
kujawsko-pomorskie,wąbrzeski,44168,0,15029,0,t0417,17801,0,244,0,11094,0
kujawsko-pomorskie,włocławski,96164,0,35620,0,t0418,38765,0,276,0,21503,0
kujawsko-pomorskie,żniński,76971,0,28520,0,t0419,31025,0,403,0,17023,0
kujawsko-pomorskie,Bydgoszcz,719904,11,231219,0,t0461,268620,0,1434,0,218631,11
kujawsko-pomorskie,Grudziądz,189676,1,65469,0,t0462,76869,0,550,0,46788,1
kujawsko-pomorskie,Toruń,357117,7,107601,0,t0463,127033,0,890,0,121593,7
kujawsko-pomorskie,Włocławek,167535,4,50724,0,t0464,64363,0,1091,0,51357,4
lubelskie,bialski,94490,0,32987,0,t0601,38921,0,592,0,21990,0
lubelskie,biłgorajski,85537,4,30130,0,t0602,33893,0,72,0,21442,4
lubelskie,chełmski,55773,0,20062,0,t0603,22032,0,316,0,13363,0
lubelskie,hrubieszowski,70727,0,24290,0,t0604,28563,0,1431,0,16443,0
lubelskie,janowski,45063,0,16897,0,t0605,19158,0,524,0,8484,0
lubelskie,krasnostawski,65419,0,22146,0,t0606,25747,0,463,0,17063,0
lubelskie,kraśnicki,103323,0,37268,0,t0607,41576,0,349,0,24130,0
lubelskie,lubartowski,85739,0,31179,0,t0608,34939,0,1117,0,18504,0
lubelskie,lubelski,131582,0,46287,0,t0609,54355,0,584,0,30356,0
lubelskie,łęczyński,59214,2,22151,0,t0610,23997,0,503,0,12563,2
lubelskie,łukowski,88640,0,32015,0,t0611,36823,0,234,0,19568,0
lubelskie,opolski,71123,0,25156,0,t0612,29164,0,232,0,16571,0
lubelskie,parczewski,42395,0,15077,0,t0613,17740,0,483,0,9095,0
lubelskie,puławski,152088,0,53789,0,t0614,59025,0,388,0,38886,0
lubelskie,radzyński,48092,0,17234,0,t0615,19571,0,163,0,11124,0
lubelskie,rycki,80645,5,29428,0,t0616,31814,0,323,0,19080,5
lubelskie,świdnicki,78878,9,26536,0,t0617,28966,0,146,0,23230,9
lubelskie,tomaszowski,85108,0,30060,0,t0618,35288,0,233,0,19527,0
lubelskie,włodawski,52042,0,18417,0,t0619,21117,0,168,0,12340,0
lubelskie,zamojski,74523,0,27551,0,t0620,28870,0,366,0,17736,0
lubelskie,Biała Podlaska,109904,4,39637,0,t0661,45517,0,140,0,24610,4
lubelskie,Chełm,103503,1,34684,0,t0662,41959,0,185,0,26675,1
lubelskie,Lublin,695059,19,236317,1,t0663,282724,2,2489,0,173529,16
lubelskie,Zamość,137744,2,49329,0,t0664,55959,0,229,0,32227,2
lubuskie,gorzowski,48344,0,16303,0,t0801,18378,0,363,0,13300,0
lubuskie,krośnieński,78986,0,27504,0,t0802,32027,0,56,0,19399,0
lubuskie,międzyrzecki,100991,0,35433,0,t0803,40869,0,667,0,24022,0
lubuskie,nowosolski,145897,2,47533,0,t0804,60050,1,383,0,37931,1
lubuskie,słubicki,65012,0,22252,0,t0805,25989,0,105,0,16666,0
lubuskie,strzelecko-drezdenecki,77899,2,26312,0,t0806,33652,0,175,0,17760,2
lubuskie,sulęciński,52195,1,16712,0,t0807,21621,0,292,0,13570,1
lubuskie,świebodziński,83156,4,28940,0,t0808,34170,2,98,0,19948,2
lubuskie,zielonogórski,129730,0,46458,0,t0809,54622,0,831,0,27819,0
lubuskie,żagański,114675,3,36702,0,t0810,45141,0,557,0,32275,3
lubuskie,żarski,154392,6,53379,0,t0811,61843,0,223,0,38947,6
lubuskie,wschowski,43887,1,15387,0,t0812,17313,0,162,0,11025,1
lubuskie,Gorzów Wielkopolski,261600,9,84303,0,t0861,107927,1,579,0,68791,8
lubuskie,Zielona Góra,251537,4,84175,0,t0862,93832,0,527,0,73003,4
łódzkie,bełchatowski,118723,0,39442,0,t1001,47139,0,425,0,31717,0
łódzkie,kutnowski,140273,2,49945,0,t1002,53531,0,177,0,36620,2
łódzkie,łaski,54094,0,19500,0,t1003,21212,0,117,0,13265,0
