wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,26,0,11,0,t00,5,0,0,0,10,0
dolnośląskie,bolesławiecki,106850,88,38027,21,t0201,46911,12,143,0,21769,55
dolnośląskie,dzierżoniowski,104489,202,36961,54,t0202,42181,27,148,0,25199,121
dolnośląskie,głogowski,103621,176,34591,74,t0203,41859,44,180,0,26991,58
dolnośląskie,górowski,37891,5,13796,4,t0204,16423,1,62,0,7610,0
dolnośląskie,jaworski,59177,56,20574,29,t0205,25115,9,39,0,13449,18
dolnośląskie,jeleniogórski,71550,65,26121,13,t0206,31356,6,394,1,13679,45
dolnośląskie,kamiennogórski,48472,39,16945,10,t0207,19439,3,107,0,11981,26
dolnośląskie,kłodzki,187680,372,67439,120,t0208,77728,41,1313,7,41200,204
dolnośląskie,legnicki,63130,66,21872,22,t0209,27330,4,265,0,13663,40
dolnośląskie,lubański,47492,131,14573,35,t0210,20261,16,110,0,12548,80
dolnośląskie,lubiński,175417,167,66454,65,t0211,73463,10,996,0,34504,92
dolnośląskie,lwówecki,62781,52,22609,16,t0212,26394,6,318,0,13460,30
dolnośląskie,milicki,49304,67,18530,18,t0213,20751,3,117,0,9906,46
dolnośląskie,oleśnicki,164242,188,55194,42,t0214,66853,27,523,0,41672,119
dolnośląskie,oławski,57810,28,22767,7,t0215,25859,3,99,0,9085,18
dolnośląskie,polkowicki,61128,58,21016,12,t0216,26924,3,50,0,13138,43
dolnośląskie,strzeliński,54217,126,19864,63,t0217,22550,21,518,0,11285,42
dolnośląskie,średzki,37499,31,12462,12,t0218,14383,3,485,0,10169,16
dolnośląskie,świdnicki,161172,135,54618,38,t0219,64728,14,1200,4,40626,79
dolnośląskie,trzebnicki,88995,147,32973,48,t0220,35298,7,430,1,20294,91
dolnośląskie,wałbrzyski,45279,17,16906,10,t0221,18436,3,258,0,9679,4
dolnośląskie,wołowski,62610,12,21920,0,t0222,27824,4,315,0,12551,8
dolnośląskie,wrocławski,156951,181,56886,31,t0223,63427,12,1208,4,35430,134
dolnośląskie,ząbkowicki,80496,55,29137,19,t0224,34304,6,331,1,16724,29
dolnośląskie,zgorzelecki,93837,163,31293,39,t0225,38936,12,224,0,23384,112
dolnośląskie,złotoryjski,52708,52,18136,25,t0226,22191,4,210,0,12171,23
dolnośląskie,Jelenia Góra,133183,119,49010,35,t0261,53639,9,457,0,30077,75
dolnośląskie,Legnica,134174,167,48181,37,t0262,55759,20,463,0,29771,110
dolnośląskie,Wrocław,1491474,1546,548178,370,t0264,629641,141,4745,2,308910,1033
dolnośląskie,Wałbrzych,273649,222,105815,76,t0265,122312,29,793,1,44729,116
kujawsko-pomorskie,aleksandrowski,158947,113,66756,33,t0401,73049,12,530,0,18612,68
kujawsko-pomorskie,brodnicki,105059,104,39400,38,t0402,44552,12,1473,5,19634,49
kujawsko-pomorskie,bydgoski,113349,129,41964,53,t0403,46426,6,393,1,24566,69
kujawsko-pomorskie,chełmiński,62547,69,22783,33,t0404,25465,14,44,0,14255,22
kujawsko-pomorskie,golubsko-dobrzyński,48389,19,18579,11,t0405,21263,6,341,0,8206,2
kujawsko-pomorskie,grudziądzki,37277,41,13732,9,t0406,16514,2,23,0,7008,30
kujawsko-pomorskie,inowrocławski,151122,130,56145,68,t0407,62114,4,508,3,32355,55
kujawsko-pomorskie,lipnowski,76581,27,28435,4,t0408,33148,0,343,0,14655,23
kujawsko-pomorskie,mogileński,53962,68,18832,10,t0409,21767,10,191,0,13172,48
kujawsko-pomorskie,nakielski,126276,32,43798,2,t0410,55759,7,483,0,26236,23
kujawsko-pomorskie,radziejowski,59620,96,23047,21,t0411,25806,10,647,0,10120,65
