wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,16,0,0,0,t00,0,0,0,0,16,0
dolnośląskie,bolesławiecki,114995,16,38593,0,t0201,47217,0,119,0,29066,16
dolnośląskie,dzierżoniowski,116213,0,37591,0,t0202,42464,0,130,0,36028,0
dolnośląskie,głogowski,116403,10,35250,0,t0203,42268,0,176,0,38709,10
dolnośląskie,górowski,40330,0,13959,0,t0204,16470,0,69,0,9832,0
dolnośląskie,jaworski,64360,9,20807,0,t0205,25234,0,45,0,18274,9
dolnośląskie,jeleniogórski,77064,51,26379,0,t0206,31560,0,365,0,18760,51
dolnośląskie,kamiennogórski,52875,0,17242,0,t0207,19559,0,105,0,15969,0
dolnośląskie,kłodzki,203742,35,68222,0,t0208,78077,0,628,0,56815,35
dolnośląskie,legnicki,67695,41,22039,0,t0209,27404,0,178,0,18074,41
dolnośląskie,lubański,53174,0,14862,0,t0210,20570,0,102,0,17640,0
dolnośląskie,lubiński,189422,38,67080,0,t0211,73866,0,696,0,47780,38
dolnośląskie,lwówecki,68161,5,22917,0,t0212,26546,0,226,0,18472,5
dolnośląskie,milicki,52885,0,18790,0,t0213,20848,0,105,0,13142,0
dolnośląskie,oleśnicki,182166,0,56535,0,t0214,67607,0,442,0,57582,0
dolnośląskie,oławski,60577,9,22898,0,t0215,25921,0,97,0,11661,9
dolnośląskie,polkowicki,66128,18,21293,0,t0216,27059,0,57,0,17719,18
dolnośląskie,strzeliński,58953,23,20141,0,t0217,22693,0,384,0,15735,23
dolnośląskie,średzki,41895,11,12725,0,t0218,14547,0,468,0,14155,11
dolnośląskie,świdnicki,180765,9,55774,0,t0219,65247,0,1079,0,58665,9
dolnośląskie,trzebnicki,98121,8,33479,0,t0220,35537,0,406,0,28699,8
dolnośląskie,wałbrzyski,49443,24,17099,0,t0221,18513,0,262,0,13569,24
dolnośląskie,wołowski,67183,38,22208,0,t0222,27982,0,232,0,16761,38
dolnośląskie,wrocławski,176347,8,58407,0,t0223,64354,0,950,0,52636,8
dolnośląskie,ząbkowicki,86852,0,29492,0,t0224,34557,0,260,0,22543,0
dolnośląskie,zgorzelecki,103586,17,31908,0,t0225,39216,0,216,0,32246,17
dolnośląskie,złotoryjski,57360,0,18416,0,t0226,22316,0,131,0,16497,0
dolnośląskie,Jelenia Góra,148897,12,49490,0,t0261,54022,0,422,0,44963,12
dolnośląskie,Legnica,149970,47,48885,0,t0262,56208,0,348,0,44529,47
dolnośląskie,Wrocław,1663636,176,556123,0,t0264,636862,0,4238,0,466413,176
dolnośląskie,Wałbrzych,291847,8,106875,0,t0265,122919,0,605,0,61448,8
kujawsko-pomorskie,aleksandrowski,166150,0,67132,0,t0401,73222,0,405,0,25391,0
kujawsko-pomorskie,brodnicki,112637,40,39831,0,t0402,44768,0,1344,0,26694,40
kujawsko-pomorskie,bydgoski,124368,22,42517,0,t0403,46716,0,270,0,34865,22
kujawsko-pomorskie,chełmiński,68243,27,23055,0,t0404,25570,0,53,0,19565,27
kujawsko-pomorskie,golubsko-dobrzyński,51910,0,18751,0,t0405,21295,0,339,0,11525,0
