wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,25,0,0,0,t00
dolnośląskie,bolesławiecki,66776,405,30090,325,t0201
dolnośląskie,dzierżoniowski,62471,525,28894,429,t0202
dolnośląskie,głogowski,58030,559,26051,488,t0203
dolnośląskie,górowski,24680,24,11077,24,t0204
dolnośląskie,jaworski,36304,56,16269,39,t0205
dolnośląskie,jeleniogórski,47589,86,22126,73,t0206
dolnośląskie,kamiennogórski,28179,123,13003,57,t0207
dolnośląskie,kłodzki,117148,697,54414,491,t0208
dolnośląskie,legnicki,40688,214,18032,162,t0209
dolnośląskie,lubański,26767,288,11035,221,t0210
dolnośląskie,lubiński,117176,448,56005,246,t0211
dolnośląskie,lwówecki,37568,292,17181,147,t0212
dolnośląskie,milicki,31209,311,14500,247,t0213
dolnośląskie,oleśnicki,83868,444,37204,311,t0214
dolnośląskie,oławski,42922,186,20452,125,t0215
dolnośląskie,polkowicki,38497,254,16625,187,t0216
dolnośląskie,strzeliński,34435,177,15975,170,t0217
dolnośląskie,średzki,20241,96,9500,67,t0218
dolnośląskie,świdnicki,91770,733,41892,617,t0219
dolnośląskie,trzebnicki,54612,401,25590,327,t0220
dolnośląskie,wałbrzyski,29730,98,13978,77,t0221
dolnośląskie,wołowski,38985,131,17363,61,t0222
dolnośląskie,wrocławski,95911,321,45100,236,t0223
dolnośląskie,ząbkowicki,50948,277,23886,128,t0224
dolnośląskie,zgorzelecki,52748,364,24014,127,t0225
dolnośląskie,złotoryjski,31724,165,13985,62,t0226
dolnośląskie,Jelenia Góra,82473,560,39188,440,t0261
dolnośląskie,Legnica,82771,552,38808,298,t0262
dolnośląskie,Wrocław,989181,2811,462746,1953,t0264
dolnośląskie,Wałbrzych,199544,636,92635,485,t0265
kujawsko-pomorskie,aleksandrowski,127057,204,60401,133,t0401
kujawsko-pomorskie,brodnicki,64587,698,29583,481,t0402
kujawsko-pomorskie,bydgoski,70881,555,32533,380,t0403
kujawsko-pomorskie,chełmiński,37703,236,17396,167,t0404
kujawsko-pomorskie,golubsko-dobrzyński,32127,111,14283,81,t0405
kujawsko-pomorskie,grudziądzki,23439,129,10420,89,t0406
kujawsko-pomorskie,inowrocławski,97815,443,45950,409,t0407
