wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,4,0,0,0,t00,0,0,0,0,4,0
dolnośląskie,bolesławiecki,107707,18,38311,4,t0201,47017,2,143,0,22236,12
dolnośląskie,dzierżoniowski,105555,30,37302,8,t0202,42288,0,151,0,25814,22
dolnośląskie,głogowski,104694,55,34936,18,t0203,41969,3,183,0,27606,34
dolnośląskie,górowski,38196,6,13908,2,t0204,16459,0,62,0,7767,4
dolnośląskie,jaworski,59588,7,20688,3,t0205,25150,0,42,1,13708,3
dolnośląskie,jeleniogórski,71965,18,26225,3,t0206,31394,1,394,0,13952,14
dolnośląskie,kamiennogórski,48960,27,17118,12,t0207,19491,1,107,0,12244,14
dolnośląskie,kłodzki,189137,53,67873,24,t0208,77860,7,1367,8,42037,14
dolnośląskie,legnicki,63431,12,21949,1,t0209,27362,3,267,0,13853,8
dolnośląskie,lubański,48024,6,14704,0,t0210,20321,0,110,0,12889,6
dolnośląskie,lubiński,176374,38,66712,7,t0211,73556,6,997,0,35109,25
dolnośląskie,lwówecki,63253,45,22758,15,t0212,26457,1,318,0,13720,29
dolnośląskie,milicki,49754,29,18680,8,t0213,20793,1,118,0,10163,20
dolnośląskie,oleśnicki,166349,64,55846,12,t0214,67101,9,530,1,42872,42
dolnośląskie,oławski,58092,12,22850,1,t0215,25876,2,99,0,9267,9
dolnośląskie,polkowicki,61560,46,21164,12,t0216,26962,3,51,1,13383,30
dolnośląskie,strzeliński,54748,19,19996,2,t0217,22616,1,518,0,11618,16
dolnośląskie,średzki,37887,13,12567,0,t0218,14438,1,485,0,10397,12
dolnośląskie,świdnicki,162977,62,55247,16,t0219,64901,9,1231,0,41598,37
dolnośląskie,trzebnicki,89938,32,33248,4,t0220,35393,3,444,0,20853,25
dolnośląskie,wałbrzyski,45576,42,17013,17,t0221,18464,3,259,0,9840,22
dolnośląskie,wołowski,63140,13,22054,1,t0222,27898,0,316,0,12872,12
dolnośląskie,wrocławski,158939,60,57486,24,t0223,63624,3,1224,0,36605,33
dolnośląskie,ząbkowicki,81068,57,29293,18,t0224,34382,10,334,1,17059,28
dolnośląskie,zgorzelecki,94867,33,31601,10,t0225,39044,0,230,0,23992,23
dolnośląskie,złotoryjski,53127,12,18296,0,t0226,22227,1,220,1,12384,10
dolnośląskie,Jelenia Góra,134082,39,49202,5,t0261,53724,3,458,0,30698,31
dolnośląskie,Legnica,135205,35,48483,5,t0262,55880,3,469,0,30373,27
dolnośląskie,Wrocław,1504485,554,550478,77,t0264,630855,38,4776,1,318376,438
dolnośląskie,Wałbrzych,275131,24,106310,7,t0265,122472,0,814,1,45535,16
kujawsko-pomorskie,aleksandrowski,159671,32,66936,13,t0401,73125,3,530,0,19080,16
kujawsko-pomorskie,brodnicki,105697,10,39592,4,t0402,44609,0,1505,4,19991,2
kujawsko-pomorskie,bydgoski,114430,50,42275,9,t0403,46517,2,395,0,25243,39
kujawsko-pomorskie,chełmiński,62958,15,22919,7,t0404,25506,4,44,0,14489,4
kujawsko-pomorskie,golubsko-dobrzyński,48934,18,18713,6,t0405,21278,0,341,0,8602,12
kujawsko-pomorskie,grudziądzki,37529,4,13866,0,t0406,16533,0,24,0,7106,4
kujawsko-pomorskie,inowrocławski,152630,53,56616,20,t0407,62258,10,511,0,33245,23
kujawsko-pomorskie,lipnowski,77220,0,28700,0,t0408,33208,0,345,0,14967,0
kujawsko-pomorskie,mogileński,54575,31,19005,9,t0409,21805,1,195,0,13570,21
kujawsko-pomorskie,nakielski,127251,34,44151,3,t0410,55893,7,491,0,26716,24
kujawsko-pomorskie,radziejowski,59968,0,23189,0,t0411,25835,0,648,0,10296,0
kujawsko-pomorskie,rypiński,53240,19,19550,5,t0412,22088,0,111,0,11491,14
kujawsko-pomorskie,sępoleński,66181,14,24857,1,t0413,29752,0,139,0,11433,13
kujawsko-pomorskie,świecki,119631,17,42352,13,t0414,49960,1,410,0,26909,3
kujawsko-pomorskie,toruński,97476,26,35560,6,t0415,44307,3,434,0,17175,17
kujawsko-pomorskie,tucholski,57554,35,20986,5,t0416,24198,7,208,0,12162,23
kujawsko-pomorskie,wąbrzeski,41159,36,14901,22,t0417,17743,1,253,0,8262,13
kujawsko-pomorskie,włocławski,92092,23,35485,6,t0418,38663,0,278,0,17666,17
kujawsko-pomorskie,żniński,72607,29,28437,15,t0419,30985,5,540,0,12645,9
kujawsko-pomorskie,Bydgoszcz,658141,170,229526,19,t0461,267167,26,1550,0,159898,125
kujawsko-pomorskie,Grudziądz,177770,69,65117,11,t0462,76445,12,616,0,35592,46
kujawsko-pomorskie,Toruń,323272,96,106493,17,t0463,126121,6,1186,0,89472,73
kujawsko-pomorskie,Włocławek,154539,34,50278,2,t0464,63959,3,1183,0,39119,29
lubelskie,bialski,90435,21,32848,3,t0601,38818,0,644,0,18125,18
lubelskie,biłgorajski,81136,11,29950,4,t0602,33717,3,82,0,17387,4
lubelskie,chełmski,53386,12,20037,2,t0603,22023,1,371,0,10955,9
lubelskie,hrubieszowski,67543,29,24207,3,t0604,28503,5,1591,1,13242,20
lubelskie,janowski,43604,35,16836,3,t0605,19110,4,545,0,7113,28
