wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,12903,67,1371,4,t00
dolnośląskie,bolesławiecki,18246,0,5061,0,t0201
dolnośląskie,dzierżoniowski,16873,180,4461,0,t0202
dolnośląskie,głogowski,15365,0,3543,0,t0203
dolnośląskie,górowski,5865,0,1582,0,t0204
dolnośląskie,jaworski,9782,0,2634,0,t0205
dolnośląskie,jeleniogórski,14955,0,3998,0,t0206
dolnośląskie,kamiennogórski,6977,0,1962,0,t0207
dolnośląskie,kłodzki,39786,0,11711,0,t0208
dolnośląskie,legnicki,7858,0,1745,0,t0209
dolnośląskie,lubański,7024,0,2049,0,t0210
dolnośląskie,lubiński,34156,533,8405,0,t0211
dolnośląskie,lwówecki,9548,0,2292,0,t0212
dolnośląskie,milicki,9048,0,2476,0,t0213
dolnośląskie,oleśnicki,15174,89,3556,0,t0214
dolnośląskie,oławski,16361,0,4578,0,t0215
dolnośląskie,polkowicki,4950,0,1204,0,t0216
dolnośląskie,strzeliński,9592,0,2688,0,t0217
dolnośląskie,średzki,6548,0,1847,0,t0218
dolnośląskie,świdnicki,24783,22,6935,0,t0219
dolnośląskie,trzebnicki,18459,0,5138,0,t0220
dolnośląskie,wałbrzyski,10415,61,2910,0,t0221
dolnośląskie,wołowski,9664,0,2666,0,t0222
dolnośląskie,wrocławski,23054,0,5564,0,t0223
dolnośląskie,ząbkowicki,15488,0,4200,0,t0224
dolnośląskie,zgorzelecki,15799,0,5063,0,t0225
dolnośląskie,złotoryjski,8245,1,1791,0,t0226
dolnośląskie,Jelenia Góra,23409,0,5745,0,t0261
dolnośląskie,Legnica,18149,0,4900,0,t0262
dolnośląskie,Wrocław,258644,1755,66448,5,t0264
dolnośląskie,Wałbrzych,76077,906,17196,354,t0265
kujawsko-pomorskie,aleksandrowski,44731,925,11666,254,t0401
kujawsko-pomorskie,brodnicki,15352,60,3718,0,t0402
kujawsko-pomorskie,bydgoski,14641,0,3466,0,t0403
kujawsko-pomorskie,chełmiński,9223,0,2173,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,7024,0,1802,0,t0405
kujawsko-pomorskie,grudziądzki,3936,1,1111,0,t0406
kujawsko-pomorskie,inowrocławski,28770,0,7155,0,t0407
kujawsko-pomorskie,lipnowski,11587,0,2985,0,t0408
kujawsko-pomorskie,mogileński,6122,0,1612,0,t0409
kujawsko-pomorskie,nakielski,9076,79,1997,0,t0410
kujawsko-pomorskie,radziejowski,8927,0,2065,0,t0411
kujawsko-pomorskie,rypiński,7792,0,1938,0,t0412
kujawsko-pomorskie,sępoleński,10984,0,3224,0,t0413
kujawsko-pomorskie,świecki,16273,0,4368,0,t0414
kujawsko-pomorskie,toruński,11258,0,3214,0,t0415
kujawsko-pomorskie,tucholski,7818,29,1957,0,t0416
kujawsko-pomorskie,wąbrzeski,6323,0,1852,0,t0417
kujawsko-pomorskie,włocławski,12451,0,3385,0,t0418
kujawsko-pomorskie,żniński,10609,0,2683,0,t0419
kujawsko-pomorskie,Bydgoszcz,110525,235,26754,40,t0461
kujawsko-pomorskie,Grudziądz,27965,0,4662,0,t0462
kujawsko-pomorskie,Toruń,42407,1,11460,0,t0463
kujawsko-pomorskie,Włocławek,18577,0,4724,0,t0464
lubelskie,bialski,17667,61,5038,0,t0601
lubelskie,biłgorajski,15104,47,4212,0,t0602
lubelskie,chełmski,9950,12,2811,0,t0603
lubelskie,hrubieszowski,11999,0,3501,0,t0604
lubelskie,janowski,9800,0,2915,0,t0605
lubelskie,krasnostawski,10902,30,3335,0,t0606
lubelskie,kraśnicki,16157,0,4664,0,t0607
lubelskie,lubartowski,15570,120,4526,0,t0608
lubelskie,lubelski,22838,0,6333,0,t0609
lubelskie,łęczyński,11789,0,3122,0,t0610
lubelskie,łukowski,15892,0,4541,0,t0611
lubelskie,opolski,12010,129,3260,22,t0612
lubelskie,parczewski,8998,0,2591,0,t0613
lubelskie,puławski,29252,0,7561,0,t0614
lubelskie,radzyński,10004,0,3218,0,t0615
lubelskie,rycki,15364,0,3958,0,t0616
lubelskie,świdnicki,11491,0,3338,0,t0617
lubelskie,tomaszowski,15244,19,4300,18,t0618
lubelskie,włodawski,10616,0,2834,0,t0619
lubelskie,zamojski,14777,0,4333,0,t0620
lubelskie,Biała Podlaska,19478,0,4533,0,t0661
lubelskie,Chełm,16117,140,3543,5,t0662
lubelskie,Lublin,146279,668,41750,338,t0663
lubelskie,Zamość,25787,45,5655,30,t0664
lubuskie,gorzowski,9242,12,2519,12,t0801
lubuskie,krośnieński,13116,0,2955,0,t0802
lubuskie,międzyrzecki,18776,0,4305,0,t0803
lubuskie,nowosolski,20833,154,4901,0,t0804
lubuskie,słubicki,8518,0,2091,0,t0805
lubuskie,strzelecko-drezdenecki,10885,81,2912,29,t0806
lubuskie,sulęciński,6408,0,1815,0,t0807
lubuskie,świebodziński,12464,106,3749,78,t0808
lubuskie,zielonogórski,23175,0,4013,0,t0809
lubuskie,żagański,11021,0,2925,0,t0810
lubuskie,żarski,26987,111,5699,59,t0811
lubuskie,wschowski,4374,0,1235,0,t0812
lubuskie,Gorzów Wielkopolski,31710,119,7862,0,t0861
lubuskie,Zielona Góra,36310,273,10745,217,t0862
łódzkie,bełchatowski,16721,0,4748,0,t1001
łódzkie,kutnowski,19973,0,4745,0,t1002
łódzkie,łaski,6893,0,1884,0,t1003
łódzkie,łęczycki,12440,31,3461,0,t1004
łódzkie,łowicki,24324,190,7519,0,t1005
łódzkie,łódzki wschodni,8425,1,2165,0,t1006
