wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,4,0,0,0,t00
dolnośląskie,bolesławiecki,75055,83,33736,10,t0201
dolnośląskie,dzierżoniowski,70993,48,33098,1,t0202
dolnośląskie,głogowski,67110,19,30270,6,t0203
dolnośląskie,górowski,27199,0,12329,0,t0204
dolnośląskie,jaworski,40058,4,18038,0,t0205
dolnośląskie,jeleniogórski,52579,69,24218,17,t0206
dolnośląskie,kamiennogórski,32927,58,15315,12,t0207
dolnośląskie,kłodzki,132089,60,61574,8,t0208
dolnośląskie,legnicki,44945,5,19986,2,t0209
dolnośląskie,lubański,30871,49,12962,8,t0210
dolnośląskie,lubiński,128120,115,60773,12,t0211
dolnośląskie,lwówecki,43072,0,19910,0,t0212
dolnośląskie,milicki,35331,56,16619,0,t0213
dolnośląskie,oleśnicki,102340,74,46520,8,t0214
dolnośląskie,oławski,46177,0,21741,0,t0215
dolnośląskie,polkowicki,42663,0,18640,0,t0216
dolnośląskie,strzeliński,38202,0,17767,0,t0217
dolnośląskie,średzki,22704,23,10678,4,t0218
dolnośląskie,świdnicki,105703,63,48200,3,t0219
dolnośląskie,trzebnicki,61410,22,29384,4,t0220
dolnośląskie,wałbrzyski,32205,0,15265,0,t0221
dolnośląskie,wołowski,43530,12,19365,6,t0222
dolnośląskie,wrocławski,105801,50,50177,11,t0223
dolnośląskie,ząbkowicki,57344,86,26567,40,t0224
dolnośląskie,zgorzelecki,61573,80,27825,2,t0225
dolnośląskie,złotoryjski,35965,12,16145,1,t0226
dolnośląskie,Jelenia Góra,92911,120,44304,19,t0261
dolnośląskie,Legnica,92956,100,43364,18,t0262
dolnośląskie,Wrocław,1080781,1301,502723,162,t0264
dolnośląskie,Wałbrzych,215702,318,99902,34,t0265
kujawsko-pomorskie,aleksandrowski,134739,61,63763,4,t0401
kujawsko-pomorskie,brodnicki,74546,137,34758,27,t0402
kujawsko-pomorskie,bydgoski,79159,60,37290,2,t0403
kujawsko-pomorskie,chełmiński,43128,14,20066,4,t0404
kujawsko-pomorskie,golubsko-dobrzyński,36915,10,17085,0,t0405
kujawsko-pomorskie,grudziądzki,27225,5,12322,2,t0406
kujawsko-pomorskie,inowrocławski,107400,61,50704,18,t0407
kujawsko-pomorskie,lipnowski,55100,29,25258,2,t0408
kujawsko-pomorskie,mogileński,34193,10,15880,3,t0409
kujawsko-pomorskie,nakielski,87673,43,38916,10,t0410
kujawsko-pomorskie,radziejowski,45427,12,21213,0,t0411
kujawsko-pomorskie,rypiński,37138,42,17319,26,t0412
kujawsko-pomorskie,sępoleński,49811,92,22779,34,t0413
kujawsko-pomorskie,świecki,80953,70,36960,14,t0414
kujawsko-pomorskie,toruński,73695,82,32338,14,t0415
kujawsko-pomorskie,tucholski,40456,14,18493,0,t0416
kujawsko-pomorskie,wąbrzeski,29239,41,13246,13,t0417
kujawsko-pomorskie,włocławski,67032,48,31849,24,t0418
kujawsko-pomorskie,żniński,54059,58,25600,7,t0419
kujawsko-pomorskie,Bydgoszcz,447392,504,207068,48,t0461
kujawsko-pomorskie,Grudziądz,127310,178,58561,19,t0462
kujawsko-pomorskie,Toruń,201617,342,92057,39,t0463
kujawsko-pomorskie,Włocławek,98066,101,43828,14,t0464
lubelskie,bialski,63472,37,28924,10,t0601
lubelskie,biłgorajski,55865,8,26451,0,t0602
lubelskie,chełmski,37130,5,17454,0,t0603
lubelskie,hrubieszowski,46447,46,21229,1,t0604
lubelskie,janowski,32257,71,14994,22,t0605
lubelskie,krasnostawski,42580,48,19512,3,t0606
lubelskie,kraśnicki,68729,24,32409,1,t0607
lubelskie,lubartowski,57216,46,26773,24,t0608
lubelskie,lubelski,87181,62,39640,12,t0609
lubelskie,łęczyński,41299,78,19669,15,t0610
lubelskie,łukowski,58464,35,27334,8,t0611
lubelskie,opolski,46738,6,21501,1,t0612
lubelskie,parczewski,29009,7,13335,1,t0613
lubelskie,puławski,101332,164,47970,15,t0614
lubelskie,radzyński,31719,13,14958,0,t0615
lubelskie,rycki,55083,14,26354,0,t0616
lubelskie,świdnicki,48125,90,22794,14,t0617
lubelskie,tomaszowski,57961,21,26704,0,t0618
lubelskie,włodawski,35874,36,16684,3,t0619
lubelskie,zamojski,50015,21,24248,1,t0620
lubelskie,Biała Podlaska,72685,151,34004,20,t0661
lubelskie,Chełm,65668,45,29781,7,t0662
lubelskie,Lublin,461275,690,208900,74,t0663
lubelskie,Zamość,92685,65,43311,17,t0664
lubuskie,gorzowski,30376,0,14088,0,t0801
lubuskie,krośnieński,52353,6,24565,0,t0802
lubuskie,międzyrzecki,69055,100,31971,11,t0803
lubuskie,nowosolski,95254,104,42276,17,t0804
lubuskie,słubicki,39969,53,18900,4,t0805
lubuskie,strzelecko-drezdenecki,52483,37,23307,0,t0806
lubuskie,sulęciński,32339,17,14491,3,t0807
lubuskie,świebodziński,56574,29,26104,2,t0808
lubuskie,zielonogórski,91208,21,42205,6,t0809
lubuskie,żagański,71128,41,32033,0,t0810
lubuskie,żarski,102946,77,47990,6,t0811
lubuskie,wschowski,28241,16,13498,1,t0812
lubuskie,Gorzów Wielkopolski,158585,210,71865,35,t0861
lubuskie,Zielona Góra,156081,149,73599,29,t0862
łódzkie,bełchatowski,76381,41,34782,2,t1001
łódzkie,kutnowski,91427,54,44190,5,t1002
łódzkie,łaski,37039,0,17654,0,t1003
łódzkie,łęczycki,53193,33,24476,1,t1004
łódzkie,łowicki,92490,44,43990,12,t1005
łódzkie,łódzki wschodni,38408,27,17313,24,t1006
łódzkie,opoczyński,61700,47,27814,11,t1007
łódzkie,pabianicki,111604,33,52589,8,t1008
