wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,59,0,0,0,t00,0,0,0,0,59,0
dolnośląskie,bolesławiecki,115300,0,38576,0,t0201,47220,0,119,0,29385,0
dolnośląskie,dzierżoniowski,116551,0,37590,0,t0202,42458,0,130,0,36373,0
dolnośląskie,głogowski,117064,0,35250,0,t0203,42269,0,176,0,39369,0
dolnośląskie,górowski,40531,0,13959,0,t0204,16469,0,69,0,10034,0
dolnośląskie,jaworski,64528,0,20804,0,t0205,25232,0,45,0,18447,0
dolnośląskie,jeleniogórski,77337,0,26379,0,t0206,31553,0,364,0,19041,0
dolnośląskie,kamiennogórski,52961,0,17241,0,t0207,19559,0,105,0,16056,0
dolnośląskie,kłodzki,204260,0,68195,0,t0208,78075,0,628,0,57362,0
dolnośląskie,legnicki,67943,0,22039,0,t0209,27405,0,178,0,18321,0
dolnośląskie,lubański,53252,0,14862,0,t0210,20572,0,102,0,17716,0
dolnośląskie,lubiński,189749,1,67072,0,t0211,73857,0,681,0,48139,1
dolnośląskie,lwówecki,68363,0,22918,0,t0212,26550,0,226,0,18669,0
dolnośląskie,milicki,53137,1,18788,0,t0213,20840,0,105,0,13404,1
dolnośląskie,oleśnicki,182539,1,56534,0,t0214,67609,0,443,0,57953,1
dolnośląskie,oławski,60928,0,22896,0,t0215,25920,0,97,0,12015,0
dolnośląskie,polkowicki,66357,0,21293,0,t0216,27058,0,57,0,17949,0
dolnośląskie,strzeliński,59092,0,20140,0,t0217,22693,0,384,0,15875,0
dolnośląskie,średzki,41976,0,12725,0,t0218,14547,0,468,0,14236,0
dolnośląskie,świdnicki,181301,0,55773,0,t0219,65249,0,1078,0,59201,0
dolnośląskie,trzebnicki,98493,0,33473,0,t0220,35534,0,405,0,29081,0
dolnośląskie,wałbrzyski,49668,0,17099,0,t0221,18513,0,262,0,13794,0
dolnośląskie,wołowski,67401,0,22207,0,t0222,27982,0,232,0,16980,0
dolnośląskie,wrocławski,176809,0,58401,0,t0223,64360,0,950,0,53098,0
dolnośląskie,ząbkowicki,86999,0,29492,0,t0224,34558,0,260,0,22689,0
dolnośląskie,zgorzelecki,103831,0,31899,0,t0225,39213,0,191,0,32528,0
dolnośląskie,złotoryjski,57439,0,18415,0,t0226,22316,0,131,0,16577,0
dolnośląskie,Jelenia Góra,149316,3,49488,0,t0261,54024,0,422,0,45382,3
dolnośląskie,Legnica,150792,0,48885,0,t0262,56210,0,348,0,45349,0
dolnośląskie,Wrocław,1668145,11,556095,0,t0264,636782,0,4239,0,471029,11
