wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,299,52,1,0,t00
dolnośląskie,bolesławiecki,4678,457,1311,263,t0201
dolnośląskie,dzierżoniowski,3138,180,514,1,t0202
dolnośląskie,głogowski,2852,84,585,12,t0203
dolnośląskie,górowski,599,12,0,0,t0204
dolnośląskie,jaworski,1818,93,365,7,t0205
dolnośląskie,jeleniogórski,2107,164,292,24,t0206
dolnośląskie,kamiennogórski,1519,73,276,18,t0207
dolnośląskie,kłodzki,9172,483,2262,183,t0208
dolnośląskie,legnicki,540,50,0,0,t0209
dolnośląskie,lubański,1577,100,373,18,t0210
dolnośląskie,lubiński,6721,234,1917,106,t0211
dolnośląskie,lwówecki,1769,159,535,18,t0212
dolnośląskie,milicki,1649,89,261,0,t0213
dolnośląskie,oleśnicki,2843,113,632,6,t0214
dolnośląskie,oławski,2956,249,731,124,t0215
dolnośląskie,polkowicki,433,87,0,0,t0216
dolnośląskie,strzeliński,1286,72,110,0,t0217
dolnośląskie,średzki,680,57,2,2,t0218
dolnośląskie,świdnicki,5742,250,1681,0,t0219
dolnośląskie,trzebnicki,3345,240,613,2,t0220
dolnośląskie,wałbrzyski,1905,119,488,50,t0221
dolnośląskie,wołowski,1698,107,400,47,t0222
dolnośląskie,wrocławski,2304,188,18,18,t0223
dolnośląskie,ząbkowicki,2742,123,589,11,t0224
dolnośląskie,zgorzelecki,4875,154,1662,55,t0225
dolnośląskie,złotoryjski,1243,42,427,0,t0226
dolnośląskie,Jelenia Góra,5195,144,1843,2,t0261
dolnośląskie,Legnica,5216,58,1967,0,t0262
dolnośląskie,Wrocław,66824,1831,24574,336,t0264
dolnośląskie,Wałbrzych,11383,556,2610,89,t0265
kujawsko-pomorskie,aleksandrowski,2961,163,588,1,t0401
kujawsko-pomorskie,brodnicki,2419,201,590,74,t0402
kujawsko-pomorskie,bydgoski,1454,176,18,0,t0403
kujawsko-pomorskie,chełmiński,1713,65,334,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,1281,29,411,0,t0405
kujawsko-pomorskie,grudziądzki,610,65,85,0,t0406
kujawsko-pomorskie,inowrocławski,5914,406,1545,16,t0407
kujawsko-pomorskie,lipnowski,2176,122,511,0,t0408
kujawsko-pomorskie,mogileński,1080,49,202,1,t0409
kujawsko-pomorskie,nakielski,1436,46,345,0,t0410
kujawsko-pomorskie,radziejowski,1860,109,561,12,t0411
kujawsko-pomorskie,rypiński,1232,113,326,19,t0412
kujawsko-pomorskie,sępoleński,2097,89,422,0,t0413
kujawsko-pomorskie,świecki,3016,201,449,1,t0414
kujawsko-pomorskie,toruński,1845,150,340,0,t0415
kujawsko-pomorskie,tucholski,1372,167,346,2,t0416
kujawsko-pomorskie,wąbrzeski,1152,155,164,0,t0417
kujawsko-pomorskie,włocławski,1727,235,90,0,t0418
kujawsko-pomorskie,żniński,2021,125,438,0,t0419
kujawsko-pomorskie,Bydgoszcz,28331,874,9175,465,t0461
kujawsko-pomorskie,Grudziądz,4932,100,1778,6,t0462
kujawsko-pomorskie,Toruń,11637,558,3388,311,t0463
kujawsko-pomorskie,Włocławek,3890,76,768,0,t0464
lubelskie,bialski,2467,198,175,0,t0601
lubelskie,biłgorajski,2761,217,391,6,t0602
lubelskie,chełmski,971,113,0,0,t0603
lubelskie,hrubieszowski,2153,131,522,0,t0604
lubelskie,janowski,2222,90,446,0,t0605
lubelskie,krasnostawski,2682,149,644,64,t0606
lubelskie,kraśnicki,2834,217,318,48,t0607
lubelskie,lubartowski,2820,206,710,101,t0608
lubelskie,lubelski,3429,236,451,12,t0609
lubelskie,łęczyński,2411,171,615,12,t0610
lubelskie,łukowski,2815,179,372,68,t0611
lubelskie,opolski,1852,78,427,0,t0612
lubelskie,parczewski,1899,53,532,0,t0613
lubelskie,puławski,6540,157,2072,0,t0614
lubelskie,radzyński,2239,144,525,1,t0615
lubelskie,rycki,2010,243,321,35,t0616
lubelskie,świdnicki,2234,112,259,0,t0617
lubelskie,tomaszowski,2901,165,587,0,t0618
lubelskie,włodawski,1976,130,510,0,t0619
lubelskie,zamojski,2338,216,207,31,t0620
lubelskie,Biała Podlaska,4898,115,1543,67,t0661
lubelskie,Chełm,3414,42,1078,0,t0662
lubelskie,Lublin,36996,1577,11675,459,t0663
lubelskie,Zamość,4692,166,1454,52,t0664
lubuskie,gorzowski,1492,117,263,0,t0801
lubuskie,krośnieński,2036,148,423,0,t0802
lubuskie,międzyrzecki,3182,208,676,78,t0803
lubuskie,nowosolski,3833,91,1203,6,t0804
lubuskie,słubicki,1395,60,336,0,t0805
lubuskie,strzelecko-drezdenecki,1659,119,368,47,t0806
lubuskie,sulęciński,1480,65,426,12,t0807
lubuskie,świebodziński,2860,103,715,0,t0808
lubuskie,zielonogórski,2432,183,339,0,t0809
lubuskie,żagański,1685,124,352,0,t0810
lubuskie,żarski,4795,176,1397,62,t0811
lubuskie,wschowski,1167,24,427,0,t0812
lubuskie,Gorzów Wielkopolski,6953,312,1841,220,t0861
lubuskie,Zielona Góra,7459,404,1424,13,t0862
łódzkie,bełchatowski,3747,205,951,73,t1001
łódzkie,kutnowski,3405,104,637,39,t1002
łódzkie,łaski,1135,60,263,0,t1003
łódzkie,łęczycki,2541,259,550,83,t1004
łódzkie,łowicki,5611,322,1169,101,t1005
łódzkie,łódzki wschodni,1259,155,101,0,t1006
łódzkie,opoczyński,2205,99,507,0,t1007
łódzkie,pabianicki,4019,207,894,1,t1008
łódzkie,pajęczański,1195,114,267,0,t1009
łódzkie,piotrkowski,1196,84,85,0,t1010
łódzkie,poddębicki,1364,24,384,0,t1011
łódzkie,radomszczański,5147,148,1730,24,t1012
łódzkie,rawski,1333,64,261,0,t1013
łódzkie,sieradzki,4388,159,1331,30,t1014
łódzkie,skierniewicki,525,119,0,0,t1015
łódzkie,tomaszowski,3862,138,1012,41,t1016
łódzkie,wieluński,2536,147,431,0,t1017
łódzkie,wieruszowski,1336,117,165,0,t1018
łódzkie,zduńskowolski,2118,171,504,74,t1019
łódzkie,zgierski,7202,185,2615,0,t1020
łódzkie,brzeziński,1618,170,268,0,t1021
łódzkie,Łódź,61038,1795,21445,377,t1061
łódzkie,Piotrków Trybunalski,3965,311,1089,144,t1062
łódzkie,Skierniewice,3418,129,956,25,t1063
małopolskie,bocheński,2277,202,368,66,t1201
małopolskie,brzeski,2993,206,570,34,t1202
małopolskie,chrzanowski,4779,286,930,83,t1203
małopolskie,dąbrowski,2192,92,640,2,t1204
małopolskie,gorlicki,4248,322,686,102,t1205
małopolskie,krakowski,4095,388,142,0,t1206
małopolskie,limanowski,3602,180,612,0,t1207
małopolskie,miechowski,3202,135,770,1,t1208
małopolskie,myślenicki,2882,141,627,5,t1209
małopolskie,nowosądecki,3654,373,267,0,t1210
małopolskie,nowotarski,5823,404,1220,1,t1211
małopolskie,olkuski,3104,112,619,0,t1212
małopolskie,oświęcimski,3856,143,953,0,t1213
małopolskie,proszowicki,1665,30,416,0,t1214
małopolskie,suski,3640,173,843,0,t1215
małopolskie,tarnowski,2794,282,81,1,t1216
małopolskie,tatrzański,2556,76,605,0,t1217
małopolskie,wadowicki,2796,93,353,24,t1218
małopolskie,wielicki,1337,202,30,30,t1219
małopolskie,Kraków,71636,2727,20266,712,t1261
małopolskie,Nowy Sącz,3202,72,866,0,t1262
małopolskie,Tarnów,7498,87,2796,5,t1263
mazowieckie,białobrzeski,791,46,0,0,t1401
mazowieckie,ciechanowski,4972,209,1109,31,t1402
mazowieckie,garwoliński,2603,224,432,89,t1403
mazowieckie,gostyniński,1334,117,128,54,t1404
mazowieckie,grodziski,5604,350,1747,205,t1405
mazowieckie,grójecki,4102,185,1189,17,t1406
mazowieckie,kozienicki,1809,137,251,0,t1407
mazowieckie,legionowski,1638,253,191,1,t1408
mazowieckie,lipski,1392,84,154,0,t1409
mazowieckie,łosicki,860,77,172,0,t1410
mazowieckie,makowski,1790,208,272,97,t1411
mazowieckie,miński,3493,157,743,0,t1412
mazowieckie,mławski,2495,166,552,53,t1413
mazowieckie,nowodworski,6151,211,2094,161,t1414
mazowieckie,ostrołęcki,1561,251,14,11,t1415
mazowieckie,ostrowski,2492,141,597,6,t1416
mazowieckie,otwocki,7768,200,2446,51,t1417
mazowieckie,piaseczyński,7628,372,1591,84,t1418
mazowieckie,płocki,2712,403,223,223,t1419
mazowieckie,płoński,3012,143,649,50,t1420
mazowieckie,pruszkowski,6036,144,1765,10,t1421
mazowieckie,przasnyski,2368,222,661,140,t1422
mazowieckie,przysuski,1251,98,254,0,t1423
mazowieckie,pułtuski,2391,135,413,0,t1424
mazowieckie,radomski,2930,254,392,0,t1425
mazowieckie,siedlecki,1049,130,0,0,t1426
mazowieckie,sierpecki,1792,150,484,36,t1427
mazowieckie,sochaczewski,2481,48,861,0,t1428
mazowieckie,sokołowski,2214,108,596,0,t1429
mazowieckie,szydłowiecki,938,42,178,0,t1430
mazowieckie,warszawski zachodni,2977,222,214,12,t1432
mazowieckie,węgrowski,2109,156,496,62,t1433
mazowieckie,wołomiński,7233,451,1852,272,t1434
mazowieckie,wyszkowski,2874,159,377,45,t1435
mazowieckie,zwoleński,1052,66,177,3,t1436
mazowieckie,żuromiński,1450,94,418,0,t1437
mazowieckie,żyrardowski,2310,91,350,3,t1438
mazowieckie,Ostrołęka,4444,248,1207,28,t1461
mazowieckie,Płock,7744,376,1579,90,t1462
mazowieckie,Radom,11858,653,2743,75,t1463
mazowieckie,Siedlce,5168,274,1288,74,t1464
mazowieckie,Warszawa,149627,4709,51182,612,t1465
opolskie,brzeski,2912,152,595,0,t1601
opolskie,głubczycki,3320,36,772,0,t1602
opolskie,kędzierzyńsko-kozielski,4055,184,1204,8,t1603
opolskie,kluczborski,2160,105,351,0,t1604
opolskie,krapkowicki,3150,98,953,1,t1605
opolskie,namysłowski,1318,49,369,19,t1606
opolskie,nyski,6167,163,2114,0,t1607
opolskie,oleski,2043,114,271,19,t1608
