wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,419,13,1,0,t00
dolnośląskie,bolesławiecki,5117,102,1623,64,t0201
dolnośląskie,dzierżoniowski,3855,346,893,234,t0202
dolnośląskie,głogowski,3172,172,726,84,t0203
dolnośląskie,górowski,730,66,18,12,t0204
dolnośląskie,jaworski,2058,113,453,55,t0205
dolnośląskie,jeleniogórski,2578,226,487,133,t0206
dolnośląskie,kamiennogórski,1836,199,481,135,t0207
dolnośląskie,kłodzki,10719,864,2917,496,t0208
dolnośląskie,legnicki,699,100,0,0,t0209
dolnośląskie,lubański,1739,102,438,41,t0210
dolnośląskie,lubiński,7647,450,2338,166,t0211
dolnośląskie,lwówecki,1970,54,622,8,t0212
dolnośląskie,milicki,1940,106,409,57,t0213
dolnośląskie,oleśnicki,3383,300,1063,240,t0214
dolnośląskie,oławski,3429,242,993,147,t0215
dolnośląskie,polkowicki,524,38,0,0,t0216
dolnośląskie,strzeliński,1507,155,113,3,t0217
dolnośląskie,średzki,967,82,206,41,t0218
dolnośląskie,świdnicki,6463,354,2032,229,t0219
dolnośląskie,trzebnicki,3997,277,1001,202,t0220
dolnośląskie,wałbrzyski,2350,83,781,20,t0221
dolnośląskie,wołowski,1930,84,529,41,t0222
dolnośląskie,wrocławski,2878,175,176,12,t0223
dolnośląskie,ząbkowicki,3434,381,1082,264,t0224
dolnośląskie,zgorzelecki,5340,168,1825,36,t0225
dolnośląskie,złotoryjski,1323,36,427,0,t0226
dolnośląskie,Jelenia Góra,5633,209,1974,119,t0261
dolnośląskie,Legnica,5969,202,2452,97,t0262
dolnośląskie,Wrocław,70161,1488,25415,433,t0264
dolnośląskie,Wałbrzych,12764,640,2837,96,t0265
kujawsko-pomorskie,aleksandrowski,3953,529,725,114,t0401
kujawsko-pomorskie,brodnicki,2805,143,735,48,t0402
kujawsko-pomorskie,bydgoski,1934,235,237,175,t0403
kujawsko-pomorskie,chełmiński,1960,66,407,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,1425,41,411,0,t0405
kujawsko-pomorskie,grudziądzki,709,18,85,0,t0406
kujawsko-pomorskie,inowrocławski,6399,179,1722,43,t0407
kujawsko-pomorskie,lipnowski,2340,64,511,0,t0408
kujawsko-pomorskie,mogileński,1287,120,299,74,t0409
kujawsko-pomorskie,nakielski,1576,40,345,0,t0410
kujawsko-pomorskie,radziejowski,2064,102,652,55,t0411
kujawsko-pomorskie,rypiński,1314,36,347,12,t0412
kujawsko-pomorskie,sępoleński,2651,219,709,82,t0413
kujawsko-pomorskie,świecki,3404,163,597,74,t0414
kujawsko-pomorskie,toruński,2118,129,383,42,t0415
kujawsko-pomorskie,tucholski,1546,66,351,1,t0416
kujawsko-pomorskie,wąbrzeski,1261,48,164,0,t0417
kujawsko-pomorskie,włocławski,2265,191,410,100,t0418
kujawsko-pomorskie,żniński,2503,282,738,176,t0419
kujawsko-pomorskie,Bydgoszcz,30639,1123,10629,719,t0461
kujawsko-pomorskie,Grudziądz,5256,201,1932,154,t0462
kujawsko-pomorskie,Toruń,12697,521,4237,425,t0463
kujawsko-pomorskie,Włocławek,4424,360,1087,279,t0464
lubelskie,bialski,2983,247,378,114,t0601
lubelskie,biłgorajski,3330,200,668,73,t0602
lubelskie,chełmski,1220,65,29,18,t0603
lubelskie,hrubieszowski,2415,131,537,15,t0604
lubelskie,janowski,2574,180,593,95,t0605
lubelskie,krasnostawski,3077,118,792,29,t0606
lubelskie,kraśnicki,3603,367,680,157,t0607
lubelskie,lubartowski,3424,325,1003,210,t0608
lubelskie,lubelski,4237,389,797,206,t0609
lubelskie,łęczyński,2841,189,695,27,t0610
lubelskie,łukowski,3506,360,743,217,t0611
lubelskie,opolski,2132,160,472,23,t0612
lubelskie,parczewski,2130,136,619,63,t0613
lubelskie,puławski,7221,352,2281,150,t0614
lubelskie,radzyński,2538,131,569,42,t0615
lubelskie,rycki,2337,159,380,42,t0616
lubelskie,świdnicki,2503,119,390,83,t0617
lubelskie,tomaszowski,3356,281,818,171,t0618
lubelskie,włodawski,2192,156,600,90,t0619
lubelskie,zamojski,2857,187,381,60,t0620
lubelskie,Biała Podlaska,5316,237,1860,200,t0661
lubelskie,Chełm,3853,269,1336,152,t0662
lubelskie,Lublin,39853,1410,12863,681,t0663
lubelskie,Zamość,5156,216,1736,134,t0664
lubuskie,gorzowski,1685,59,263,0,t0801
lubuskie,krośnieński,2290,195,542,95,t0802
lubuskie,międzyrzecki,3809,339,1189,305,t0803
lubuskie,nowosolski,4236,166,1247,44,t0804
lubuskie,słubicki,1551,37,353,0,t0805
lubuskie,strzelecko-drezdenecki,2055,193,515,60,t0806
lubuskie,sulęciński,1594,48,430,0,t0807
lubuskie,świebodziński,3252,229,960,161,t0808
lubuskie,zielonogórski,3029,216,698,107,t0809
lubuskie,żagański,1946,120,389,37,t0810
lubuskie,żarski,5377,182,1641,79,t0811
lubuskie,wschowski,1246,18,428,0,t0812
lubuskie,Gorzów Wielkopolski,7465,223,2191,190,t0861
lubuskie,Zielona Góra,8603,640,1753,209,t0862
łódzkie,bełchatowski,4228,199,1221,126,t1001
łódzkie,kutnowski,4213,354,1126,278,t1002
łódzkie,łaski,1314,60,294,30,t1003
łódzkie,łęczycki,3076,275,937,221,t1004
łódzkie,łowicki,6445,437,1530,237,t1005
łódzkie,łódzki wschodni,1475,84,101,0,t1006
łódzkie,opoczyński,2548,211,614,107,t1007
łódzkie,pabianicki,4654,188,1250,70,t1008
łódzkie,pajęczański,1355,77,332,29,t1009
łódzkie,piotrkowski,1444,160,143,58,t1010
łódzkie,poddębicki,1700,74,575,44,t1011
łódzkie,radomszczański,5664,281,2000,175,t1012
łódzkie,rawski,1476,72,297,36,t1013
łódzkie,sieradzki,4731,128,1418,56,t1014
łódzkie,skierniewicki,592,57,0,0,t1015
łódzkie,tomaszowski,4597,263,1357,92,t1016
łódzkie,wieluński,2831,170,523,87,t1017
łódzkie,wieruszowski,1499,20,246,0,t1018
łódzkie,zduńskowolski,2533,213,746,168,t1019
łódzkie,zgierski,7777,377,2806,171,t1020
łódzkie,brzeziński,2113,257,375,54,t1021
łódzkie,Łódź,66405,2494,23738,1187,t1061
łódzkie,Piotrków Trybunalski,4548,287,1415,155,t1062
łódzkie,Skierniewice,3848,191,1125,65,t1063
małopolskie,bocheński,2827,257,691,139,t1201
małopolskie,brzeski,3494,226,854,124,t1202
małopolskie,chrzanowski,5233,150,1019,6,t1203
małopolskie,dąbrowski,2518,129,792,33,t1204
małopolskie,gorlicki,4767,212,831,63,t1205
małopolskie,krakowski,5148,525,571,257,t1206
małopolskie,limanowski,4225,390,929,208,t1207
małopolskie,miechowski,3614,227,957,102,t1208
małopolskie,myślenicki,3414,308,851,170,t1209
małopolskie,nowosądecki,4482,378,577,120,t1210
małopolskie,nowotarski,6756,439,1667,280,t1211
małopolskie,olkuski,3574,287,831,159,t1212
małopolskie,oświęcimski,4497,366,1230,170,t1213
małopolskie,proszowicki,1840,84,453,6,t1214
małopolskie,suski,4156,361,1050,207,t1215
małopolskie,tarnowski,3759,540,557,348,t1216
małopolskie,tatrzański,2785,145,716,89,t1217
małopolskie,wadowicki,3346,247,603,155,t1218
małopolskie,wielicki,1664,136,207,52,t1219
małopolskie,Kraków,78506,3242,24001,2005,t1261
małopolskie,Nowy Sącz,3529,219,1144,189,t1262
małopolskie,Tarnów,8106,283,3231,238,t1263
mazowieckie,białobrzeski,1220,226,261,159,t1401
mazowieckie,ciechanowski,5576,267,1302,102,t1402
mazowieckie,garwoliński,3031,182,563,42,t1403
mazowieckie,gostyniński,1685,151,359,118,t1404
mazowieckie,grodziski,6302,398,2196,239,t1405
mazowieckie,grójecki,4499,168,1350,87,t1406
mazowieckie,kozienicki,2024,78,251,0,t1407
mazowieckie,legionowski,1914,139,328,104,t1408
mazowieckie,lipski,1655,125,225,44,t1409
mazowieckie,łosicki,966,34,172,0,t1410
mazowieckie,makowski,2116,172,397,53,t1411
mazowieckie,miński,4071,284,946,132,t1412
mazowieckie,mławski,3035,216,789,117,t1413
mazowieckie,nowodworski,7029,392,2761,305,t1414
mazowieckie,ostrołęcki,1928,168,67,29,t1415
mazowieckie,ostrowski,2756,123,724,66,t1416
mazowieckie,otwocki,8825,532,3316,454,t1417
mazowieckie,piaseczyński,8977,606,2535,442,t1418
mazowieckie,płocki,3674,388,764,228,t1419
mazowieckie,płoński,3391,133,853,97,t1420
mazowieckie,pruszkowski,7018,420,2491,324,t1421
mazowieckie,przasnyski,2813,248,793,60,t1422
mazowieckie,przysuski,1496,86,351,22,t1423
mazowieckie,pułtuski,2727,149,472,29,t1424
mazowieckie,radomski,3607,349,746,247,t1425
mazowieckie,siedlecki,1364,144,90,25,t1426
mazowieckie,sierpecki,2069,116,536,40,t1427
mazowieckie,sochaczewski,2780,198,951,90,t1428
mazowieckie,sokołowski,2478,156,666,35,t1429
mazowieckie,szydłowiecki,1133,30,265,0,t1430
mazowieckie,warszawski zachodni,4062,500,1057,435,t1432
mazowieckie,węgrowski,2537,209,615,61,t1433
mazowieckie,wołomiński,8761,650,2920,486,t1434
mazowieckie,wyszkowski,3597,313,835,190,t1435
mazowieckie,zwoleński,1243,77,241,0,t1436
mazowieckie,żuromiński,1630,61,437,2,t1437
mazowieckie,żyrardowski,2847,250,442,29,t1438
mazowieckie,Ostrołęka,5117,236,1443,107,t1461
mazowieckie,Płock,8379,353,1728,119,t1462
mazowieckie,Radom,13337,706,3389,367,t1463
mazowieckie,Siedlce,5735,285,1503,107,t1464
mazowieckie,Warszawa,159737,4911,54891,2455,t1465
opolskie,brzeski,3295,196,655,60,t1601
opolskie,głubczycki,4017,434,1301,380,t1602
