wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,247,12,1,0,t00
dolnośląskie,bolesławiecki,4221,0,1048,0,t0201
dolnośląskie,dzierżoniowski,2958,12,513,0,t0202
dolnośląskie,głogowski,2768,36,535,0,t0203
dolnośląskie,górowski,587,24,0,0,t0204
dolnośląskie,jaworski,1725,65,358,0,t0205
dolnośląskie,jeleniogórski,1939,78,268,0,t0206
dolnośląskie,kamiennogórski,1445,0,258,0,t0207
dolnośląskie,kłodzki,8683,83,2078,0,t0208
dolnośląskie,legnicki,490,18,0,0,t0209
dolnośląskie,lubański,1477,47,355,30,t0210
dolnośląskie,lubiński,6488,182,1811,118,t0211
dolnośląskie,lwówecki,1610,0,517,0,t0212
dolnośląskie,milicki,1560,6,261,0,t0213
dolnośląskie,oleśnicki,2730,24,626,0,t0214
dolnośląskie,oławski,2707,42,607,0,t0215
dolnośląskie,polkowicki,346,0,0,0,t0216
dolnośląskie,strzeliński,1214,18,110,0,t0217
dolnośląskie,średzki,623,10,0,0,t0218
dolnośląskie,świdnicki,5492,72,1681,0,t0219
dolnośląskie,trzebnicki,3105,66,611,6,t0220
dolnośląskie,wałbrzyski,1786,0,438,0,t0221
dolnośląskie,wołowski,1591,6,353,0,t0222
dolnośląskie,wrocławski,2116,54,0,0,t0223
dolnośląskie,ząbkowicki,2619,5,578,0,t0224
dolnośląskie,zgorzelecki,4721,117,1607,0,t0225
dolnośląskie,złotoryjski,1201,18,427,0,t0226
dolnośląskie,Jelenia Góra,5051,144,1841,73,t0261
dolnośląskie,Legnica,5158,17,1967,8,t0262
dolnośląskie,Wrocław,64990,901,24238,288,t0264
dolnośląskie,Wałbrzych,10809,284,2521,0,t0265
kujawsko-pomorskie,aleksandrowski,2798,36,587,0,t0401
kujawsko-pomorskie,brodnicki,2218,30,516,0,t0402
kujawsko-pomorskie,bydgoski,1272,53,18,18,t0403
kujawsko-pomorskie,chełmiński,1648,29,334,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,1252,0,411,0,t0405
kujawsko-pomorskie,grudziądzki,545,12,85,0,t0406
kujawsko-pomorskie,inowrocławski,5508,24,1529,0,t0407
kujawsko-pomorskie,lipnowski,2031,12,510,0,t0408
kujawsko-pomorskie,mogileński,1031,7,201,1,t0409
kujawsko-pomorskie,nakielski,1390,0,345,0,t0410
kujawsko-pomorskie,radziejowski,1751,33,549,0,t0411
kujawsko-pomorskie,rypiński,1119,24,307,0,t0412
kujawsko-pomorskie,sępoleński,2008,18,422,0,t0413
kujawsko-pomorskie,świecki,2815,47,448,0,t0414
kujawsko-pomorskie,toruński,1695,6,340,0,t0415
kujawsko-pomorskie,tucholski,1206,18,344,0,t0416
kujawsko-pomorskie,wąbrzeski,997,35,164,0,t0417
kujawsko-pomorskie,włocławski,1488,53,90,0,t0418
kujawsko-pomorskie,żniński,1896,6,438,0,t0419
