wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,40,2,0,0,t00,0,0,0,0,40,2
dolnośląskie,bolesławiecki,115179,25,38593,0,t0201,47216,0,119,0,29251,25
dolnośląskie,dzierżoniowski,116390,85,37591,0,t0202,42464,0,130,0,36205,85
dolnośląskie,głogowski,116676,17,35250,0,t0203,42268,0,176,0,38982,17
dolnośląskie,górowski,40336,0,13959,0,t0204,16470,0,69,0,9838,0
dolnośląskie,jaworski,64438,0,20807,0,t0205,25234,0,45,0,18352,0
dolnośląskie,jeleniogórski,77238,1,26379,0,t0206,31560,0,365,0,18934,1
dolnośląskie,kamiennogórski,52910,0,17242,0,t0207,19559,0,105,0,16004,0
dolnośląskie,kłodzki,203952,9,68221,0,t0208,78077,0,628,0,57026,9
dolnośląskie,legnicki,67752,0,22039,0,t0209,27404,0,178,0,18131,0
dolnośląskie,lubański,53223,0,14862,0,t0210,20570,0,102,0,17689,0
dolnośląskie,lubiński,189556,11,67080,0,t0211,73865,0,696,0,47915,11
dolnośląskie,lwówecki,68208,0,22917,0,t0212,26546,0,226,0,18519,0
dolnośląskie,milicki,52955,0,18790,0,t0213,20848,0,105,0,13212,0
dolnośląskie,oleśnicki,182337,4,56535,0,t0214,67607,0,442,0,57753,4
dolnośląskie,oławski,60706,8,22898,0,t0215,25921,0,97,0,11790,8
dolnośląskie,polkowicki,66268,41,21293,0,t0216,27059,0,57,0,17859,41
dolnośląskie,strzeliński,58958,0,20141,0,t0217,22693,0,384,0,15740,0
dolnośląskie,średzki,41916,0,12725,0,t0218,14547,0,468,0,14176,0
dolnośląskie,świdnicki,180918,14,55774,0,t0219,65247,0,1079,0,58818,14
dolnośląskie,trzebnicki,98426,8,33479,0,t0220,35537,0,405,0,29005,8
dolnośląskie,wałbrzyski,49463,0,17099,0,t0221,18513,0,262,0,13589,0
dolnośląskie,wołowski,67204,0,22208,0,t0222,27982,0,232,0,16782,0
dolnośląskie,wrocławski,176530,12,58407,0,t0223,64354,0,950,0,52819,12
dolnośląskie,ząbkowicki,86872,4,29492,0,t0224,34557,0,260,0,22563,4
dolnośląskie,zgorzelecki,103784,23,31908,0,t0225,39219,0,191,0,32466,23
dolnośląskie,złotoryjski,57416,0,18416,0,t0226,22316,0,131,0,16553,0
dolnośląskie,Jelenia Góra,149070,7,49490,0,t0261,54022,0,422,0,45136,7
dolnośląskie,Legnica,150405,38,48885,0,t0262,56208,0,348,0,44964,38
dolnośląskie,Wrocław,1665913,201,556122,0,t0264,636863,0,4236,0,468692,201
dolnośląskie,Wałbrzych,291955,14,106875,0,t0265,122919,0,603,0,61558,14
kujawsko-pomorskie,aleksandrowski,166192,0,67132,0,t0401,73221,0,405,0,25434,0
kujawsko-pomorskie,brodnicki,112783,7,39831,0,t0402,44768,0,1344,0,26840,7
kujawsko-pomorskie,bydgoski,124441,3,42517,0,t0403,46716,0,270,0,34938,3
kujawsko-pomorskie,chełmiński,68305,0,23055,0,t0404,25570,0,53,0,19627,0
kujawsko-pomorskie,golubsko-dobrzyński,51934,2,18751,0,t0405,21295,0,339,0,11549,2
kujawsko-pomorskie,grudziądzki,39210,0,13914,0,t0406,16574,0,30,0,8692,0
kujawsko-pomorskie,inowrocławski,170202,38,57051,0,t0407,62686,0,427,0,50038,38
kujawsko-pomorskie,lipnowski,81669,7,28856,0,t0408,33306,0,342,0,19165,7
kujawsko-pomorskie,mogileński,58497,0,19145,0,t0409,21899,0,154,0,17299,0
kujawsko-pomorskie,nakielski,135526,20,44471,0,t0410,56194,0,443,0,34418,20
kujawsko-pomorskie,radziejowski,62954,0,23241,0,t0411,25857,0,528,0,13328,0
kujawsko-pomorskie,rypiński,56470,1,19664,0,t0412,22167,0,75,0,14564,1
kujawsko-pomorskie,sępoleński,70480,5,24961,0,t0413,29847,0,134,0,15538,5
kujawsko-pomorskie,świecki,128738,2,42648,0,t0414,50156,0,388,0,35546,2
kujawsko-pomorskie,toruński,103101,0,35703,0,t0415,44393,0,411,0,22594,0
kujawsko-pomorskie,tucholski,61659,0,21148,0,t0416,24263,0,157,0,16091,0
kujawsko-pomorskie,wąbrzeski,44266,0,15029,0,t0417,17801,0,244,0,11192,0
kujawsko-pomorskie,włocławski,97148,4,35633,0,t0418,38773,0,276,0,22466,4
kujawsko-pomorskie,żniński,77345,0,28520,0,t0419,31025,0,403,0,17397,0
kujawsko-pomorskie,Bydgoszcz,729695,37,231292,0,t0461,268732,0,1463,0,228208,37
kujawsko-pomorskie,Grudziądz,192031,31,65482,0,t0462,76898,0,558,0,49093,31
kujawsko-pomorskie,Toruń,362977,51,107638,0,t0463,127115,0,918,0,127306,51
kujawsko-pomorskie,Włocławek,168395,1,50724,0,t0464,64371,0,1083,0,52217,1
lubelskie,bialski,95072,0,32987,0,t0601,38921,0,591,0,22573,0
lubelskie,biłgorajski,85633,0,30131,0,t0602,33894,0,72,0,21536,0
lubelskie,chełmski,55920,0,20062,0,t0603,22032,0,317,0,13509,0
lubelskie,hrubieszowski,70744,0,24290,0,t0604,28563,0,1431,0,16460,0
lubelskie,janowski,45313,0,16897,0,t0605,19158,0,524,0,8734,0
lubelskie,krasnostawski,65797,0,22147,0,t0606,25746,0,463,0,17441,0
lubelskie,kraśnicki,103848,0,37270,0,t0607,41577,0,349,0,24652,0
lubelskie,lubartowski,86109,9,31179,0,t0608,34939,0,1116,0,18875,9
lubelskie,lubelski,132110,13,46287,0,t0609,54356,0,581,0,30886,13
lubelskie,łęczyński,59411,0,22151,0,t0610,23998,0,502,0,12760,0
lubelskie,łukowski,89068,3,32015,0,t0611,36823,0,232,0,19998,3
lubelskie,opolski,71303,0,25156,0,t0612,29164,0,232,0,16751,0
lubelskie,parczewski,42602,0,15077,0,t0613,17741,0,483,0,9301,0
lubelskie,puławski,153121,0,53790,0,t0614,59025,0,389,0,39917,0
lubelskie,radzyński,48119,0,17234,0,t0615,19571,0,163,0,11151,0
