wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,4,0,0,0,t00
dolnośląskie,bolesławiecki,78262,127,34340,6,t0201
dolnośląskie,dzierżoniowski,74367,232,33747,12,t0202
dolnośląskie,głogowski,70502,275,31072,24,t0203
dolnośląskie,górowski,28028,33,12507,9,t0204
dolnośląskie,jaworski,41610,111,18294,9,t0205
dolnośląskie,jeleniogórski,54644,122,24492,18,t0206
dolnośląskie,kamiennogórski,34415,103,15666,18,t0207
dolnośląskie,kłodzki,138887,491,62499,16,t0208
dolnośląskie,legnicki,46304,39,20189,5,t0209
dolnośląskie,lubański,32447,17,13260,0,t0210
dolnośląskie,lubiński,132563,230,61503,11,t0211
dolnośląskie,lwówecki,44804,59,20251,8,t0212
dolnośląskie,milicki,36759,61,16903,9,t0213
dolnośląskie,oleśnicki,107239,211,47738,34,t0214
dolnośląskie,oławski,47721,98,21825,27,t0215
dolnośląskie,polkowicki,44002,122,18968,19,t0216
dolnośląskie,strzeliński,39778,31,18067,3,t0217
dolnośląskie,średzki,23896,70,10929,13,t0218
dolnośląskie,świdnicki,111274,385,49288,26,t0219
dolnośląskie,trzebnicki,63752,99,29929,8,t0220
dolnośląskie,wałbrzyski,34123,85,15705,25,t0221
dolnośląskie,wołowski,45170,52,19630,4,t0222
dolnośląskie,wrocławski,109616,129,50840,14,t0223
dolnośląskie,ząbkowicki,60183,94,26981,5,t0224
dolnośląskie,zgorzelecki,64675,234,28295,40,t0225
dolnośląskie,złotoryjski,37195,142,16337,15,t0226
dolnośląskie,Jelenia Góra,96959,164,44959,22,t0261
dolnośląskie,Legnica,97080,248,44092,37,t0262
dolnośląskie,Wrocław,1123742,1824,508402,147,t0264
dolnośląskie,Wałbrzych,223256,335,100894,9,t0265
kujawsko-pomorskie,aleksandrowski,137863,201,64253,8,t0401
kujawsko-pomorskie,brodnicki,77588,179,35586,27,t0402
kujawsko-pomorskie,bydgoski,81866,133,37992,21,t0403
kujawsko-pomorskie,chełmiński,44916,47,20461,3,t0404
kujawsko-pomorskie,golubsko-dobrzyński,38246,45,17435,0,t0405
kujawsko-pomorskie,grudziądzki,28123,90,12602,10,t0406
kujawsko-pomorskie,inowrocławski,111548,257,51493,15,t0407
kujawsko-pomorskie,lipnowski,57199,111,25874,20,t0408
kujawsko-pomorskie,mogileński,35658,18,16306,0,t0409
kujawsko-pomorskie,nakielski,90564,129,39623,13,t0410
kujawsko-pomorskie,radziejowski,46887,118,21594,23,t0411
kujawsko-pomorskie,rypiński,38539,133,17728,11,t0412
kujawsko-pomorskie,sępoleński,52032,33,23118,0,t0413
kujawsko-pomorskie,świecki,84436,285,37867,43,t0414
kujawsko-pomorskie,toruński,76040,129,32845,32,t0415
kujawsko-pomorskie,tucholski,41892,140,18872,21,t0416
