wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,25,0,0,0,t00
dolnośląskie,bolesławiecki,67562,245,30473,82,t0201
dolnośląskie,dzierżoniowski,63473,246,29731,233,t0202
dolnośląskie,głogowski,59008,328,26703,241,t0203
dolnośląskie,górowski,25145,18,11375,0,t0204
dolnośląskie,jaworski,36721,25,16492,25,t0205
dolnośląskie,jeleniogórski,48069,128,22414,71,t0206
dolnośląskie,kamiennogórski,28707,121,13389,39,t0207
dolnośląskie,kłodzki,118726,535,55195,278,t0208
dolnośląskie,legnicki,41152,75,18344,51,t0209
dolnośląskie,lubański,27153,102,11264,90,t0210
dolnośląskie,lubiński,118182,320,56381,85,t0211
dolnośląskie,lwówecki,38256,138,17675,117,t0212
dolnośląskie,milicki,31535,64,14698,32,t0213
dolnośląskie,oleśnicki,86304,299,38882,185,t0214
dolnośląskie,oławski,43307,227,20739,157,t0215
dolnośląskie,polkowicki,38903,119,16889,62,t0216
dolnośląskie,strzeliński,34787,99,16041,15,t0217
dolnośląskie,średzki,20468,83,9649,58,t0218
dolnośląskie,świdnicki,92900,311,42590,191,t0219
dolnośląskie,trzebnicki,55272,82,26167,66,t0220
dolnośląskie,wałbrzyski,29911,57,14103,35,t0221
dolnośląskie,wołowski,39479,106,17658,56,t0222
dolnośląskie,wrocławski,97284,233,46037,152,t0223
dolnośląskie,ząbkowicki,51270,147,24083,103,t0224
dolnośląskie,zgorzelecki,53512,194,24363,137,t0225
dolnośląskie,złotoryjski,32070,88,14174,50,t0226
dolnośląskie,Jelenia Góra,83640,223,40003,161,t0261
dolnośląskie,Legnica,83746,202,39317,111,t0262
dolnośląskie,Wrocław,999659,1676,469534,1058,t0264
dolnośląskie,Wałbrzych,202261,325,94553,238,t0265
kujawsko-pomorskie,aleksandrowski,127710,241,60717,131,t0401
kujawsko-pomorskie,brodnicki,65809,346,30466,264,t0402
kujawsko-pomorskie,bydgoski,71989,348,33312,292,t0403
kujawsko-pomorskie,chełmiński,38343,192,17838,112,t0404
kujawsko-pomorskie,golubsko-dobrzyński,33146,69,15156,24,t0405
kujawsko-pomorskie,grudziądzki,23722,96,10536,49,t0406
kujawsko-pomorskie,inowrocławski,98799,256,46685,215,t0407
kujawsko-pomorskie,lipnowski,48460,187,21704,144,t0408
kujawsko-pomorskie,mogileński,28260,238,13102,157,t0409
kujawsko-pomorskie,nakielski,76620,237,34528,143,t0410
kujawsko-pomorskie,radziejowski,41723,60,18952,59,t0411
kujawsko-pomorskie,rypiński,31942,51,14499,11,t0412
kujawsko-pomorskie,sępoleński,46003,348,21469,204,t0413
kujawsko-pomorskie,świecki,70697,249,32321,149,t0414
