wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,1143,139,241,0,t00
dolnośląskie,bolesławiecki,7435,263,2612,160,t0201
dolnośląskie,dzierżoniowski,5647,233,1909,80,t0202
dolnośląskie,głogowski,4756,203,1508,36,t0203
dolnośląskie,górowski,1208,102,294,84,t0204
dolnośląskie,jaworski,3029,51,968,10,t0205
dolnośląskie,jeleniogórski,3815,117,965,105,t0206
dolnośląskie,kamiennogórski,2748,45,966,0,t0207
dolnośląskie,kłodzki,15313,594,5386,179,t0208
dolnośląskie,legnicki,1283,25,275,18,t0209
dolnośląskie,lubański,2578,93,883,54,t0210
dolnośląskie,lubiński,10987,472,3604,197,t0211
dolnośląskie,lwówecki,2763,118,889,30,t0212
dolnośląskie,milicki,3095,161,1049,37,t0213
dolnośląskie,oleśnicki,4668,54,1618,0,t0214
dolnośląskie,oławski,5286,244,1535,12,t0215
dolnośląskie,polkowicki,925,32,177,0,t0216
dolnośląskie,strzeliński,2573,98,501,29,t0217
dolnośląskie,średzki,1551,60,439,12,t0218
dolnośląskie,świdnicki,9051,376,2834,101,t0219
dolnośląskie,trzebnicki,5952,265,2092,59,t0220
dolnośląskie,wałbrzyski,3274,233,1152,155,t0221
dolnośląskie,wołowski,3218,71,996,0,t0222
dolnośląskie,wrocławski,4796,151,1043,30,t0223
dolnośląskie,ząbkowicki,4959,138,1724,34,t0224
dolnośląskie,zgorzelecki,6908,196,2450,61,t0225
dolnośląskie,złotoryjski,2181,87,595,0,t0226
dolnośląskie,Jelenia Góra,7452,102,2711,49,t0261
dolnośląskie,Legnica,8005,246,2944,67,t0262
dolnośląskie,Wrocław,92257,2242,34554,582,t0264
dolnośląskie,Wałbrzych,18830,592,5171,84,t0265
kujawsko-pomorskie,aleksandrowski,8797,410,2937,281,t0401
kujawsko-pomorskie,brodnicki,4283,236,1223,64,t0402
kujawsko-pomorskie,bydgoski,2970,76,714,18,t0403
kujawsko-pomorskie,chełmiński,2820,114,909,77,t0404
kujawsko-pomorskie,golubsko-dobrzyński,2076,90,590,33,t0405
kujawsko-pomorskie,grudziądzki,1073,68,287,34,t0406
kujawsko-pomorskie,inowrocławski,8845,223,3052,54,t0407
kujawsko-pomorskie,lipnowski,3743,42,1215,30,t0408
kujawsko-pomorskie,mogileński,2043,61,598,0,t0409
kujawsko-pomorskie,nakielski,2622,122,839,24,t0410
kujawsko-pomorskie,radziejowski,2781,103,932,47,t0411
kujawsko-pomorskie,rypiński,2259,143,587,54,t0412
kujawsko-pomorskie,sępoleński,3895,141,1241,69,t0413
kujawsko-pomorskie,świecki,5122,88,1777,17,t0414
