wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,5470,101,1067,25,t00
dolnośląskie,bolesławiecki,12035,331,4502,45,t0201
dolnośląskie,dzierżoniowski,10867,328,3775,51,t0202
dolnośląskie,głogowski,10102,362,3144,150,t0203
dolnośląskie,górowski,3353,136,1175,42,t0204
dolnośląskie,jaworski,6611,270,2231,80,t0205
dolnośląskie,jeleniogórski,9016,451,3064,184,t0206
dolnośląskie,kamiennogórski,4699,119,1756,86,t0207
dolnośląskie,kłodzki,27757,1173,10299,408,t0208
dolnośląskie,legnicki,3887,302,1302,57,t0209
dolnośląskie,lubański,5031,189,1597,58,t0210
dolnośląskie,lubiński,21610,799,7513,351,t0211
dolnośląskie,lwówecki,5493,304,2026,121,t0212
dolnośląskie,milicki,5864,178,2007,80,t0213
dolnośląskie,oleśnicki,9105,453,3124,173,t0214
dolnośląskie,oławski,10880,446,3416,173,t0215
dolnośląskie,polkowicki,2751,177,992,104,t0216
dolnośląskie,strzeliński,6170,320,2234,82,t0217
dolnośląskie,średzki,4045,154,1423,97,t0218
dolnośląskie,świdnicki,17142,654,6100,204,t0219
dolnośląskie,trzebnicki,11428,443,3923,247,t0220
dolnośląskie,wałbrzyski,6339,164,2450,76,t0221
dolnośląskie,wołowski,6629,295,2300,134,t0222
dolnośląskie,wrocławski,12298,720,4297,227,t0223
dolnośląskie,ząbkowicki,9919,633,3548,132,t0224
dolnośląskie,zgorzelecki,11700,364,4533,140,t0225
dolnośląskie,złotoryjski,4998,187,1570,26,t0226
dolnośląskie,Jelenia Góra,14007,520,4906,239,t0261
dolnośląskie,Legnica,13140,480,4409,90,t0262
dolnośląskie,Wrocław,164226,4982,56733,1563,t0264
dolnośląskie,Wałbrzych,47223,1360,14143,291,t0265
kujawsko-pomorskie,aleksandrowski,29616,1010,9695,406,t0401
kujawsko-pomorskie,brodnicki,9517,439,3257,129,t0402
kujawsko-pomorskie,bydgoski,7905,348,2831,167,t0403
kujawsko-pomorskie,chełmiński,5646,210,1912,52,t0404
kujawsko-pomorskie,golubsko-dobrzyński,4415,210,1451,75,t0405
kujawsko-pomorskie,grudziądzki,2544,120,879,15,t0406
kujawsko-pomorskie,inowrocławski,18944,705,6363,270,t0407
kujawsko-pomorskie,lipnowski,7350,270,2584,113,t0408
kujawsko-pomorskie,mogileński,4080,151,1291,7,t0409
kujawsko-pomorskie,nakielski,5752,278,1784,125,t0410
