wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,9,0,3,0,t00,2,0,0,0,4,0
dolnośląskie,bolesławiecki,108013,47,38377,6,t0201,47060,8,143,0,22433,33
dolnośląskie,dzierżoniowski,105915,59,37396,20,t0202,42323,5,151,0,26045,34
dolnośląskie,głogowski,105010,85,35026,26,t0203,42005,12,183,0,27796,47
dolnośląskie,górowski,38277,3,13940,1,t0204,16463,0,79,0,7795,2
dolnośląskie,jaworski,59715,13,20714,5,t0205,25160,0,43,0,13798,8
dolnośląskie,jeleniogórski,72091,19,26236,0,t0206,31411,0,395,0,14049,19
dolnośląskie,kamiennogórski,49098,40,17155,7,t0207,19502,3,107,0,12334,30
dolnośląskie,kłodzki,189669,157,67997,43,t0208,77901,12,1413,31,42358,71
dolnośląskie,legnicki,63542,29,21985,9,t0209,27374,1,268,1,13915,18
dolnośląskie,lubański,48240,78,14731,6,t0210,20352,10,110,0,13047,62
dolnośląskie,lubiński,176673,63,66770,8,t0211,73600,8,999,0,35304,47
dolnośląskie,lwówecki,63440,61,22801,15,t0212,26479,4,318,0,13842,42
dolnośląskie,milicki,49857,26,18721,5,t0213,20799,1,118,0,10219,20
dolnośląskie,oleśnicki,166991,93,56002,23,t0214,67178,12,531,0,43280,58
dolnośląskie,oławski,58157,4,22863,0,t0215,25882,0,99,0,9313,4
dolnośląskie,polkowicki,61674,16,21199,5,t0216,26976,1,51,0,13448,10
dolnośląskie,strzeliński,54886,36,20040,17,t0217,22629,5,518,0,11699,14
dolnośląskie,średzki,38063,73,12624,18,t0218,14451,3,485,0,10503,52
dolnośląskie,świdnicki,163472,82,55367,24,t0219,64943,10,1240,0,41922,48
dolnośląskie,trzebnicki,90176,28,33301,2,t0220,35406,3,444,0,21025,23
dolnośląskie,wałbrzyski,45681,6,17041,1,t0221,18470,1,259,0,9911,4
dolnośląskie,wołowski,63247,0,22078,0,t0222,27912,0,317,0,12940,0
dolnośląskie,wrocławski,159457,100,57622,33,t0223,63663,9,1227,3,36945,55
dolnośląskie,ząbkowicki,81215,35,29323,11,t0224,34406,3,334,0,17152,21
dolnośląskie,zgorzelecki,95125,27,31683,7,t0225,39078,2,230,0,24134,18
dolnośląskie,złotoryjski,53245,31,18321,6,t0226,22245,6,220,0,12459,19
dolnośląskie,Jelenia Góra,134391,73,49233,13,t0261,53747,2,459,0,30952,58
dolnośląskie,Legnica,135633,106,48579,26,t0262,55934,18,470,0,30650,62
dolnośląskie,Wrocław,1509295,805,551141,129,t0264,631393,89,4789,3,321972,584
dolnośląskie,Wałbrzych,275674,124,106417,30,t0265,122527,18,824,1,45906,75
kujawsko-pomorskie,aleksandrowski,159862,42,66974,8,t0401,73151,7,531,0,19206,27
kujawsko-pomorskie,brodnicki,105932,56,39645,11,t0402,44640,4,1505,0,20142,41
kujawsko-pomorskie,bydgoski,114696,68,42339,15,t0403,46541,2,395,0,25421,51
kujawsko-pomorskie,chełmiński,63072,36,22971,17,t0404,25515,3,44,0,14542,16
kujawsko-pomorskie,golubsko-dobrzyński,48998,11,18730,3,t0405,21281,1,341,0,8646,7
kujawsko-pomorskie,grudziądzki,37558,5,13874,3,t0406,16535,1,24,0,7125,1
kujawsko-pomorskie,inowrocławski,153049,44,56705,12,t0407,62304,2,516,5,33524,25
kujawsko-pomorskie,lipnowski,77319,11,28737,4,t0408,33219,0,345,0,15018,7
kujawsko-pomorskie,mogileński,54750,12,19042,1,t0409,21817,0,196,0,13695,11
kujawsko-pomorskie,nakielski,127463,15,44202,1,t0410,55926,1,494,0,26841,13
