wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,11435,620,1325,33,t00
dolnośląskie,bolesławiecki,16474,387,4817,82,t0201
dolnośląskie,dzierżoniowski,14852,250,4006,41,t0202
dolnośląskie,głogowski,13793,285,3308,56,t0203
dolnośląskie,górowski,5138,91,1350,11,t0204
dolnośląskie,jaworski,8727,50,2454,0,t0205
dolnośląskie,jeleniogórski,13080,286,3590,56,t0206
dolnośląskie,kamiennogórski,6179,71,1802,0,t0207
dolnośląskie,kłodzki,36408,752,10963,197,t0208
dolnośląskie,legnicki,6619,92,1566,0,t0209
dolnośląskie,lubański,6570,174,1841,76,t0210
dolnośląskie,lubiński,29885,662,8182,63,t0211
dolnośląskie,lwówecki,8370,176,2098,18,t0212
dolnośląskie,milicki,8033,209,2345,78,t0213
dolnośląskie,oleśnicki,13315,280,3279,1,t0214
dolnośląskie,oławski,15108,349,4128,119,t0215
dolnośląskie,polkowicki,4193,128,1084,34,t0216
dolnośląskie,strzeliński,8612,331,2479,76,t0217
dolnośląskie,średzki,5913,174,1608,18,t0218
dolnośląskie,świdnicki,22551,707,6488,80,t0219
dolnośląskie,trzebnicki,16638,582,4723,121,t0220
dolnośląskie,wałbrzyski,9366,133,2749,30,t0221
dolnośląskie,wołowski,9008,161,2535,28,t0222
dolnośląskie,wrocławski,19502,634,5028,116,t0223
dolnośląskie,ząbkowicki,13782,214,3965,82,t0224
dolnośląskie,zgorzelecki,14709,298,4813,49,t0225
dolnośląskie,złotoryjski,7221,154,1667,21,t0226
dolnośląskie,Jelenia Góra,20812,552,5398,82,t0261
dolnośląskie,Legnica,16894,277,4798,12,t0262
dolnośląskie,Wrocław,231625,4808,63147,527,t0264
dolnośląskie,Wałbrzych,70069,1517,16542,39,t0265
kujawsko-pomorskie,aleksandrowski,39341,585,10509,16,t0401
kujawsko-pomorskie,brodnicki,13806,447,3516,59,t0402
kujawsko-pomorskie,bydgoski,12397,354,3085,52,t0403
kujawsko-pomorskie,chełmiński,8246,222,1986,42,t0404
kujawsko-pomorskie,golubsko-dobrzyński,6294,216,1610,47,t0405
kujawsko-pomorskie,grudziądzki,3549,173,990,44,t0406
kujawsko-pomorskie,inowrocławski,25856,676,6861,165,t0407
kujawsko-pomorskie,lipnowski,10420,250,2747,44,t0408
kujawsko-pomorskie,mogileński,5428,163,1461,58,t0409
kujawsko-pomorskie,nakielski,8014,147,1835,16,t0410
kujawsko-pomorskie,radziejowski,7766,219,1893,60,t0411
kujawsko-pomorskie,rypiński,7047,136,1725,20,t0412
