wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,303,0,142,0,t00,161,0,0,0,0,0
dolnośląskie,bolesławiecki,83701,402,34899,10,t0201,43214,60,332,2,5256,330
dolnośląskie,dzierżoniowski,80544,350,34293,20,t0202,39293,36,342,0,6616,294
dolnośląskie,głogowski,78361,763,31644,47,t0203,38504,116,165,24,8048,576
dolnośląskie,górowski,30069,177,12655,0,t0204,15433,24,251,12,1730,141
dolnośląskie,jaworski,45597,457,18573,42,t0205,23036,70,33,1,3955,344
dolnośląskie,jeleniogórski,59662,370,24782,19,t0206,29658,70,423,0,4799,281
dolnośląskie,kamiennogórski,37589,224,15912,9,t0207,18207,45,100,0,3370,170
dolnośląskie,kłodzki,150642,991,63440,67,t0208,73250,155,720,3,13232,766
dolnośląskie,legnicki,49787,571,20406,22,t0209,25790,88,296,2,3295,459
dolnośląskie,lubański,35426,298,13499,21,t0210,18830,106,91,0,3006,171
dolnośląskie,lubiński,144379,982,62213,43,t0211,68880,148,1095,0,12191,791
dolnośląskie,lwówecki,48440,436,20507,21,t0212,24149,95,374,1,3410,319
dolnośląskie,milicki,39397,284,17115,19,t0213,19281,39,137,1,2864,225
dolnośląskie,oleśnicki,118881,915,48901,76,t0214,59558,170,653,35,9769,634
dolnośląskie,oławski,49965,137,21976,0,t0215,24886,7,94,0,3009,130
dolnośląskie,polkowicki,47157,258,19217,17,t0216,24947,33,36,1,2957,207
dolnośląskie,strzeliński,42613,260,18333,22,t0217,20969,37,472,4,2839,197
dolnośląskie,średzki,26780,235,11152,11,t0218,12786,30,609,8,2233,186
dolnośląskie,świdnicki,121470,720,50099,46,t0219,59643,69,982,17,10746,588
dolnośląskie,trzebnicki,68598,366,30320,26,t0220,32632,28,289,3,5357,309
dolnośląskie,wałbrzyski,36590,140,15955,22,t0221,17373,7,350,1,2912,110
dolnośląskie,wołowski,49137,206,19907,9,t0222,25348,42,547,0,3335,155
dolnośląskie,wrocławski,118418,770,51453,25,t0223,57253,74,1235,2,8477,669
dolnośląskie,ząbkowicki,65182,282,27252,9,t0224,32036,31,441,0,5453,242
dolnośląskie,zgorzelecki,69661,517,28684,31,t0225,35417,136,435,2,5125,348
dolnośląskie,złotoryjski,41013,397,16563,11,t0226,20492,71,239,1,3719,314
dolnośląskie,Jelenia Góra,107016,763,45581,45,t0261,50167,109,622,0,10646,609
dolnośląskie,Legnica,106086,791,44803,57,t0262,51672,114,499,1,9112,619
dolnośląskie,Wrocław,1207496,5634,514747,282,t0264,590748,659,5463,9,96538,4684
dolnośląskie,Wałbrzych,236149,1127,101829,70,t0265,117680,138,839,5,15801,914
kujawsko-pomorskie,aleksandrowski,143275,650,64589,23,t0401,71098,57,917,8,6671,562
kujawsko-pomorskie,brodnicki,84025,551,36144,32,t0402,41322,98,579,2,5980,419
kujawsko-pomorskie,bydgoski,87739,360,38467,16,t0403,42831,46,411,4,6030,294
kujawsko-pomorskie,chełmiński,48974,198,20819,14,t0404,23675,7,41,1,4439,176
kujawsko-pomorskie,golubsko-dobrzyński,39959,229,17647,6,t0405,20265,44,519,0,1528,179
kujawsko-pomorskie,grudziądzki,29726,116,12728,2,t0406,15429,28,13,0,1556,86
kujawsko-pomorskie,inowrocławski,119569,502,51993,15,t0407,57878,66,776,1,8922,420
kujawsko-pomorskie,lipnowski,60773,177,26205,12,t0408,30823,18,206,0,3539,147
kujawsko-pomorskie,mogileński,39698,253,16702,13,t0409,19628,35,341,0,3027,205
kujawsko-pomorskie,nakielski,97478,332,40138,20,t0410,51089,39,464,0,5787,273
kujawsko-pomorskie,radziejowski,49144,161,21798,2,t0411,24610,9,479,2,2257,148
kujawsko-pomorskie,rypiński,41973,359,17960,18,t0412,20436,66,134,0,3443,275
kujawsko-pomorskie,sępoleński,55018,263,23306,15,t0413,27970,66,56,1,3686,181
kujawsko-pomorskie,świecki,90746,691,38379,26,t0414,45772,107,441,1,6154,557
kujawsko-pomorskie,toruński,80001,298,33208,10,t0415,42162,22,484,0,4147,266
kujawsko-pomorskie,tucholski,43721,73,19028,0,t0416,22407,23,304,1,1982,49
kujawsko-pomorskie,wąbrzeski,32151,54,13648,2,t0417,16471,4,291,0,1741,48
kujawsko-pomorskie,włocławski,73702,388,32795,34,t0418,36133,39,796,2,3978,313
kujawsko-pomorskie,żniński,58464,73,26310,8,t0419,28965,19,288,0,2901,46
kujawsko-pomorskie,Bydgoszcz,512363,3745,212509,201,t0461,248004,395,2139,27,49711,3122
kujawsko-pomorskie,Grudziądz,142684,1104,60259,56,t0462,71259,125,584,2,10582,921
kujawsko-pomorskie,Toruń,238771,1802,95523,88,t0463,113610,185,1085,0,28553,1529
