wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,424,5,1,0,t00
dolnośląskie,bolesławiecki,5294,142,1669,14,t0201
dolnośląskie,dzierżoniowski,4164,281,1119,198,t0202
dolnośląskie,głogowski,3263,90,813,86,t0203
dolnośląskie,górowski,802,72,90,72,t0204
dolnośląskie,jaworski,2119,60,501,48,t0205
dolnośląskie,jeleniogórski,2723,145,515,28,t0206
dolnośląskie,kamiennogórski,1884,48,525,44,t0207
dolnośląskie,kłodzki,11125,381,3208,291,t0208
dolnośląskie,legnicki,705,6,0,0,t0209
dolnośląskie,lubański,1846,107,533,95,t0210
dolnośląskie,lubiński,7841,194,2386,48,t0211
dolnośląskie,lwówecki,2020,50,622,0,t0212
dolnośląskie,milicki,1994,24,461,24,t0213
dolnośląskie,oleśnicki,3460,78,1130,67,t0214
dolnośląskie,oławski,3574,145,1040,47,t0215
dolnośląskie,polkowicki,524,0,0,0,t0216
dolnośląskie,strzeliński,1551,44,114,1,t0217
dolnośląskie,średzki,1029,7,262,1,t0218
dolnośląskie,świdnicki,6542,76,2055,21,t0219
dolnośląskie,trzebnicki,4199,202,1198,197,t0220
dolnośląskie,wałbrzyski,2552,202,781,0,t0221
dolnośląskie,wołowski,1936,6,529,0,t0222
dolnośląskie,wrocławski,2938,60,205,29,t0223
dolnośląskie,ząbkowicki,3658,216,1273,183,t0224
dolnośląskie,zgorzelecki,5659,319,2048,223,t0225
dolnośląskie,złotoryjski,1385,61,427,0,t0226
dolnośląskie,Jelenia Góra,5701,63,2034,60,t0261
dolnośląskie,Legnica,6128,159,2482,30,t0262
dolnośląskie,Wrocław,71220,1043,25977,562,t0264
dolnośląskie,Wałbrzych,13461,692,2985,148,t0265
kujawsko-pomorskie,aleksandrowski,4557,602,1072,284,t0401
kujawsko-pomorskie,brodnicki,2897,92,780,45,t0402
kujawsko-pomorskie,bydgoski,1958,24,260,23,t0403
kujawsko-pomorskie,chełmiński,2008,48,443,36,t0404
kujawsko-pomorskie,golubsko-dobrzyński,1431,6,411,0,t0405
kujawsko-pomorskie,grudziądzki,710,0,85,0,t0406
kujawsko-pomorskie,inowrocławski,6590,183,1864,140,t0407
kujawsko-pomorskie,lipnowski,2401,37,539,29,t0408
kujawsko-pomorskie,mogileński,1380,92,386,87,t0409
kujawsko-pomorskie,nakielski,1632,56,360,15,t0410
kujawsko-pomorskie,radziejowski,2115,51,664,12,t0411
kujawsko-pomorskie,rypiński,1332,18,363,16,t0412
kujawsko-pomorskie,sępoleński,2766,116,771,62,t0413
kujawsko-pomorskie,świecki,3477,73,658,61,t0414
kujawsko-pomorskie,toruński,2247,129,451,68,t0415
kujawsko-pomorskie,tucholski,1546,0,351,0,t0416
kujawsko-pomorskie,wąbrzeski,1357,96,186,22,t0417
kujawsko-pomorskie,włocławski,2293,28,436,26,t0418
kujawsko-pomorskie,żniński,2641,138,814,77,t0419
kujawsko-pomorskie,Bydgoszcz,31655,998,11202,565,t0461
kujawsko-pomorskie,Grudziądz,5330,30,2001,28,t0462
kujawsko-pomorskie,Toruń,13236,509,4578,341,t0463
kujawsko-pomorskie,Włocławek,4937,506,1590,502,t0464
lubelskie,bialski,3159,176,438,60,t0601
lubelskie,biłgorajski,3392,43,715,29,t0602
lubelskie,chełmski,1332,87,89,60,t0603
lubelskie,hrubieszowski,2506,90,538,0,t0604
lubelskie,janowski,2779,204,744,151,t0605
lubelskie,krasnostawski,3189,105,874,82,t0606
lubelskie,kraśnicki,3815,92,872,76,t0607
lubelskie,lubartowski,3556,132,1122,119,t0608
lubelskie,lubelski,4494,256,876,79,t0609
lubelskie,łęczyński,2956,115,695,0,t0610
lubelskie,łukowski,3667,160,867,124,t0611
lubelskie,opolski,2241,91,531,46,t0612
lubelskie,parczewski,2164,34,619,0,t0613
lubelskie,puławski,7487,265,2431,150,t0614
lubelskie,radzyński,2687,149,612,43,t0615
lubelskie,rycki,2398,53,408,28,t0616
lubelskie,świdnicki,2655,150,527,137,t0617
lubelskie,tomaszowski,3547,191,984,166,t0618
lubelskie,włodawski,2290,98,600,0,t0619
lubelskie,zamojski,2937,78,446,65,t0620
lubelskie,Biała Podlaska,5755,439,2230,370,t0661
lubelskie,Chełm,3969,116,1434,98,t0662
lubelskie,Lublin,41224,1369,13461,599,t0663
lubelskie,Zamość,5350,179,1796,57,t0664
lubuskie,gorzowski,1723,38,263,0,t0801
lubuskie,krośnieński,2461,167,589,44,t0802
lubuskie,międzyrzecki,4037,226,1382,192,t0803
lubuskie,nowosolski,4378,108,1300,37,t0804
