wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,131,12,1,0,t00,1,0,1,0,128,12
dolnośląskie,bolesławiecki,116011,34,38577,0,t0201,47221,0,119,0,30094,34
dolnośląskie,dzierżoniowski,117505,46,37590,0,t0202,42458,0,130,0,37327,46
dolnośląskie,głogowski,118220,32,35250,0,t0203,42271,0,176,0,40523,32
dolnośląskie,górowski,40719,11,13959,0,t0204,16469,0,69,0,10222,11
dolnośląskie,jaworski,64846,28,20801,0,t0205,25232,0,45,0,18768,28
dolnośląskie,jeleniogórski,77454,5,26379,0,t0206,31553,0,364,0,19158,5
dolnośląskie,kamiennogórski,53608,22,17241,0,t0207,19559,0,105,0,16703,22
dolnośląskie,kłodzki,205137,24,68195,0,t0208,78075,0,628,0,58239,24
dolnośląskie,legnicki,68202,0,22039,0,t0209,27406,0,178,0,18579,0
dolnośląskie,lubański,53828,8,14862,0,t0210,20572,0,102,0,18292,8
dolnośląskie,lubiński,191084,36,67072,0,t0211,73861,0,678,0,49473,36
dolnośląskie,lwówecki,68628,0,22918,0,t0212,26550,0,226,0,18934,0
dolnośląskie,milicki,53398,3,18788,0,t0213,20840,0,105,0,13665,3
dolnośląskie,oleśnicki,183276,28,56534,0,t0214,67612,1,443,0,58687,27
dolnośląskie,oławski,61338,26,22896,0,t0215,25921,0,97,0,12424,26
dolnośląskie,polkowicki,66649,0,21293,0,t0216,27058,0,57,0,18241,0
dolnośląskie,strzeliński,59378,0,20140,0,t0217,22693,0,382,0,16163,0
dolnośląskie,średzki,42140,0,12725,0,t0218,14549,0,468,0,14398,0
dolnośląskie,świdnicki,182312,40,55773,0,t0219,65250,0,1078,0,60211,40
dolnośląskie,trzebnicki,99072,33,33473,0,t0220,35535,0,405,0,29659,33
dolnośląskie,wałbrzyski,50069,5,17099,0,t0221,18513,0,262,0,14195,5
dolnośląskie,wołowski,67744,13,22206,0,t0222,27980,0,232,0,17326,13
dolnośląskie,wrocławski,177619,10,58401,0,t0223,64361,0,950,0,53907,10
dolnośląskie,ząbkowicki,87303,3,29492,0,t0224,34558,0,260,0,22993,3
dolnośląskie,zgorzelecki,104510,31,31899,0,t0225,39211,0,192,0,33208,31
dolnośląskie,złotoryjski,57698,0,18415,0,t0226,22317,0,131,0,16835,0
dolnośląskie,Jelenia Góra,151083,12,49488,0,t0261,54024,0,422,0,47149,12
dolnośląskie,Legnica,152283,46,48885,0,t0262,56210,0,348,0,46840,46
