wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,1,0,1,0,t00
dolnośląskie,bolesławiecki,1885,210,94,93,t0201
dolnośląskie,dzierżoniowski,1243,116,26,26,t0202
dolnośląskie,głogowski,1111,86,46,46,t0203
dolnośląskie,górowski,111,23,0,0,t0204
dolnośląskie,jaworski,706,154,52,52,t0205
dolnośląskie,jeleniogórski,574,48,0,0,t0206
dolnośląskie,kamiennogórski,862,65,42,42,t0207
dolnośląskie,kłodzki,4039,437,251,176,t0208
dolnośląskie,legnicki,18,18,0,0,t0209
dolnośląskie,lubański,664,36,0,0,t0210
dolnośląskie,lubiński,2678,260,121,121,t0211
dolnośląskie,lwówecki,786,78,111,34,t0212
dolnośląskie,milicki,608,76,22,22,t0213
dolnośląskie,oleśnicki,1163,34,78,0,t0214
dolnośląskie,oławski,1130,78,24,24,t0215
dolnośląskie,polkowicki,6,6,0,0,t0216
dolnośląskie,strzeliński,547,41,21,21,t0217
dolnośląskie,średzki,89,0,0,0,t0218
dolnośląskie,świdnicki,2462,237,449,196,t0219
dolnośląskie,trzebnicki,1471,107,33,33,t0220
dolnośląskie,wałbrzyski,805,29,0,0,t0221
dolnośląskie,wołowski,578,67,0,0,t0222
dolnośląskie,wrocławski,575,148,0,0,t0223
dolnośląskie,ząbkowicki,1516,105,196,52,t0224
dolnośląskie,zgorzelecki,2699,210,634,178,t0225
dolnośląskie,złotoryjski,446,24,0,0,t0226
dolnośląskie,Jelenia Góra,2315,161,168,97,t0261
dolnośląskie,Legnica,2807,127,361,73,t0262
dolnośląskie,Wrocław,31046,2579,4094,1673,t0264
dolnośląskie,Wałbrzych,3977,491,761,169,t0265
kujawsko-pomorskie,aleksandrowski,1407,124,195,48,t0401
kujawsko-pomorskie,brodnicki,963,102,121,48,t0402
kujawsko-pomorskie,bydgoski,269,6,0,0,t0403
kujawsko-pomorskie,chełmiński,640,40,72,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,563,150,143,143,t0405
kujawsko-pomorskie,grudziądzki,110,25,15,15,t0406
kujawsko-pomorskie,inowrocławski,2236,58,224,0,t0407
kujawsko-pomorskie,lipnowski,896,39,164,6,t0408
kujawsko-pomorskie,mogileński,530,47,60,4,t0409
