wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
lubelskie,tomaszowski,80838,25,29642,7,t0618,35040,0,292,0,15864,18
lubelskie,włodawski,48665,0,18150,0,t0619,20998,0,161,0,9356,0
lubelskie,zamojski,70812,65,27244,17,t0620,28765,14,322,26,14481,8
lubelskie,Biała Podlaska,102636,59,38888,20,t0661,44961,11,165,0,18622,28
lubelskie,Chełm,96159,0,34146,0,t0662,41585,0,174,0,20254,0
lubelskie,Lublin,642016,280,232733,81,t0663,279749,37,2785,1,126749,161
lubelskie,Zamość,129099,55,48637,23,t0664,55555,8,238,0,24669,24
lubuskie,gorzowski,44300,0,15990,0,t0801,18252,0,329,0,9729,0
lubuskie,krośnieński,73336,12,27124,1,t0802,31831,1,58,0,14323,10
lubuskie,międzyrzecki,93560,52,34905,17,t0803,40604,3,764,0,17287,32
lubuskie,nowosolski,135470,243,46774,39,t0804,59719,35,448,0,28529,169
lubuskie,słubicki,60263,28,21780,9,t0805,25821,0,100,0,12562,19
lubuskie,strzelecko-drezdenecki,73245,0,25961,0,t0806,33508,0,176,0,13600,0
lubuskie,sulęciński,47653,0,16325,0,t0807,21371,0,291,0,9666,0
lubuskie,świebodziński,78148,278,28565,140,t0808,33987,27,92,0,15504,111
lubuskie,zielonogórski,122459,0,45873,0,t0809,54357,0,826,0,21403,0
lubuskie,żagański,105565,27,36076,10,t0810,44783,1,629,0,24077,16
lubuskie,żarski,143181,155,52655,29,t0811,61518,33,230,0,28778,93
lubuskie,wschowski,41041,95,15080,46,t0812,17193,8,185,0,8583,41
lubuskie,Gorzów Wielkopolski,236612,139,82063,37,t0861,106158,12,617,3,47774,87
lubuskie,Zielona Góra,226803,77,82651,17,t0862,92895,8,505,0,50752,52
łódzkie,bełchatowski,110754,194,38742,39,t1001,46822,21,411,0,24779,134
łódzkie,kutnowski,130634,27,49205,18,t1002,53179,3,760,0,27490,6
łódzkie,łaski,50142,0,19161,0,t1003,21103,0,118,0,9760,0
łódzkie,łęczycki,73782,29,27217,2,t1004,32229,1,506,2,13830,24
łódzkie,łowicki,121987,0,47874,0,t1005,52460,0,454,0,21199,0
łódzkie,łódzki wschodni,62163,24,20189,7,t1006,24487,7,358,0,17129,10
łódzkie,opoczyński,85523,21,31078,9,t1007,37935,1,439,0,16071,11
łódzkie,pabianicki,166189,49,59219,16,t1008,65980,1,521,0,40469,32
łódzkie,pajęczański,41487,0,15000,0,t1009,18069,0,74,0,8344,0
łódzkie,piotrkowski,72497,74,26835,25,t1010,31145,7,431,0,14086,42
łódzkie,poddębicki,51993,15,19779,0,t1011,21897,1,437,0,9880,14
łódzkie,radomszczański,128704,137,47232,59,t1012,53419,17,568,0,27485,61
łódzkie,rawski,42733,0,15503,0,t1013,18270,0,411,0,8549,0
łódzkie,sieradzki,144171,100,52408,45,t1014,62651,8,768,0,28344,47
łódzkie,skierniewicki,31569,15,12467,6,t1015,14087,1,285,0,4730,8
łódzkie,tomaszowski,149138,12,56375,7,t1016,64369,4,543,0,27851,1
łódzkie,wieluński,119542,48,46040,18,t1017,51641,3,764,0,21097,27
łódzkie,wieruszowski,47555,21,17000,2,t1018,20622,1,152,0,9781,18
łódzkie,zduńskowolski,73558,41,26257,9,t1019,30705,17,137,0,16459,15
łódzkie,zgierski,195325,81,69973,6,t1020,80250,11,634,6,44468,58
łódzkie,brzeziński,47264,31,18585,5,t1021,20302,1,104,0,8273,25
łódzkie,Łódź,1292826,685,475926,170,t1061,541604,63,7867,0,267429,452
łódzkie,Piotrków Trybunalski,123356,66,43694,14,t1062,51328,7,605,0,27729,45
łódzkie,Skierniewice,104444,0,38858,0,t1063,44568,0,896,0,20122,0
małopolskie,bocheński,109500,129,39911,32,t1201,49088,16,213,0,20288,81
małopolskie,brzeski,95425,50,35915,15,t1202,41796,1,123,0,17591,34
małopolskie,chrzanowski,162006,74,57318,10,t1203,67788,4,422,0,36478,60
małopolskie,dąbrowski,59359,14,22872,2,t1204,25980,0,192,0,10315,12
małopolskie,gorlicki,118051,0,45406,0,t1205,51624,0,213,0,20808,0
małopolskie,krakowski,237837,195,86179,50,t1206,98014,6,1951,1,51693,138
małopolskie,limanowski,124330,72,47056,24,t1207,56726,9,325,0,20223,39
małopolskie,miechowski,79092,115,31752,46,t1208,34510,13,101,0,12729,56
małopolskie,myślenicki,144172,159,55501,63,t1209,63784,18,551,1,24336,77
małopolskie,nowosądecki,175059,198,64810,39,t1210,80575,9,329,0,29345,150
małopolskie,nowotarski,178468,177,67239,50,t1211,81265,15,532,0,29432,112
małopolskie,olkuski,154703,151,56809,67,t1212,65724,18,360,1,31810,65
małopolskie,oświęcimski,178566,282,64157,90,t1213,72176,25,741,1,41492,166
małopolskie,proszowicki,59996,23,23576,2,t1214,25892,1,179,0,10349,20
małopolskie,suski,97751,10,37050,2,t1215,41072,2,337,0,19292,6
małopolskie,tarnowski,131014,192,49812,50,t1216,57115,20,569,0,23518,122
małopolskie,tatrzański,49835,0,19022,0,t1217,21505,0,176,0,9132,0
małopolskie,wadowicki,175828,170,61841,51,t1218,76032,15,364,0,37591,104
małopolskie,wielicki,167446,234,58746,72,t1219,71575,31,460,0,36665,131
małopolskie,Kraków,1663293,1511,622237,471,t1261,695851,145,4902,38,340303,857
małopolskie,Nowy Sącz,95175,302,34240,58,t1262,39243,27,169,27,21523,190
małopolskie,Tarnów,171117,192,60302,67,t1263,72940,18,340,1,37535,106
mazowieckie,białobrzeski,49156,33,19390,9,t1401,21663,2,464,0,7639,22
mazowieckie,ciechanowski,113038,57,42739,16,t1402,47889,9,743,0,21667,32
mazowieckie,garwoliński,119306,223,46174,93,t1403,50613,20,244,0,22275,110
mazowieckie,gostyniński,40472,181,15470,81,t1404,16417,11,207,0,8378,89
