wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt,dawka_1_ogolem,dawka_1_dziennie,dawka_3_ogolem,dawka_3_dziennie,dawka_przypominajaca_ogolem,dawka_przypominajaca_dziennie
woj_puste,pow_puste,169,0,69,0,t00,100,0,0,0,0,0
dolnośląskie,bolesławiecki,89208,387,35395,1,t0201,44293,47,160,0,9360,339
dolnośląskie,dzierżoniowski,86647,197,34686,52,t0202,39953,26,251,0,11757,119
dolnośląskie,głogowski,86159,621,32165,60,t0203,39454,122,170,4,14370,435
dolnośląskie,górowski,32126,256,12883,57,t0204,15672,19,381,0,3190,180
dolnośląskie,jaworski,49374,26,18833,1,t0205,23644,6,32,0,6865,19
dolnośląskie,jeleniogórski,63420,0,24986,0,t0206,30236,0,390,0,7808,0
dolnośląskie,kamiennogórski,40498,113,16074,0,t0207,18489,10,100,0,5835,103
dolnośląskie,kłodzki,161150,487,64114,31,t0208,74453,65,767,0,21816,391
dolnośląskie,legnicki,54098,294,20649,18,t0209,26409,35,240,0,6800,241
dolnośląskie,lubański,38439,210,13704,4,t0210,19268,2,95,0,5372,204
dolnośląskie,lubiński,154229,189,62848,22,t0211,70229,68,961,0,20191,99
dolnośląskie,lwówecki,52636,413,20825,5,t0212,24895,142,326,0,6590,266
dolnośląskie,milicki,41922,106,17286,6,t0213,19671,12,92,1,4873,87
dolnośląskie,oleśnicki,129949,1164,49917,172,t0214,61380,166,811,0,17841,826
dolnośląskie,oławski,51991,0,22092,0,t0215,25136,0,97,0,4666,0
dolnośląskie,polkowicki,51717,174,19470,49,t0216,25598,81,42,1,6607,43
dolnośląskie,strzeliński,45419,0,18536,0,t0217,21274,0,638,0,4971,0
dolnośląskie,średzki,29798,282,11332,23,t0218,13319,83,712,1,4435,175
dolnośląskie,świdnicki,131957,981,50837,78,t0219,60829,134,885,1,19406,768
dolnośląskie,trzebnicki,73431,357,30636,36,t0220,33199,52,390,0,9206,269
dolnośląskie,wałbrzyski,38803,0,16054,0,t0221,17538,0,252,0,4959,0
dolnośląskie,wołowski,52545,89,20154,8,t0222,25897,49,429,0,6065,32
dolnośląskie,wrocławski,128894,850,51933,35,t0223,58741,278,1079,3,17141,534
dolnośląskie,ząbkowicki,69952,183,27588,24,t0224,32680,20,387,0,9297,139
dolnośląskie,zgorzelecki,75124,99,29000,18,t0225,36443,40,285,0,9396,41
dolnośląskie,złotoryjski,44337,38,16774,2,t0226,20900,4,216,0,6447,32
dolnośląskie,Jelenia Góra,114948,463,46116,35,t0261,51310,199,451,0,17071,229
dolnośląskie,Legnica,113050,378,45302,18,t0262,52682,73,438,0,14628,287
dolnośląskie,Wrocław,1285453,3433,519012,210,t0264,600378,962,4843,48,161220,2213
dolnośląskie,Wałbrzych,247041,417,102516,61,t0265,118862,78,807,0,24856,278
kujawsko-pomorskie,aleksandrowski,147496,16,64830,0,t0401,71561,8,501,0,10604,8
kujawsko-pomorskie,brodnicki,89629,38,36546,4,t0402,42195,10,697,0,10191,24
kujawsko-pomorskie,bydgoski,94523,533,38858,50,t0403,43692,88,400,0,11573,395
kujawsko-pomorskie,chełmiński,52977,136,21102,17,t0404,24063,6,41,0,7771,113
kujawsko-pomorskie,golubsko-dobrzyński,41745,0,17755,0,t0405,20472,0,346,0,3172,0
kujawsko-pomorskie,grudziądzki,31765,0,12864,0,t0406,15720,0,130,0,3051,0
kujawsko-pomorskie,inowrocławski,127516,382,52404,31,t0407,58699,66,483,1,15930,284
kujawsko-pomorskie,lipnowski,64877,80,26487,24,t0408,31422,10,334,1,6634,45
kujawsko-pomorskie,mogileński,43387,98,17136,25,t0409,20173,13,315,0,5763,60
kujawsko-pomorskie,nakielski,106006,931,40665,118,t0410,52576,269,566,88,12199,456
kujawsko-pomorskie,radziejowski,51632,0,22012,0,t0411,24847,0,666,0,4107,0
kujawsko-pomorskie,rypiński,44838,78,18150,1,t0412,20842,11,157,0,5689,66
kujawsko-pomorskie,sępoleński,58010,0,23446,0,t0413,28477,0,54,0,6033,0
kujawsko-pomorskie,świecki,98692,784,38905,47,t0414,46926,100,465,0,12396,637
kujawsko-pomorskie,toruński,84151,23,33502,7,t0415,42627,5,419,0,7603,11
kujawsko-pomorskie,tucholski,47060,384,19201,30,t0416,22878,90,198,4,4783,260
kujawsko-pomorskie,wąbrzeski,34180,0,13824,0,t0417,16701,0,188,0,3467,0
kujawsko-pomorskie,włocławski,78285,251,33182,31,t0418,36707,28,241,0,8155,192
kujawsko-pomorskie,żniński,61877,458,26533,21,t0419,29358,39,313,3,5673,395
kujawsko-pomorskie,Bydgoszcz,555504,3336,214673,248,t0461,253635,832,1508,2,85688,2254
kujawsko-pomorskie,Grudziądz,152193,164,60857,0,t0462,72428,22,571,0,18337,142
kujawsko-pomorskie,Toruń,261977,1916,96906,156,t0463,117063,827,1003,2,47005,931
kujawsko-pomorskie,Włocławek,126424,398,46195,41,t0464,59828,121,1173,0,19228,236
lubelskie,bialski,77407,0,30762,0,t0601,37189,0,624,0,8832,0
lubelskie,biłgorajski,69662,94,28212,7,t0602,32210,16,253,0,8987,71
lubelskie,chełmski,45468,34,18774,7,t0603,21182,13,373,0,5139,14
lubelskie,hrubieszowski,57288,0,22646,0,t0604,27181,0,1066,0,6395,0
lubelskie,janowski,38328,0,16044,0,t0605,18398,0,527,0,3359,0
lubelskie,krasnostawski,52995,174,20863,9,t0606,24706,20,542,2,6884,143
lubelskie,kraśnicki,85218,295,34874,24,t0607,39798,42,412,0,10134,229
lubelskie,lubartowski,71177,116,29085,20,t0608,33431,15,1413,0,7248,81
lubelskie,lubelski,107692,376,42759,64,t0609,51550,67,867,3,12516,242
