wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
dolnośląskie,bolesławiecki,57949,795,23587,622,t0201
dolnośląskie,dzierżoniowski,52922,560,21449,420,t0202
dolnośląskie,głogowski,48129,484,18265,271,t0203
dolnośląskie,górowski,21488,91,8486,81,t0204
dolnośląskie,jaworski,32237,343,13158,310,t0205
dolnośląskie,jeleniogórski,41878,198,17994,183,t0206
dolnośląskie,kamiennogórski,24359,285,10165,237,t0207
dolnośląskie,kłodzki,99893,1369,41921,892,t0208
dolnośląskie,legnicki,32972,447,12335,396,t0209
dolnośląskie,lubański,21320,432,8200,392,t0210
dolnośląskie,lubiński,107191,843,48798,726,t0211
dolnośląskie,lwówecki,30681,398,12028,326,t0212
dolnośląskie,milicki,26560,306,11133,204,t0213
dolnośląskie,oleśnicki,66540,685,24533,474,t0214
dolnośląskie,oławski,39061,435,17479,428,t0215
dolnośląskie,polkowicki,33200,163,12666,137,t0216
dolnośląskie,strzeliński,28986,403,11867,282,t0217
dolnośląskie,średzki,17915,255,7897,216,t0218
dolnośląskie,świdnicki,76037,1029,29260,628,t0219
dolnośląskie,trzebnicki,47089,450,19668,362,t0220
dolnośląskie,wałbrzyski,26908,82,11903,76,t0221
dolnośląskie,wołowski,34070,452,14121,348,t0222
dolnośląskie,wrocławski,81061,341,32654,289,t0223
dolnośląskie,ząbkowicki,44276,393,18833,288,t0224
dolnośląskie,zgorzelecki,45167,618,18915,446,t0225
dolnośląskie,złotoryjski,27516,312,11013,194,t0226
dolnośląskie,Jelenia Góra,71008,647,29994,519,t0261
dolnośląskie,Legnica,72502,897,30876,655,t0262
dolnośląskie,Wrocław,873123,7849,373914,6019,t0264
dolnośląskie,Wałbrzych,179930,997,78552,751,t0265
kujawsko-pomorskie,aleksandrowski,116188,1006,52994,832,t0401
kujawsko-pomorskie,brodnicki,52735,678,20682,542,t0402
kujawsko-pomorskie,bydgoski,59748,926,23943,843,t0403
kujawsko-pomorskie,chełmiński,30861,357,12387,335,t0404
kujawsko-pomorskie,golubsko-dobrzyński,26385,360,9840,258,t0405
kujawsko-pomorskie,grudziądzki,19528,540,7559,448,t0406
kujawsko-pomorskie,inowrocławski,86867,783,37357,574,t0407
kujawsko-pomorskie,lipnowski,40611,326,16628,287,t0408
kujawsko-pomorskie,mogileński,21173,309,8188,177,t0409
kujawsko-pomorskie,nakielski,60999,631,22991,478,t0410
kujawsko-pomorskie,radziejowski,35517,680,14042,493,t0411
kujawsko-pomorskie,rypiński,25909,246,10017,157,t0412
kujawsko-pomorskie,sępoleński,39656,729,16838,407,t0413
kujawsko-pomorskie,świecki,58394,594,23628,546,t0414
kujawsko-pomorskie,toruński,54898,510,19783,424,t0415
kujawsko-pomorskie,tucholski,29286,544,11210,430,t0416
kujawsko-pomorskie,wąbrzeski,20765,149,8104,117,t0417
kujawsko-pomorskie,włocławski,48620,959,19670,798,t0418
kujawsko-pomorskie,żniński,39408,574,15137,444,t0419
kujawsko-pomorskie,Bydgoszcz,345704,3991,143632,3367,t0461
kujawsko-pomorskie,Grudziądz,96689,884,39001,627,t0462
kujawsko-pomorskie,Toruń,141483,1806,54200,1034,t0463
kujawsko-pomorskie,Włocławek,70080,773,26826,558,t0464
lubelskie,bialski,49227,454,20489,413,t0601
lubelskie,biłgorajski,42825,414,18451,344,t0602
lubelskie,chełmski,28788,479,11823,408,t0603
lubelskie,hrubieszowski,34644,495,14253,396,t0604
lubelskie,janowski,23509,205,9808,150,t0605
lubelskie,krasnostawski,33841,310,14386,230,t0606
lubelskie,kraśnicki,56177,784,24947,682,t0607
lubelskie,lubartowski,44189,298,18450,237,t0608
lubelskie,lubelski,68484,672,28996,526,t0609
lubelskie,łęczyński,33134,299,14168,162,t0610
lubelskie,łukowski,43442,386,18600,294,t0611
lubelskie,opolski,34995,205,14561,113,t0612
lubelskie,parczewski,23634,130,10341,108,t0613
lubelskie,puławski,78115,709,33457,556,t0614
lubelskie,radzyński,23918,243,9986,231,t0615
lubelskie,rycki,43728,449,18896,395,t0616
lubelskie,świdnicki,36253,467,15791,389,t0617
lubelskie,tomaszowski,44308,449,19024,301,t0618
lubelskie,włodawski,29892,453,13016,339,t0619
lubelskie,zamojski,38943,433,16998,326,t0620
lubelskie,Biała Podlaska,57181,379,25028,305,t0661
lubelskie,Chełm,49775,403,20893,252,t0662
lubelskie,Lublin,369628,3038,162735,2552,t0663
lubelskie,Zamość,73255,685,32293,578,t0664
lubuskie,gorzowski,24063,259,10242,223,t0801
lubuskie,krośnieński,41329,449,17949,356,t0802
lubuskie,międzyrzecki,55909,555,24354,465,t0803
lubuskie,nowosolski,72303,714,30963,614,t0804
lubuskie,słubicki,29382,301,11789,179,t0805
lubuskie,strzelecko-drezdenecki,39282,308,16520,290,t0806
lubuskie,sulęciński,21583,311,8544,211,t0807
lubuskie,świebodziński,45430,125,18901,66,t0808
lubuskie,zielonogórski,72162,436,30535,323,t0809
lubuskie,żagański,55134,741,23338,565,t0810
lubuskie,żarski,83351,689,36813,460,t0811
lubuskie,wschowski,19394,95,7852,85,t0812
lubuskie,Gorzów Wielkopolski,116760,1284,51605,974,t0861
lubuskie,Zielona Góra,122806,1581,53070,1137,t0862
łódzkie,bełchatowski,54519,836,21641,494,t1001
łódzkie,kutnowski,68079,1014,28508,828,t1002
łódzkie,łaski,26911,215,10873,160,t1003
łódzkie,łęczycki,38654,551,15650,407,t1004
łódzkie,łowicki,75752,852,33653,705,t1005
łódzkie,łódzki wschodni,28599,384,10989,337,t1006
łódzkie,opoczyński,44922,466,18309,357,t1007
łódzkie,pabianicki,83724,917,34337,603,t1008
łódzkie,pajęczański,24993,82,10504,53,t1009
łódzkie,piotrkowski,36602,457,14105,434,t1010
łódzkie,poddębicki,29387,352,12175,272,t1011
łódzkie,radomszczański,65812,440,27709,395,t1012
łódzkie,rawski,21581,127,8556,127,t1013
łódzkie,sieradzki,74822,760,29787,527,t1014
łódzkie,skierniewicki,18725,54,7812,7,t1015
łódzkie,tomaszowski,82811,688,35513,505,t1016
łódzkie,wieluński,73543,1154,32534,1027,t1017
łódzkie,wieruszowski,25604,147,10408,77,t1018
łódzkie,zduńskowolski,36670,557,14064,448,t1019
łódzkie,zgierski,103213,1383,42594,1057,t1020
łódzkie,brzeziński,27580,172,11728,121,t1021
łódzkie,Łódź,750165,6097,324519,4895,t1061
łódzkie,Piotrków Trybunalski,59002,560,23444,233,t1062
łódzkie,Skierniewice,58162,493,24755,411,t1063
małopolskie,bocheński,56200,386,20939,273,t1201
małopolskie,brzeski,48581,535,18997,410,t1202
małopolskie,chrzanowski,87445,1175,34865,1040,t1203
małopolskie,dąbrowski,31652,320,13030,263,t1204
małopolskie,gorlicki,68210,877,30095,634,t1205
małopolskie,krakowski,116483,1241,45896,839,t1206
małopolskie,limanowski,65839,580,27104,366,t1207
małopolskie,miechowski,49076,283,20703,254,t1208
małopolskie,myślenicki,73396,975,28586,630,t1209
małopolskie,nowosądecki,98524,1013,38881,712,t1210
małopolskie,nowotarski,99234,1205,40202,859,t1211
małopolskie,olkuski,88822,1214,36941,1072,t1212
małopolskie,oświęcimski,85208,1075,31285,805,t1213
małopolskie,proszowicki,33607,728,14527,617,t1214
małopolskie,suski,51024,897,20542,612,t1215
małopolskie,tarnowski,72966,360,29811,237,t1216
małopolskie,tatrzański,26867,267,11330,223,t1217
małopolskie,wadowicki,84848,582,32148,403,t1218
małopolskie,wielicki,78142,855,28859,683,t1219
małopolskie,Kraków,948216,7854,394049,5913,t1261
małopolskie,Nowy Sącz,48035,1011,19518,876,t1262
małopolskie,Tarnów,82334,575,33240,391,t1263
mazowieckie,białobrzeski,27144,303,11183,241,t1401
mazowieckie,ciechanowski,61034,632,25635,498,t1402
mazowieckie,garwoliński,61108,697,24055,419,t1403
mazowieckie,gostyniński,21180,151,8640,121,t1404
mazowieckie,grodziski,73710,1059,29193,527,t1405
mazowieckie,grójecki,81010,727,33441,456,t1406
mazowieckie,kozienicki,31989,332,12963,242,t1407
mazowieckie,legionowski,55472,575,19630,355,t1408
mazowieckie,lipski,20364,313,8703,199,t1409
mazowieckie,łosicki,14102,123,5974,89,t1410
mazowieckie,makowski,31528,105,13202,81,t1411
mazowieckie,miński,97786,818,37664,663,t1412
mazowieckie,mławski,42307,613,16694,413,t1413
mazowieckie,nowodworski,83574,1155,35540,864,t1414
mazowieckie,ostrołęcki,39114,297,16353,190,t1415
mazowieckie,ostrowski,38424,202,16557,111,t1416
mazowieckie,otwocki,68156,897,27412,597,t1417
mazowieckie,piaseczyński,190049,1491,77123,1136,t1418
mazowieckie,płocki,61412,898,23743,609,t1419
mazowieckie,płoński,62695,780,25533,577,t1420
mazowieckie,pruszkowski,97432,637,37538,286,t1421
mazowieckie,przasnyski,39894,373,17315,296,t1422
mazowieckie,przysuski,20400,294,8548,227,t1423
mazowieckie,pułtuski,34625,246,14053,154,t1424
mazowieckie,radomski,47035,277,19074,143,t1425
mazowieckie,siedlecki,24347,121,10472,95,t1426
mazowieckie,sierpecki,32888,634,13152,356,t1427
mazowieckie,sochaczewski,64312,587,26184,479,t1428
mazowieckie,sokołowski,33800,240,14352,154,t1429
