wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,4,0,0,0,t00
dolnośląskie,bolesławiecki,77882,0,34262,0,t0201
dolnośląskie,dzierżoniowski,74053,0,33728,0,t0202
dolnośląskie,głogowski,70080,0,31019,0,t0203
dolnośląskie,górowski,27965,0,12493,0,t0204
dolnośląskie,jaworski,41418,0,18262,0,t0205
dolnośląskie,jeleniogórski,54436,0,24454,0,t0206
dolnośląskie,kamiennogórski,34213,0,15638,0,t0207
dolnośląskie,kłodzki,138121,0,62441,0,t0208
dolnośląskie,legnicki,46247,0,20181,0,t0209
dolnośląskie,lubański,32310,0,13228,0,t0210
dolnośląskie,lubiński,131995,0,61453,0,t0211
dolnośląskie,lwówecki,44738,0,20242,0,t0212
dolnośląskie,milicki,36661,0,16893,0,t0213
dolnośląskie,oleśnicki,106815,0,47674,0,t0214
dolnośląskie,oławski,47500,0,21796,0,t0215
dolnośląskie,polkowicki,43868,0,18949,0,t0216
dolnośląskie,strzeliński,39690,0,18047,0,t0217
dolnośląskie,średzki,23790,0,10911,0,t0218
dolnośląskie,świdnicki,110714,0,49239,0,t0219
dolnośląskie,trzebnicki,63651,0,29920,0,t0220
dolnośląskie,wałbrzyski,33939,0,15635,0,t0221
dolnośląskie,wołowski,45045,0,19617,0,t0222
dolnośląskie,wrocławski,109347,0,50807,0,t0223
dolnośląskie,ząbkowicki,60032,0,26964,0,t0224
dolnośląskie,zgorzelecki,64332,0,28227,0,t0225
dolnośląskie,złotoryjski,36980,0,16318,0,t0226
dolnośląskie,Jelenia Góra,96638,0,44924,0,t0261
dolnośląskie,Legnica,96699,0,44037,0,t0262
dolnośląskie,Wrocław,1119803,188,507986,18,t0264
dolnośląskie,Wałbrzych,222599,0,100813,0,t0265
kujawsko-pomorskie,aleksandrowski,137558,0,64227,0,t0401
kujawsko-pomorskie,brodnicki,77323,0,35547,0,t0402
kujawsko-pomorskie,bydgoski,81556,0,37933,0,t0403
kujawsko-pomorskie,chełmiński,44793,0,20436,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,38149,0,17407,0,t0405
kujawsko-pomorskie,grudziądzki,28006,0,12590,0,t0406
kujawsko-pomorskie,inowrocławski,111163,0,51460,0,t0407
kujawsko-pomorskie,lipnowski,56950,0,25805,0,t0408
kujawsko-pomorskie,mogileński,35572,0,16288,0,t0409
kujawsko-pomorskie,nakielski,90335,0,39589,0,t0410
kujawsko-pomorskie,radziejowski,46691,0,21549,0,t0411
kujawsko-pomorskie,rypiński,38400,0,17717,0,t0412
kujawsko-pomorskie,sępoleński,51889,0,23102,0,t0413
kujawsko-pomorskie,świecki,84070,0,37806,0,t0414
kujawsko-pomorskie,toruński,75803,0,32793,0,t0415
kujawsko-pomorskie,tucholski,41721,0,18840,0,t0416
kujawsko-pomorskie,wąbrzeski,30315,0,13465,0,t0417
kujawsko-pomorskie,włocławski,69036,0,32358,0,t0418
kujawsko-pomorskie,żniński,55615,0,26026,0,t0419
kujawsko-pomorskie,Bydgoszcz,465104,3,209791,0,t0461
kujawsko-pomorskie,Grudziądz,130977,11,59396,6,t0462
kujawsko-pomorskie,Toruń,211131,0,93808,0,t0463
kujawsko-pomorskie,Włocławek,101873,0,44643,0,t0464
lubelskie,bialski,66235,0,29389,0,t0601
lubelskie,biłgorajski,58539,3,26958,0,t0602
lubelskie,chełmski,38763,0,17797,0,t0603
lubelskie,hrubieszowski,48634,0,21720,0,t0604
lubelskie,janowski,33782,0,15370,0,t0605
lubelskie,krasnostawski,44438,0,19901,0,t0606
lubelskie,kraśnicki,72034,0,32953,0,t0607
lubelskie,lubartowski,60028,0,27386,0,t0608
lubelskie,lubelski,91441,0,40513,0,t0609
lubelskie,łęczyński,42969,0,19953,0,t0610
lubelskie,łukowski,61165,0,27983,0,t0611
lubelskie,opolski,49137,0,22033,0,t0612
lubelskie,parczewski,30595,0,13585,0,t0613
lubelskie,puławski,105795,19,48849,0,t0614
lubelskie,radzyński,33316,0,15246,0,t0615
