wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,898,-,-,0.23,6,4,2,1366,0,0,3269,924,2342,3,t00,2024-10-21
dolnośląskie,-,-,38,-,-,0.13,0,0,0,50,0,0,148,38,110,0,t02,2024-10-21
kujawsko-pomorskie,-,-,58,-,-,0.28,0,0,0,90,0,0,230,60,170,0,t04,2024-10-21
lubelskie,-,-,113,-,-,0.54,0,0,0,174,0,0,332,121,211,0,t06,2024-10-21
lubuskie,-,-,17,-,-,0.17,0,0,0,26,0,0,49,17,32,0,t08,2024-10-21
łódzkie,-,-,44,-,-,0.18,1,1,0,78,0,0,140,45,94,1,t10,2024-10-21
małopolskie,-,-,81,-,-,0.24,0,0,0,142,0,0,261,82,179,0,t12,2024-10-21
mazowieckie,-,-,146,-,-,0.27,1,0,1,162,0,0,703,150,553,0,t14,2024-10-21
opolskie,-,-,11,-,-,0.11,0,0,0,12,0,0,63,12,51,0,t16,2024-10-21
podkarpackie,-,-,60,-,-,0.28,0,0,0,122,0,0,190,61,129,0,t18,2024-10-21
podlaskie,-,-,54,-,-,0.46,1,1,0,109,0,0,169,54,115,0,t20,2024-10-21
pomorskie,-,-,31,-,-,0.13,2,1,1,59,0,0,141,32,109,0,t22,2024-10-21
śląskie,-,-,73,-,-,0.16,1,1,0,119,0,0,268,75,193,0,t24,2024-10-21
świętokrzyskie,-,-,49,-,-,0.4,0,0,0,34,0,0,87,51,35,1,t26,2024-10-21
warmińsko-mazurskie,-,-,21,-,-,0.15,0,0,0,62,0,0,106,21,84,1,t28,2024-10-21
wielkopolskie,-,-,46,-,-,0.13,0,0,0,49,0,0,119,47,72,0,t30,2024-10-21
zachodniopomorskie,-,-,43,-,-,0.25,0,0,0,76,0,0,175,43,132,0,t32,2024-10-21
