wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
kujawsko-pomorskie,Włocławek,-,-,15,-,-,1.37,2,0,2,76,24,515,194,18,176,0,t0464
lubelskie,bialski,-,-,9,-,-,0.81,0,0,0,45,14,319,139,9,128,2,t0601
lubelskie,biłgorajski,-,-,6,-,-,0.6,3,0,3,26,8,228,141,6,128,7,t0602
lubelskie,chełmski,-,-,8,-,-,1.03,0,0,0,44,9,314,85,8,77,0,t0603
lubelskie,hrubieszowski,-,-,14,-,-,2.24,1,0,1,28,10,189,65,14,50,1,t0604
lubelskie,janowski,-,-,9,-,-,1.98,0,0,0,17,1,82,76,9,67,0,t0605
lubelskie,krasnostawski,-,-,11,-,-,1.75,0,0,0,51,20,379,86,13,73,0,t0606
lubelskie,kraśnicki,-,-,28,-,-,2.95,2,2,0,53,12,266,202,30,172,0,t0607
lubelskie,lubartowski,-,-,3,-,-,0.34,1,1,0,24,5,148,63,4,59,0,t0608
lubelskie,lubelski,-,-,26,-,-,1.67,1,0,1,84,19,602,215,29,185,1,t0609
lubelskie,łęczyński,-,-,12,-,-,2.09,2,0,2,38,11,216,61,12,49,0,t0610
lubelskie,łukowski,-,-,2,-,-,0.19,1,0,1,23,8,214,76,3,71,2,t0611
lubelskie,opolski,-,-,6,-,-,1.02,1,0,1,19,13,212,73,6,67,0,t0612
lubelskie,parczewski,-,-,12,-,-,3.47,0,0,0,9,3,80,87,13,74,0,t0613
lubelskie,puławski,-,-,12,-,-,1.06,1,1,0,95,24,488,125,13,110,2,t0614
lubelskie,radzyński,-,-,4,-,-,0.68,1,0,1,17,5,163,73,7,66,0,t0615
lubelskie,rycki,-,-,7,-,-,1.25,0,0,0,19,7,239,40,8,32,0,t0616
lubelskie,świdnicki,-,-,19,-,-,2.65,0,0,0,42,11,303,108,24,84,0,t0617
lubelskie,tomaszowski,-,-,19,-,-,2.31,2,0,2,41,8,251,86,21,58,7,t0618
lubelskie,włodawski,-,-,17,-,-,4.45,0,0,0,43,2,229,50,19,30,1,t0619
lubelskie,zamojski,-,-,6,-,-,0.57,3,0,3,34,11,208,116,6,109,1,t0620
lubelskie,Biała Podlaska,-,-,10,-,-,1.75,0,0,0,41,5,180,75,13,62,0,t0661
lubelskie,Chełm,-,-,7,-,-,1.14,3,0,3,32,20,207,59,7,52,0,t0662
lubelskie,Lublin,-,-,90,-,-,2.65,1,0,1,230,65,1442,639,107,524,8,t0663
lubelskie,Zamość,-,-,7,-,-,1.11,1,0,1,34,3,154,93,8,85,0,t0664
lubuskie,gorzowski,-,-,9,-,-,1.25,3,2,1,51,10,457,214,10,203,1,t0801
lubuskie,krośnieński,-,-,3,-,-,0.55,0,0,0,40,16,342,37,3,32,2,t0802
lubuskie,międzyrzecki,-,-,4,-,-,0.7,1,1,0,49,30,277,68,7,60,1,t0803
lubuskie,nowosolski,-,-,7,-,-,0.81,0,0,0,44,4,305,86,11,75,0,t0804
lubuskie,słubicki,-,-,2,-,-,0.43,0,0,0,29,19,327,51,3,47,1,t0805
lubuskie,strzelecko-drezdenecki,-,-,13,-,-,2.66,0,0,0,35,8,284,74,17,57,0,t0806
lubuskie,sulęciński,-,-,0,-,-,0.0,0,0,0,33,7,221,61,14,47,0,t0807
lubuskie,świebodziński,-,-,1,-,-,0.18,0,0,0,46,16,351,69,6,63,0,t0808
lubuskie,zielonogórski,-,-,6,-,-,0.79,0,0,0,37,16,382,83,9,74,0,t0809
lubuskie,żagański,-,-,10,-,-,1.27,0,0,0,45,5,203,85,11,73,1,t0810
lubuskie,żarski,-,-,12,-,-,1.25,0,0,0,47,15,383,86,13,67,6,t0811
lubuskie,wschowski,-,-,1,-,-,0.26,0,0,0,10,1,98,42,2,40,0,t0812
lubuskie,Gorzów Wielkopolski,-,-,12,-,-,0.97,1,1,0,87,10,632,261,18,242,1,t0861
lubuskie,Zielona Góra,-,-,9,-,-,0.64,0,0,0,98,61,709,146,11,133,2,t0862
łódzkie,bełchatowski,-,-,14,-,-,1.24,6,0,6,46,9,313,161,17,142,2,t1001
łódzkie,kutnowski,-,-,1,-,-,0.1,1,1,0,35,12,401,114,1,110,3,t1002
łódzkie,łaski,-,-,3,-,-,0.6,0,0,0,15,2,132,49,3,46,0,t1003
łódzkie,łęczycki,-,-,14,-,-,2.82,0,0,0,38,10,285,71,15,53,3,t1004
łódzkie,łowicki,-,-,12,-,-,1.54,0,0,0,48,7,236,88,13,73,2,t1005
łódzkie,łódzki wschodni,-,-,17,-,-,2.35,1,0,1,65,19,504,118,17,98,3,t1006
łódzkie,opoczyński,-,-,4,-,-,0.53,2,2,0,13,3,121,133,7,123,3,t1007
łódzkie,pabianicki,-,-,9,-,-,0.75,0,0,0,87,17,563,162,9,150,3,t1008
łódzkie,pajęczański,-,-,6,-,-,1.17,0,0,0,9,6,134,81,7,73,1,t1009
łódzkie,piotrkowski,-,-,17,-,-,1.86,0,0,0,37,5,279,146,17,125,4,t1010
łódzkie,poddębicki,-,-,3,-,-,0.73,2,0,2,29,3,166,39,5,32,2,t1011
łódzkie,radomszczański,-,-,6,-,-,0.53,3,0,3,36,17,342,96,9,87,0,t1012
łódzkie,rawski,-,-,1,-,-,0.21,0,0,0,21,4,185,27,1,26,0,t1013
łódzkie,sieradzki,-,-,15,-,-,1.28,0,0,0,49,15,409,193,21,169,3,t1014
łódzkie,skierniewicki,-,-,4,-,-,1.05,0,0,0,16,5,201,54,6,48,0,t1015
łódzkie,tomaszowski,-,-,6,-,-,0.52,0,0,0,56,6,380,109,8,100,1,t1016
łódzkie,wieluński,-,-,3,-,-,0.39,0,0,0,32,4,143,61,3,56,2,t1017
łódzkie,wieruszowski,-,-,2,-,-,0.48,0,0,0,15,2,105,27,3,24,0,t1018
łódzkie,zduńskowolski,-,-,7,-,-,1.06,1,0,1,44,5,268,78,10,68,0,t1019
łódzkie,zgierski,-,-,24,-,-,1.44,0,0,0,114,54,926,278,27,248,3,t1020
łódzkie,brzeziński,-,-,1,-,-,0.32,4,4,0,21,4,129,31,2,28,1,t1021
łódzkie,Łódź,-,-,85,-,-,1.26,4,0,4,452,170,3828,1351,127,1183,41,t1061
łódzkie,Piotrków Trybunalski,-,-,19,-,-,2.61,0,0,0,36,5,268,137,20,115,2,t1062
łódzkie,Skierniewice,-,-,12,-,-,2.5,4,4,0,31,8,192,56,14,41,1,t1063
małopolskie,bocheński,-,-,12,-,-,1.12,2,0,2,16,3,216,161,16,144,1,t1201
małopolskie,brzeski,-,-,3,-,-,0.32,1,0,1,12,7,132,146,5,141,0,t1202
małopolskie,chrzanowski,-,-,10,-,-,0.81,1,1,0,29,9,224,119,12,106,1,t1203
małopolskie,dąbrowski,-,-,4,-,-,0.68,0,0,0,11,5,95,47,4,42,1,t1204
małopolskie,gorlicki,-,-,2,-,-,0.18,0,0,0,20,8,147,145,2,143,0,t1205
małopolskie,krakowski,-,-,27,-,-,0.96,0,0,0,107,22,840,196,30,162,4,t1206
małopolskie,limanowski,-,-,4,-,-,0.3,0,0,0,25,8,186,99,6,90,3,t1207
małopolskie,miechowski,-,-,4,-,-,0.82,0,0,0,25,4,81,59,5,53,1,t1208
małopolskie,myślenicki,-,-,9,-,-,0.7,1,0,1,44,6,291,87,13,70,4,t1209
małopolskie,nowosądecki,-,-,2,-,-,0.09,3,0,3,21,8,220,191,3,185,3,t1210
małopolskie,nowotarski,-,-,8,-,-,0.42,3,0,3,10,4,142,248,12,236,0,t1211
małopolskie,olkuski,-,-,4,-,-,0.36,0,0,0,29,4,196,67,4,63,0,t1212
małopolskie,oświęcimski,-,-,15,-,-,0.98,2,0,2,51,13,445,140,16,123,1,t1213
małopolskie,proszowicki,-,-,5,-,-,1.16,0,0,0,7,1,66,49,5,43,1,t1214
małopolskie,suski,-,-,8,-,-,0.95,1,0,1,18,0,177,50,10,40,0,t1215
małopolskie,tarnowski,-,-,6,-,-,0.3,3,2,1,35,11,303,142,8,134,0,t1216
małopolskie,tatrzański,-,-,0,-,-,0.0,0,0,0,7,2,87,56,1,55,0,t1217
małopolskie,wadowicki,-,-,5,-,-,0.31,0,0,0,50,12,371,76,7,67,2,t1218
małopolskie,wielicki,-,-,9,-,-,0.69,0,0,0,25,5,422,89,10,76,3,t1219
małopolskie,Kraków,-,-,93,-,-,1.19,7,7,0,286,95,3549,715,115,591,9,t1261
małopolskie,Nowy Sącz,-,-,3,-,-,0.36,1,0,1,13,3,102,60,5,55,0,t1262
