Date,Voivodeships,Districts,Terytorial Code,14D Total Deaths / 10000,7D AVR Infections / 10000,(% ) Booster Dose,Date - Booster Dose,Population / 10000
,łódzkie,Brzeziński,1021,,,,,3.0648
,łódzkie,Łódź,1061,,,,,67.2185
,łódzkie,Piotrków Trybunalski,1062,,,,,7.225
,łódzkie,Skierniewice,1063,,,,,4.7655
,małopolskie,Bocheński,1201,,,,,10.6947
,małopolskie,Brzeski,1202,,,,,9.3035
,małopolskie,Chrzanowski,1203,,,,,12.3664
,małopolskie,Dąbrowski,1204,,,,,5.8977
,małopolskie,Gorlicki,1205,,,,,10.8487
,małopolskie,Krakowski,1206,,,,,28.144
,małopolskie,Limanowski,1207,,,,,13.2148
,małopolskie,Miechowski,1208,,,,,4.8464
,małopolskie,Myślenicki,1209,,,,,12.7972
,małopolskie,Nowosądecki,1210,,,,,21.7071
,małopolskie,Nowotarski,1211,,,,,19.1646
,małopolskie,Olkuski,1212,,,,,11.0471
,małopolskie,Oświęcimski,1213,,,,,15.2687
,małopolskie,Proszowicki,1214,,,,,4.3057
,małopolskie,Suski,1215,,,,,8.3761
,małopolskie,Tarnowski,1216,,,,,20.123
,małopolskie,Tatrzański,1217,,,,,6.8049
,małopolskie,Wadowicki,1218,,,,,15.9662
,małopolskie,Wielicki,1219,,,,,13.0651
,małopolskie,Kraków,1261,,,,,77.9966
,małopolskie,Nowy Sącz,1262,,,,,8.3558
,małopolskie,Tarnów,1263,,,,,10.7498
,mazowieckie,Białobrzeski,1401,,,,,3.3329
,mazowieckie,Ciechanowski,1402,,,,,8.8891
,mazowieckie,Garwoliński,1403,,,,,10.8634
,mazowieckie,Gostyniński,1404,,,,,4.4581
,mazowieckie,Grodziski,1405,,,,,9.7462
,mazowieckie,Grójecki,1406,,,,,9.7979
,mazowieckie,Kozienicki,1407,,,,,5.9592
,mazowieckie,Legionowski,1408,,,,,11.9882
,mazowieckie,Lipski,1409,,,,,3.3598
,mazowieckie,Łosicki,1410,,,,,3.0556
,mazowieckie,Makowski,1411,,,,,4.4438
,mazowieckie,Miński,1412,,,,,15.4951
,mazowieckie,Mławski,1413,,,,,7.2269
,mazowieckie,Nowodworski,1414,,,,,7.9265
,mazowieckie,Ostrołęcki,1415,,,,,8.8497
,mazowieckie,Ostrowski,1416,,,,,7.179
,mazowieckie,Otwocki,1417,,,,,12.4283
,mazowieckie,Piaseczyński,1418,,,,,19.0606
,mazowieckie,Płocki,1419,,,,,11.0742
,mazowieckie,Płoński,1420,,,,,8.6671
,mazowieckie,Pruszkowski,1421,,,,,16.6679
,mazowieckie,Przasnyski,1422,,,,,5.2101
,mazowieckie,Przysuski,1423,,,,,4.1126
,mazowieckie,Pułtuski,1424,,,,,5.1741
,mazowieckie,Radomski,1425,,,,,15.219
,mazowieckie,Siedlecki,1426,,,,,8.1385
,mazowieckie,Sierpecki,1427,,,,,5.1534
,mazowieckie,Sochaczewski,1428,,,,,8.4804
,mazowieckie,Sokołowski,1429,,,,,5.3294
,mazowieckie,Szydłowiecki,1430,,,,,3.934
,mazowieckie,Warszawski Zachodni,1432,,,,,12.0144
,mazowieckie,Węgrowski,1433,,,,,6.541
,mazowieckie,Wołomiński,1434,,,,,25.2408
,mazowieckie,Wyszkowski,1435,,,,,7.421
,mazowieckie,Zwoleński,1436,,,,,3.5875
,mazowieckie,Żuromiński,1437,,,,,3.8202
,mazowieckie,Żyrardowski,1438,,,,,7.537
,mazowieckie,Ostrołęka,1461,,,,,5.1656
,mazowieckie,Płock,1462,,,,,11.8268
,mazowieckie,Radom,1463,,,,,20.9296
