wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,12870,1610,14480,3.36,0.42,3.78,151,34,117,16546,13623,73606,84722,15483,68230,1009,t0000,2022-03-15
dolnośląskie,bolesławiecki,29,4,33,3.22,0.44,3.67,0,0,0,26,35,106,240,39,199,2,t0201,2022-03-15
dolnośląskie,dzierżoniowski,8,1,9,0.8,0.1,0.9,0,0,0,21,21,95,100,9,91,0,t0202,2022-03-15
dolnośląskie,głogowski,28,2,30,3.15,0.23,3.38,0,0,0,27,44,188,208,30,176,2,t0203,2022-03-15
dolnośląskie,górowski,17,1,18,4.9,0.29,5.19,0,0,0,30,13,86,77,19,58,0,t0204,2022-03-15
dolnośląskie,jaworski,8,3,11,1.6,0.6,2.2,0,0,0,12,11,86,72,12,60,0,t0205,2022-03-15
dolnośląskie,jeleniogórski,6,2,8,0.95,0.32,1.26,1,0,1,12,17,50,70,9,60,1,t0206,2022-03-15
dolnośląskie,kamiennogórski,2,0,2,0.46,0.0,0.46,0,0,0,4,14,31,59,2,57,0,t0207,2022-03-15
dolnośląskie,kłodzki,22,0,22,1.4,0.0,1.4,0,0,0,26,26,161,204,23,179,2,t0208,2022-03-15
dolnośląskie,legnicki,9,1,10,1.63,0.18,1.81,0,0,0,17,16,101,83,11,70,2,t0209,2022-03-15
dolnośląskie,lubański,13,2,15,2.4,0.37,2.77,1,1,0,21,14,71,105,16,85,4,t0210,2022-03-15
dolnośląskie,lubiński,41,7,48,3.86,0.66,4.52,1,0,1,34,21,207,215,51,159,5,t0211,2022-03-15
dolnośląskie,lwówecki,11,1,12,2.4,0.22,2.62,1,1,0,28,11,81,82,14,68,0,t0212,2022-03-15
dolnośląskie,milicki,10,0,10,2.71,0.0,2.71,0,0,0,18,13,84,93,10,83,0,t0213,2022-03-15
dolnośląskie,oleśnicki,23,1,24,2.14,0.09,2.24,0,0,0,27,19,134,134,25,107,2,t0214,2022-03-15
dolnośląskie,oławski,27,4,31,3.51,0.52,4.03,2,0,2,21,25,142,136,33,101,2,t0215,2022-03-15
dolnośląskie,polkowicki,21,2,23,3.33,0.32,3.65,0,0,0,22,14,111,138,24,113,1,t0216,2022-03-15
dolnośląskie,strzeliński,6,0,6,1.38,0.0,1.38,1,1,0,19,21,84,65,8,57,0,t0217,2022-03-15
dolnośląskie,średzki,22,1,23,3.97,0.18,4.15,1,1,0,23,23,109,87,24,60,3,t0218,2022-03-15
dolnośląskie,świdnicki,18,1,19,1.15,0.06,1.21,0,0,0,28,25,197,170,21,147,2,t0219,2022-03-15
dolnośląskie,trzebnicki,32,3,35,3.75,0.35,4.1,1,1,0,34,24,171,163,36,126,1,t0220,2022-03-15
dolnośląskie,wałbrzyski,12,0,12,2.17,0.0,2.17,0,0,0,28,14,62,109,13,96,0,t0221,2022-03-15
dolnośląskie,wołowski,16,1,17,3.42,0.21,3.64,0,0,0,25,25,109,67,17,49,1,t0222,2022-03-15
dolnośląskie,wrocławski,101,11,112,6.56,0.71,7.28,0,0,0,122,88,459,413,121,289,3,t0223,2022-03-15
dolnośląskie,ząbkowicki,7,1,8,1.09,0.16,1.24,0,0,0,20,11,84,80,8,71,1,t0224,2022-03-15
dolnośląskie,zgorzelecki,69,5,74,7.77,0.56,8.34,0,0,0,37,44,235,228,78,147,3,t0225,2022-03-15
