wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,3722,834,4556,0.97,0.22,1.19,14,4,10,5161,0,0,13166,4744,8373,49,t0000,2022-09-08
dolnośląskie,bolesławiecki,7,2,9,0.78,0.22,1.0,0,0,0,8,0,0,28,9,19,0,t0201,2022-09-08
dolnośląskie,dzierżoniowski,13,3,16,1.29,0.3,1.59,0,0,0,8,0,0,26,17,9,0,t0202,2022-09-08
dolnośląskie,głogowski,2,2,4,0.23,0.23,0.45,0,0,0,4,0,0,13,4,9,0,t0203,2022-09-08
dolnośląskie,górowski,6,1,7,1.73,0.29,2.02,0,0,0,10,0,0,14,7,7,0,t0204,2022-09-08
dolnośląskie,jaworski,1,0,1,0.2,0.0,0.2,0,0,0,0,0,0,8,1,7,0,t0205,2022-09-08
dolnośląskie,jeleniogórski,1,1,2,0.16,0.16,0.32,0,0,0,4,0,0,6,2,4,0,t0206,2022-09-08
dolnośląskie,kamiennogórski,2,0,2,0.46,0.0,0.46,0,0,0,1,0,0,3,2,1,0,t0207,2022-09-08
dolnośląskie,kłodzki,7,0,7,0.45,0.0,0.45,0,0,0,6,0,0,17,7,10,0,t0208,2022-09-08
dolnośląskie,legnicki,3,0,3,0.54,0.0,0.54,0,0,0,2,0,0,6,3,3,0,t0209,2022-09-08
dolnośląskie,lubański,10,2,12,1.85,0.37,2.22,0,0,0,11,0,0,23,14,9,0,t0210,2022-09-08
dolnośląskie,lubiński,9,2,11,0.85,0.19,1.04,0,0,0,11,0,0,17,11,6,0,t0211,2022-09-08
dolnośląskie,lwówecki,6,2,8,1.31,0.44,1.75,0,0,0,8,0,0,11,8,3,0,t0212,2022-09-08
dolnośląskie,milicki,4,0,4,1.08,0.0,1.08,0,0,0,2,0,0,7,4,3,0,t0213,2022-09-08
dolnośląskie,oleśnicki,7,3,10,0.65,0.28,0.93,0,0,0,8,0,0,20,11,9,0,t0214,2022-09-08
dolnośląskie,oławski,2,0,2,0.26,0.0,0.26,0,0,0,2,0,0,10,2,8,0,t0215,2022-09-08
dolnośląskie,polkowicki,5,0,5,0.79,0.0,0.79,0,0,0,4,0,0,17,5,12,0,t0216,2022-09-08
dolnośląskie,strzeliński,2,1,3,0.46,0.23,0.69,0,0,0,2,0,0,4,4,0,0,t0217,2022-09-08
dolnośląskie,średzki,6,0,6,1.08,0.0,1.08,0,0,0,11,0,0,16,6,10,0,t0218,2022-09-08
dolnośląskie,świdnicki,12,2,14,0.77,0.13,0.89,0,0,0,8,0,0,36,14,22,0,t0219,2022-09-08
dolnośląskie,trzebnicki,9,2,11,1.05,0.23,1.29,0,0,0,11,0,0,26,12,14,0,t0220,2022-09-08
dolnośląskie,wałbrzyski,4,0,4,0.72,0.0,0.72,0,0,0,2,0,0,8,5,3,0,t0221,2022-09-08
dolnośląskie,wołowski,1,0,1,0.21,0.0,0.21,0,0,0,1,0,0,3,1,2,0,t0222,2022-09-08
dolnośląskie,wrocławski,17,2,19,1.1,0.13,1.23,0,0,0,16,0,0,42,21,21,0,t0223,2022-09-08
dolnośląskie,ząbkowicki,3,0,3,0.47,0.0,0.47,0,0,0,4,0,0,10,3,7,0,t0224,2022-09-08
dolnośląskie,zgorzelecki,2,0,2,0.23,0.0,0.23,0,0,0,2,0,0,6,2,4,0,t0225,2022-09-08
dolnośląskie,złotoryjski,6,0,6,1.39,0.0,1.39,0,0,0,4,0,0,15,9,6,0,t0226,2022-09-08
dolnośląskie,Jelenia Góra,8,2,10,1.02,0.25,1.27,0,0,0,12,0,0,26,11,15,0,t0261,2022-09-08
dolnośląskie,Legnica,7,1,8,0.71,0.1,0.81,0,0,0,9,0,0,24,8,16,0,t0262,2022-09-08
dolnośląskie,Wrocław,34,11,45,0.53,0.17,0.7,0,0,0,62,0,0,159,48,111,0,t0264,2022-09-08
dolnośląskie,Wałbrzych,8,1,9,0.72,0.09,0.81,0,0,0,9,0,0,21,9,12,0,t0265,2022-09-08
kujawsko-pomorskie,aleksandrowski,3,0,3,0.55,0.0,0.55,0,0,0,3,0,0,4,3,1,0,t0401,2022-09-08
kujawsko-pomorskie,brodnicki,2,1,3,0.25,0.13,0.38,0,0,0,6,0,0,19,3,16,0,t0402,2022-09-08
kujawsko-pomorskie,bydgoski,4,5,9,0.33,0.42,0.75,0,0,0,13,0,0,31,9,22,0,t0403,2022-09-08
kujawsko-pomorskie,chełmiński,6,0,6,1.16,0.0,1.16,0,0,0,6,0,0,14,6,8,0,t0404,2022-09-08
kujawsko-pomorskie,golubsko-dobrzyński,4,0,4,0.89,0.0,0.89,0,0,0,5,0,0,6,4,2,0,t0405,2022-09-08
kujawsko-pomorskie,grudziądzki,4,0,4,0.99,0.0,0.99,0,0,0,5,0,0,16,4,12,0,t0406,2022-09-08
kujawsko-pomorskie,inowrocławski,11,5,16,0.69,0.31,1.0,0,0,0,25,0,0,54,16,38,0,t0407,2022-09-08
kujawsko-pomorskie,lipnowski,5,2,7,0.76,0.3,1.07,0,0,0,12,0,0,22,7,15,0,t0408,2022-09-08
kujawsko-pomorskie,mogileński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,8,0,t0409,2022-09-08
kujawsko-pomorskie,nakielski,6,1,7,0.7,0.12,0.81,0,0,0,11,0,0,19,8,11,0,t0410,2022-09-08
kujawsko-pomorskie,radziejowski,4,0,4,0.99,0.0,0.99,0,0,0,10,0,0,14,4,10,0,t0411,2022-09-08
kujawsko-pomorskie,rypiński,2,0,2,0.46,0.0,0.46,0,0,0,3,0,0,13,2,11,0,t0412,2022-09-08
kujawsko-pomorskie,sępoleński,7,0,7,1.71,0.0,1.71,1,0,1,12,0,0,14,7,7,0,t0413,2022-09-08
