wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,4835,-,-,1.26,291,60,231,17080,9777,185122,48409,5893,41802,714,t0000
dolnośląskie,bolesławiecki,-,-,28,-,-,3.11,1,0,1,57,15,392,147,31,116,0,t0201
dolnośląskie,dzierżoniowski,-,-,3,-,-,0.3,0,0,0,18,2,178,88,4,84,0,t0202
dolnośląskie,głogowski,-,-,5,-,-,0.56,0,0,0,21,11,292,84,5,77,2,t0203
dolnośląskie,górowski,-,-,2,-,-,0.58,0,0,0,8,9,117,60,2,58,0,t0204
dolnośląskie,jaworski,-,-,2,-,-,0.4,1,1,0,34,5,167,62,7,54,1,t0205
dolnośląskie,jeleniogórski,-,-,10,-,-,1.58,0,0,0,17,7,236,111,17,92,2,t0206
dolnośląskie,kamiennogórski,-,-,2,-,-,0.46,0,0,0,8,2,79,190,2,188,0,t0207
dolnośląskie,kłodzki,-,-,6,-,-,0.38,0,0,0,67,19,463,107,7,99,1,t0208
dolnośląskie,legnicki,-,-,3,-,-,0.54,0,0,0,18,5,174,42,3,38,1,t0209
dolnośląskie,lubański,-,-,3,-,-,0.55,1,1,0,13,20,252,99,3,94,2,t0210
dolnośląskie,lubiński,-,-,8,-,-,0.75,0,0,0,30,8,222,141,9,132,0,t0211
dolnośląskie,lwówecki,-,-,5,-,-,1.09,0,0,0,14,9,126,252,7,244,1,t0212
dolnośląskie,milicki,-,-,2,-,-,0.54,0,0,0,10,9,151,21,3,18,0,t0213
dolnośląskie,oleśnicki,-,-,9,-,-,0.84,1,1,0,37,9,344,204,9,190,5,t0214
dolnośląskie,oławski,-,-,7,-,-,0.91,0,0,0,21,16,385,103,9,92,2,t0215
dolnośląskie,polkowicki,-,-,12,-,-,1.9,0,0,0,14,8,208,122,13,109,0,t0216
dolnośląskie,strzeliński,-,-,3,-,-,0.69,0,0,0,14,0,130,61,3,55,3,t0217
dolnośląskie,średzki,-,-,1,-,-,0.18,0,0,0,34,15,206,56,2,54,0,t0218
dolnośląskie,świdnicki,-,-,30,-,-,1.92,1,0,1,32,23,688,219,31,186,2,t0219
dolnośląskie,trzebnicki,-,-,3,-,-,0.35,0,0,0,27,26,394,194,5,184,5,t0220
dolnośląskie,wałbrzyski,-,-,12,-,-,2.17,0,0,0,15,14,133,75,13,62,0,t0221
dolnośląskie,wołowski,-,-,2,-,-,0.43,0,0,0,18,20,221,34,2,31,1,t0222
dolnośląskie,wrocławski,-,-,16,-,-,1.04,0,0,0,78,25,1184,182,20,159,3,t0223
dolnośląskie,ząbkowicki,-,-,5,-,-,0.78,0,0,0,11,7,279,66,6,60,0,t0224
dolnośląskie,zgorzelecki,-,-,17,-,-,1.92,0,0,0,26,38,366,420,17,400,3,t0225
dolnośląskie,złotoryjski,-,-,1,-,-,0.23,0,0,0,8,9,146,18,2,16,0,t0226
dolnośląskie,Jelenia Góra,-,-,8,-,-,1.02,0,0,0,25,9,300,135,8,127,0,t0261
dolnośląskie,Legnica,-,-,3,-,-,0.3,1,1,0,51,11,537,62,3,59,0,t0262
dolnośląskie,Wrocław,-,-,87,-,-,1.35,4,4,0,263,151,3862,1193,112,1049,32,t0264
dolnośląskie,Wałbrzych,-,-,15,-,-,1.36,0,0,0,42,40,290,218,18,198,2,t0265
kujawsko-pomorskie,aleksandrowski,-,-,6,-,-,1.09,0,0,0,29,16,189,63,10,52,1,t0401
kujawsko-pomorskie,brodnicki,-,-,5,-,-,0.63,0,0,0,39,21,405,50,5,45,0,t0402
kujawsko-pomorskie,bydgoski,-,-,44,-,-,3.68,3,0,3,114,87,1181,192,48,141,3,t0403
kujawsko-pomorskie,chełmiński,-,-,23,-,-,4.44,0,0,0,53,37,565,208,51,153,4,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,5,-,-,1.11,1,0,1,32,19,246,41,5,33,3,t0405
kujawsko-pomorskie,grudziądzki,-,-,7,-,-,1.74,0,0,0,31,23,365,68,7,61,0,t0406
kujawsko-pomorskie,inowrocławski,-,-,13,-,-,0.82,5,0,5,67,78,861,178,27,147,4,t0407
kujawsko-pomorskie,lipnowski,-,-,4,-,-,0.61,0,0,0,13,10,257,57,4,51,2,t0408
kujawsko-pomorskie,mogileński,-,-,2,-,-,0.44,0,0,0,18,13,224,33,3,29,1,t0409
kujawsko-pomorskie,nakielski,-,-,22,-,-,2.55,0,0,0,130,62,747,109,23,85,1,t0410
kujawsko-pomorskie,radziejowski,-,-,16,-,-,3.98,1,0,1,23,11,190,67,17,48,2,t0411
kujawsko-pomorskie,rypiński,-,-,0,-,-,0.0,2,0,2,8,10,142,25,0,25,0,t0412
kujawsko-pomorskie,sępoleński,-,-,10,-,-,2.44,0,0,0,31,17,270,55,11,44,0,t0413
kujawsko-pomorskie,świecki,-,-,5,-,-,0.51,0,0,0,85,38,728,97,6,89,2,t0414
kujawsko-pomorskie,toruński,-,-,26,-,-,2.39,2,0,2,75,72,855,181,41,137,3,t0415
kujawsko-pomorskie,tucholski,-,-,8,-,-,1.66,0,0,0,33,14,289,69,8,60,1,t0416
kujawsko-pomorskie,wąbrzeski,-,-,12,-,-,3.52,0,0,0,25,6,238,43,14,26,3,t0417
kujawsko-pomorskie,włocławski,-,-,5,-,-,0.58,0,0,0,37,12,390,75,7,68,0,t0418
kujawsko-pomorskie,żniński,-,-,15,-,-,2.14,0,0,0,48,34,453,86,18,67,1,t0419
kujawsko-pomorskie,Bydgoszcz,-,-,106,-,-,3.06,7,0,7,332,208,2783,562,121,432,9,t0461
kujawsko-pomorskie,Grudziądz,-,-,14,-,-,1.49,0,0,0,61,48,647,224,17,205,2,t0462
