wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,655,279,934,0.17,0.07,0.24,2,1,1,1121,0,0,2856,977,1876,3,t0000,2024-10-10
dolnośląskie,bolesławiecki,2,3,5,0.22,0.33,0.56,0,0,0,0,0,0,21,5,16,0,t0201,2024-10-10
dolnośląskie,dzierżoniowski,1,2,3,0.1,0.2,0.3,0,0,0,2,0,0,8,3,5,0,t0202,2024-10-10
dolnośląskie,głogowski,0,3,3,0.0,0.34,0.34,0,0,0,0,0,0,7,3,4,0,t0203,2024-10-10
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2024-10-10
dolnośląskie,jaworski,1,0,1,0.2,0.0,0.2,0,0,0,0,0,0,1,1,0,0,t0205,2024-10-10
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,1,0,0,3,1,2,0,t0206,2024-10-10
dolnośląskie,kamiennogórski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0207,2024-10-10
dolnośląskie,kłodzki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0208,2024-10-10
dolnośląskie,legnicki,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2,0,2,0,t0209,2024-10-10
dolnośląskie,lubański,1,0,1,0.18,0.0,0.18,0,0,0,1,0,0,2,1,1,0,t0210,2024-10-10
dolnośląskie,lubiński,3,6,9,0.28,0.57,0.85,0,0,0,0,0,0,9,9,0,0,t0211,2024-10-10
dolnośląskie,lwówecki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0212,2024-10-10
dolnośląskie,milicki,0,1,1,0.0,0.27,0.27,0,0,0,0,0,0,1,1,0,0,t0213,2024-10-10
dolnośląskie,oleśnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0214,2024-10-10
dolnośląskie,oławski,0,1,1,0.0,0.13,0.13,0,0,0,0,0,0,1,1,0,0,t0215,2024-10-10
dolnośląskie,polkowicki,1,0,1,0.16,0.0,0.16,0,0,0,6,0,0,2,1,1,0,t0216,2024-10-10
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0217,2024-10-10
