wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,96,-,-,0.03,21,8,13,1849,170,84100,42386,151,42148,87,t0000,2021-07-01
dolnośląskie,bolesławiecki,-,-,0,-,-,0.0,0,0,0,4,1,242,110,0,109,1,t0201,2021-07-01
dolnośląskie,dzierżoniowski,-,-,0,-,-,0.0,0,0,0,4,1,132,99,1,98,0,t0202,2021-07-01
dolnośląskie,głogowski,-,-,0,-,-,0.0,0,0,0,2,0,143,71,0,71,0,t0203,2021-07-01
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,1,0,49,27,0,27,0,t0204,2021-07-01
dolnośląskie,jaworski,-,-,0,-,-,0.0,0,0,0,4,0,69,35,0,35,0,t0205,2021-07-01
dolnośląskie,jeleniogórski,-,-,0,-,-,0.0,0,0,0,1,0,126,45,0,45,0,t0206,2021-07-01
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,5,0,69,31,0,31,0,t0207,2021-07-01
dolnośląskie,kłodzki,-,-,0,-,-,0.0,0,0,0,14,1,219,100,0,100,0,t0208,2021-07-01
dolnośląskie,legnicki,-,-,0,-,-,0.0,0,0,0,1,0,185,47,0,47,0,t0209,2021-07-01
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,3,0,85,31,0,31,0,t0210,2021-07-01
dolnośląskie,lubiński,-,-,0,-,-,0.0,0,0,0,4,1,143,104,0,104,0,t0211,2021-07-01
dolnośląskie,lwówecki,-,-,0,-,-,0.0,0,0,0,11,0,54,59,0,59,0,t0212,2021-07-01
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,1,0,88,10,0,10,0,t0213,2021-07-01
dolnośląskie,oleśnicki,-,-,0,-,-,0.0,1,1,0,7,1,211,81,1,80,0,t0214,2021-07-01
dolnośląskie,oławski,-,-,0,-,-,0.0,0,0,0,4,0,278,74,0,74,0,t0215,2021-07-01
dolnośląskie,polkowicki,-,-,0,-,-,0.0,0,0,0,2,1,78,55,0,55,0,t0216,2021-07-01
dolnośląskie,strzeliński,-,-,0,-,-,0.0,0,0,0,1,1,43,37,0,37,0,t0217,2021-07-01
dolnośląskie,średzki,-,-,0,-,-,0.0,0,0,0,4,0,146,50,0,50,0,t0218,2021-07-01
dolnośląskie,świdnicki,-,-,0,-,-,0.0,0,0,0,5,1,348,125,0,125,0,t0219,2021-07-01
dolnośląskie,trzebnicki,-,-,0,-,-,0.0,0,0,0,6,0,280,77,0,77,0,t0220,2021-07-01
dolnośląskie,wałbrzyski,-,-,0,-,-,0.0,0,0,0,2,0,46,54,0,54,0,t0221,2021-07-01
dolnośląskie,wołowski,-,-,0,-,-,0.0,0,0,0,1,0,98,38,0,38,0,t0222,2021-07-01
dolnośląskie,wrocławski,-,-,0,-,-,0.0,0,0,0,44,0,618,250,0,250,0,t0223,2021-07-01
dolnośląskie,ząbkowicki,-,-,0,-,-,0.0,0,0,0,2,1,70,53,0,53,0,t0224,2021-07-01
dolnośląskie,zgorzelecki,-,-,1,-,-,0.11,0,0,0,2,0,126,31,1,30,0,t0225,2021-07-01
dolnośląskie,złotoryjski,-,-,0,-,-,0.0,0,0,0,0,0,51,21,0,21,0,t0226,2021-07-01
dolnośląskie,Jelenia Góra,-,-,0,-,-,0.0,0,0,0,9,1,147,74,0,74,0,t0261,2021-07-01
dolnośląskie,Legnica,-,-,0,-,-,0.0,0,0,0,3,1,339,87,2,85,0,t0262,2021-07-01
dolnośląskie,Wrocław,-,-,4,-,-,0.06,0,0,0,38,6,2947,880,4,873,3,t0264,2021-07-01
dolnośląskie,Wałbrzych,-,-,0,-,-,0.0,0,0,0,1,1,124,129,0,128,1,t0265,2021-07-01
kujawsko-pomorskie,aleksandrowski,-,-,0,-,-,0.0,0,0,0,1,0,64,54,0,54,0,t0401,2021-07-01
kujawsko-pomorskie,brodnicki,-,-,0,-,-,0.0,0,0,0,0,1,90,67,0,67,0,t0402,2021-07-01
kujawsko-pomorskie,bydgoski,-,-,1,-,-,0.08,0,0,0,6,0,148,98,1,97,0,t0403,2021-07-01
kujawsko-pomorskie,chełmiński,-,-,0,-,-,0.0,0,0,0,2,0,78,64,0,64,0,t0404,2021-07-01
kujawsko-pomorskie,golubsko-dobrzyński,-,-,0,-,-,0.0,0,0,0,1,0,30,27,0,27,0,t0405,2021-07-01
kujawsko-pomorskie,grudziądzki,-,-,0,-,-,0.0,0,0,0,0,0,36,34,0,34,0,t0406,2021-07-01
kujawsko-pomorskie,inowrocławski,-,-,2,-,-,0.13,0,0,0,12,0,201,67,2,65,0,t0407,2021-07-01
kujawsko-pomorskie,lipnowski,-,-,0,-,-,0.0,0,0,0,2,0,85,41,0,41,0,t0408,2021-07-01
kujawsko-pomorskie,mogileński,-,-,0,-,-,0.0,0,0,0,2,0,53,35,0,34,1,t0409,2021-07-01
kujawsko-pomorskie,nakielski,-,-,1,-,-,0.12,0,0,0,2,1,67,66,1,63,2,t0410,2021-07-01
kujawsko-pomorskie,radziejowski,-,-,0,-,-,0.0,0,0,0,1,0,40,15,0,15,0,t0411,2021-07-01
kujawsko-pomorskie,rypiński,-,-,0,-,-,0.0,0,0,0,1,0,24,53,0,53,0,t0412,2021-07-01
kujawsko-pomorskie,sępoleński,-,-,0,-,-,0.0,0,0,0,2,0,36,21,0,21,0,t0413,2021-07-01
kujawsko-pomorskie,świecki,-,-,0,-,-,0.0,0,0,0,6,1,115,175,1,173,1,t0414,2021-07-01
kujawsko-pomorskie,toruński,-,-,0,-,-,0.0,0,0,0,7,1,129,95,0,95,0,t0415,2021-07-01
kujawsko-pomorskie,tucholski,-,-,0,-,-,0.0,0,0,0,1,0,48,45,0,45,0,t0416,2021-07-01
kujawsko-pomorskie,wąbrzeski,-,-,0,-,-,0.0,0,0,0,0,0,25,21,0,21,0,t0417,2021-07-01
kujawsko-pomorskie,włocławski,-,-,0,-,-,0.0,0,0,0,2,0,69,39,0,39,0,t0418,2021-07-01
kujawsko-pomorskie,żniński,-,-,0,-,-,0.0,0,0,0,4,0,61,51,0,51,0,t0419,2021-07-01
kujawsko-pomorskie,Bydgoszcz,-,-,0,-,-,0.0,0,0,0,22,2,688,267,0,265,2,t0461,2021-07-01
kujawsko-pomorskie,Grudziądz,-,-,0,-,-,0.0,0,0,0,6,0,84,75,0,75,0,t0462,2021-07-01
kujawsko-pomorskie,Toruń,-,-,1,-,-,0.05,0,0,0,10,0,265,197,1,196,0,t0463,2021-07-01
kujawsko-pomorskie,Włocławek,-,-,0,-,-,0.0,0,0,0,4,0,110,61,0,61,0,t0464,2021-07-01
lubelskie,bialski,-,-,1,-,-,0.09,0,0,0,7,2,206,116,1,115,0,t0601,2021-07-01
lubelskie,biłgorajski,-,-,0,-,-,0.0,0,0,0,4,0,290,83,0,83,0,t0602,2021-07-01
lubelskie,chełmski,-,-,0,-,-,0.0,0,0,0,1,1,88,73,0,73,0,t0603,2021-07-01
lubelskie,hrubieszowski,-,-,0,-,-,0.0,0,0,0,2,0,45,64,0,63,1,t0604,2021-07-01
lubelskie,janowski,-,-,0,-,-,0.0,0,0,0,6,0,38,31,0,30,1,t0605,2021-07-01
lubelskie,krasnostawski,-,-,1,-,-,0.16,0,0,0,1,1,53,49,1,48,0,t0606,2021-07-01
lubelskie,kraśnicki,-,-,0,-,-,0.0,0,0,0,1,0,278,73,0,73,0,t0607,2021-07-01
lubelskie,lubartowski,-,-,0,-,-,0.0,0,0,0,4,0,164,64,0,64,0,t0608,2021-07-01
lubelskie,lubelski,-,-,1,-,-,0.06,0,0,0,7,0,289,161,1,159,1,t0609,2021-07-01
lubelskie,łęczyński,-,-,0,-,-,0.0,1,0,1,0,0,110,57,1,56,0,t0610,2021-07-01
lubelskie,łukowski,-,-,0,-,-,0.0,0,0,0,3,0,122,75,0,75,0,t0611,2021-07-01
lubelskie,opolski,-,-,0,-,-,0.0,0,0,0,1,0,360,43,0,43,0,t0612,2021-07-01
lubelskie,parczewski,-,-,0,-,-,0.0,0,0,0,1,0,33,32,0,32,0,t0613,2021-07-01
lubelskie,puławski,-,-,1,-,-,0.09,0,0,0,12,0,260,106,2,104,0,t0614,2021-07-01
lubelskie,radzyński,-,-,0,-,-,0.0,0,0,0,1,0,43,58,0,58,0,t0615,2021-07-01
lubelskie,rycki,-,-,0,-,-,0.0,0,0,0,1,0,56,57,0,57,0,t0616,2021-07-01
lubelskie,świdnicki,-,-,0,-,-,0.0,0,0,0,7,0,63,86,0,85,1,t0617,2021-07-01
lubelskie,tomaszowski,-,-,0,-,-,0.0,0,0,0,3,1,111,73,0,73,0,t0618,2021-07-01
lubelskie,włodawski,-,-,0,-,-,0.0,0,0,0,0,1,46,29,0,29,0,t0619,2021-07-01
lubelskie,zamojski,-,-,0,-,-,0.0,0,0,0,3,0,95,92,0,92,0,t0620,2021-07-01
lubelskie,Biała Podlaska,-,-,0,-,-,0.0,0,0,0,6,0,143,59,0,59,0,t0661,2021-07-01
lubelskie,Chełm,-,-,0,-,-,0.0,1,0,1,5,0,62,71,0,71,0,t0662,2021-07-01
lubelskie,Lublin,-,-,2,-,-,0.06,0,0,0,14,1,595,520,2,518,0,t0663,2021-07-01
lubelskie,Zamość,-,-,0,-,-,0.0,0,0,0,1,0,63,48,0,48,0,t0664,2021-07-01
lubuskie,gorzowski,-,-,0,-,-,0.0,0,0,0,3,0,132,65,0,65,0,t0801,2021-07-01
lubuskie,krośnieński,-,-,0,-,-,0.0,0,0,0,6,0,83,51,0,51,0,t0802,2021-07-01
lubuskie,międzyrzecki,-,-,0,-,-,0.0,0,0,0,2,0,145,62,0,61,1,t0803,2021-07-01
