wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,-,-,1000,-,-,0.26,151,41,110,8529,2257,81603,61444,1279,59851,314,t0000,2021-05-24
dolnośląskie,bolesławiecki,-,-,3,-,-,0.33,2,0,2,31,8,440,153,7,143,3,t0201,2021-05-24
dolnośląskie,dzierżoniowski,-,-,1,-,-,0.1,1,0,1,17,9,131,130,1,129,0,t0202,2021-05-24
dolnośląskie,głogowski,-,-,8,-,-,0.9,0,0,0,17,12,194,104,8,95,1,t0203,2021-05-24
dolnośląskie,górowski,-,-,1,-,-,0.29,0,0,0,5,0,83,28,1,26,1,t0204,2021-05-24
dolnośląskie,jaworski,-,-,0,-,-,0.0,0,0,0,12,5,99,46,0,45,1,t0205,2021-05-24
dolnośląskie,jeleniogórski,-,-,1,-,-,0.16,1,0,1,10,7,157,104,1,103,0,t0206,2021-05-24
dolnośląskie,kamiennogórski,-,-,0,-,-,0.0,0,0,0,12,2,48,65,0,65,0,t0207,2021-05-24
dolnośląskie,kłodzki,-,-,2,-,-,0.13,0,0,0,31,6,156,177,4,173,0,t0208,2021-05-24
dolnośląskie,legnicki,-,-,0,-,-,0.0,1,1,0,11,5,154,80,0,79,1,t0209,2021-05-24
dolnośląskie,lubański,-,-,2,-,-,0.37,0,0,0,11,3,109,42,2,40,0,t0210,2021-05-24
dolnośląskie,lubiński,-,-,1,-,-,0.09,0,0,0,20,9,169,128,1,127,0,t0211,2021-05-24
dolnośląskie,lwówecki,-,-,5,-,-,1.09,0,0,0,25,6,120,89,5,84,0,t0212,2021-05-24
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,9,1,68,38,0,38,0,t0213,2021-05-24
dolnośląskie,oleśnicki,-,-,4,-,-,0.37,1,1,0,22,8,234,124,5,119,0,t0214,2021-05-24
dolnośląskie,oławski,-,-,1,-,-,0.13,0,0,0,19,9,314,114,1,112,1,t0215,2021-05-24
dolnośląskie,polkowicki,-,-,1,-,-,0.16,1,1,0,14,6,159,75,1,74,0,t0216,2021-05-24
