wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,4683,-,-,1.22,110,22,88,307,7934,176192,30965,5187,25208,570,t0000
dolnośląskie,bolesławiecki,-,-,14,-,-,1.56,0,0,0,1,17,445,59,15,43,1,t0201
dolnośląskie,dzierżoniowski,-,-,15,-,-,1.49,0,0,0,0,11,182,61,16,45,0,t0202
dolnośląskie,głogowski,-,-,6,-,-,0.68,1,0,1,0,19,258,42,6,35,1,t0203
dolnośląskie,górowski,-,-,0,-,-,0.0,0,0,0,0,2,94,23,0,23,0,t0204
dolnośląskie,jaworski,-,-,7,-,-,1.4,0,0,0,0,6,139,36,7,29,0,t0205
dolnośląskie,jeleniogórski,-,-,12,-,-,1.89,0,0,0,0,14,225,65,12,52,1,t0206
dolnośląskie,kamiennogórski,-,-,3,-,-,0.7,0,0,0,0,3,83,84,3,79,2,t0207
dolnośląskie,kłodzki,-,-,9,-,-,0.57,0,0,0,0,33,533,94,11,83,0,t0208
dolnośląskie,legnicki,-,-,6,-,-,1.09,0,0,0,0,5,155,36,7,28,1,t0209
dolnośląskie,lubański,-,-,0,-,-,0.0,0,0,0,0,20,238,29,0,29,0,t0210
dolnośląskie,lubiński,-,-,2,-,-,0.19,0,0,0,0,15,210,58,5,52,1,t0211
dolnośląskie,lwówecki,-,-,3,-,-,0.66,0,0,0,0,5,92,23,3,20,0,t0212
dolnośląskie,milicki,-,-,0,-,-,0.0,0,0,0,0,3,113,11,0,11,0,t0213
dolnośląskie,oleśnicki,-,-,5,-,-,0.47,0,0,0,2,19,378,62,9,53,0,t0214
dolnośląskie,oławski,-,-,11,-,-,1.43,0,0,0,0,9,406,63,12,51,0,t0215
dolnośląskie,polkowicki,-,-,4,-,-,0.63,0,0,0,0,5,172,31,6,25,0,t0216
dolnośląskie,strzeliński,-,-,2,-,-,0.46,0,0,0,0,6,114,14,3,11,0,t0217
dolnośląskie,średzki,-,-,7,-,-,1.26,0,0,0,0,14,230,38,7,31,0,t0218
dolnośląskie,świdnicki,-,-,12,-,-,0.77,1,0,1,1,18,634,92,13,79,0,t0219
dolnośląskie,trzebnicki,-,-,5,-,-,0.59,0,0,0,2,16,399,29,6,23,0,t0220
