wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,14151,-,-,3.69,553,144,409,19348,4044,165668,61758,15217,45266,1275,t0000
dolnośląskie,bolesławiecki,-,-,38,-,-,4.22,4,0,4,60,10,479,166,39,123,4,t0201
dolnośląskie,dzierżoniowski,-,-,1,-,-,0.1,1,0,1,24,1,208,45,1,42,2,t0202
dolnośląskie,głogowski,-,-,20,-,-,2.25,0,0,0,40,5,297,92,21,70,1,t0203
dolnośląskie,górowski,-,-,14,-,-,4.03,0,0,0,23,1,123,48,14,34,0,t0204
dolnośląskie,jaworski,-,-,12,-,-,2.4,0,0,0,14,0,154,49,15,32,2,t0205
dolnośląskie,jeleniogórski,-,-,7,-,-,1.1,1,0,1,19,4,180,100,9,90,1,t0206
dolnośląskie,kamiennogórski,-,-,2,-,-,0.46,0,0,0,6,0,66,48,3,45,0,t0207
dolnośląskie,kłodzki,-,-,10,-,-,0.64,3,0,3,37,4,352,80,12,66,2,t0208
dolnośląskie,legnicki,-,-,16,-,-,2.9,0,0,0,10,3,145,58,17,40,1,t0209
dolnośląskie,lubański,-,-,12,-,-,2.22,0,0,0,20,2,245,66,16,45,5,t0210
dolnośląskie,lubiński,-,-,13,-,-,1.23,4,0,4,31,7,268,113,16,95,2,t0211
dolnośląskie,lwówecki,-,-,13,-,-,2.84,1,1,0,20,4,121,111,13,95,3,t0212
dolnośląskie,milicki,-,-,10,-,-,2.71,0,0,0,12,0,159,45,10,35,0,t0213
dolnośląskie,oleśnicki,-,-,18,-,-,1.68,0,0,0,35,5,375,129,19,107,3,t0214
dolnośląskie,oławski,-,-,18,-,-,2.34,7,4,3,26,6,355,101,20,78,3,t0215
dolnośląskie,polkowicki,-,-,19,-,-,3.01,0,0,0,20,2,159,64,19,45,0,t0216
dolnośląskie,strzeliński,-,-,3,-,-,0.69,2,0,2,18,5,144,32,3,29,0,t0217
dolnośląskie,średzki,-,-,27,-,-,4.88,1,0,1,23,3,205,73,27,43,3,t0218
dolnośląskie,świdnicki,-,-,23,-,-,1.47,4,0,4,36,4,659,171,25,141,5,t0219
dolnośląskie,trzebnicki,-,-,14,-,-,1.64,0,0,0,32,5,326,78,16,61,1,t0220
dolnośląskie,wałbrzyski,-,-,9,-,-,1.62,0,0,0,20,5,171,65,10,54,1,t0221
dolnośląskie,wołowski,-,-,6,-,-,1.28,0,0,0,32,5,222,41,7,31,3,t0222
dolnośląskie,wrocławski,-,-,37,-,-,2.4,1,1,0,68,12,738,175,38,134,3,t0223
dolnośląskie,ząbkowicki,-,-,27,-,-,4.19,3,1,2,18,5,226,170,28,142,0,t0224
dolnośląskie,zgorzelecki,-,-,11,-,-,1.24,1,1,0,34,7,341,75,14,57,4,t0225
dolnośląskie,złotoryjski,-,-,12,-,-,2.77,0,0,0,12,2,190,47,12,34,1,t0226
dolnośląskie,Jelenia Góra,-,-,6,-,-,0.76,0,0,0,24,7,215,129,6,122,1,t0261
dolnośląskie,Legnica,-,-,23,-,-,2.32,1,1,0,30,1,384,116,25,84,7,t0262
dolnośląskie,Wrocław,-,-,160,-,-,2.49,6,6,0,304,65,2631,1017,177,822,18,t0264
dolnośląskie,Wałbrzych,-,-,16,-,-,1.45,4,1,3,32,5,340,235,19,215,1,t0265
kujawsko-pomorskie,aleksandrowski,-,-,14,-,-,2.55,3,1,2,32,6,205,87,24,58,5,t0401
kujawsko-pomorskie,brodnicki,-,-,40,-,-,5.06,0,0,0,40,6,428,106,40,65,1,t0402
kujawsko-pomorskie,bydgoski,-,-,119,-,-,9.96,2,0,2,183,34,1167,406,129,271,6,t0403
kujawsko-pomorskie,chełmiński,-,-,50,-,-,9.65,0,0,0,39,13,398,117,50,64,3,t0404
kujawsko-pomorskie,golubsko-dobrzyński,-,-,14,-,-,3.11,2,0,2,21,4,149,69,14,55,0,t0405
kujawsko-pomorskie,grudziądzki,-,-,21,-,-,5.22,1,1,0,31,6,366,72,22,48,2,t0406
kujawsko-pomorskie,inowrocławski,-,-,125,-,-,7.85,2,0,2,123,13,980,278,133,140,5,t0407
kujawsko-pomorskie,lipnowski,-,-,24,-,-,3.66,1,0,1,37,7,287,85,26,58,1,t0408
kujawsko-pomorskie,mogileński,-,-,18,-,-,3.95,0,0,0,23,10,208,56,20,35,1,t0409
kujawsko-pomorskie,nakielski,-,-,12,-,-,1.39,0,0,0,97,27,667,122,14,106,2,t0410
kujawsko-pomorskie,radziejowski,-,-,14,-,-,3.48,0,0,0,28,2,238,52,14,38,0,t0411
kujawsko-pomorskie,rypiński,-,-,12,-,-,2.76,2,0,2,14,0,113,53,12,40,1,t0412
kujawsko-pomorskie,sępoleński,-,-,14,-,-,3.42,0,0,0,20,20,356,93,14,77,2,t0413
kujawsko-pomorskie,świecki,-,-,93,-,-,9.4,2,0,2,69,20,769,238,94,142,2,t0414
kujawsko-pomorskie,toruński,-,-,79,-,-,7.25,0,0,0,129,18,942,323,83,229,11,t0415
kujawsko-pomorskie,tucholski,-,-,20,-,-,4.14,1,0,1,38,3,369,94,20,70,4,t0416
kujawsko-pomorskie,wąbrzeski,-,-,58,-,-,17.0,2,2,0,31,3,221,110,61,49,0,t0417
kujawsko-pomorskie,włocławski,-,-,28,-,-,3.26,4,0,4,38,5,451,87,29,57,1,t0418
