wojewodztwo,powiat,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_wszystkich_zakazen,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_wszystkich_zakazen_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,Cały kraj,1510,520,2030,0.39,0.14,0.53,9,0,9,1883,0,0,7072,2177,4878,17,t0000,2023-02-17
dolnośląskie,bolesławiecki,2,3,5,0.22,0.33,0.56,0,0,0,1,0,0,14,5,9,0,t0201,2023-02-17
dolnośląskie,dzierżoniowski,6,1,7,0.6,0.1,0.7,0,0,0,4,0,0,19,8,11,0,t0202,2023-02-17
dolnośląskie,głogowski,7,3,10,0.79,0.34,1.13,0,0,0,0,0,0,32,10,22,0,t0203,2023-02-17
dolnośląskie,górowski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0204,2023-02-17
dolnośląskie,jaworski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,t0205,2023-02-17
dolnośląskie,jeleniogórski,1,0,1,0.16,0.0,0.16,0,0,0,0,0,0,1,1,0,0,t0206,2023-02-17
dolnośląskie,kamiennogórski,1,0,1,0.23,0.0,0.23,0,0,0,1,0,0,2,1,1,0,t0207,2023-02-17
dolnośląskie,kłodzki,5,2,7,0.32,0.13,0.45,0,0,0,3,0,0,19,7,12,0,t0208,2023-02-17
dolnośląskie,legnicki,0,1,1,0.0,0.18,0.18,0,0,0,1,0,0,5,1,4,0,t0209,2023-02-17
dolnośląskie,lubański,4,1,5,0.74,0.18,0.92,0,0,0,4,0,0,6,5,1,0,t0210,2023-02-17
dolnośląskie,lubiński,2,0,2,0.19,0.0,0.19,0,0,0,8,0,0,15,4,11,0,t0211,2023-02-17
dolnośląskie,lwówecki,0,1,1,0.0,0.22,0.22,0,0,0,1,0,0,2,1,1,0,t0212,2023-02-17
dolnośląskie,milicki,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,5,0,5,0,t0213,2023-02-17
dolnośląskie,oleśnicki,1,0,1,0.09,0.0,0.09,0,0,0,1,0,0,3,2,1,0,t0214,2023-02-17
dolnośląskie,oławski,1,1,2,0.13,0.13,0.26,0,0,0,0,0,0,5,2,3,0,t0215,2023-02-17
dolnośląskie,polkowicki,1,0,1,0.16,0.0,0.16,0,0,0,1,0,0,7,1,6,0,t0216,2023-02-17
dolnośląskie,strzeliński,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0217,2023-02-17
dolnośląskie,średzki,0,0,0,0.0,0.0,0.0,0,0,0,5,0,0,12,0,12,0,t0218,2023-02-17
dolnośląskie,świdnicki,4,1,5,0.26,0.06,0.32,0,0,0,5,0,0,23,5,18,0,t0219,2023-02-17
dolnośląskie,trzebnicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0220,2023-02-17
dolnośląskie,wałbrzyski,1,0,1,0.18,0.0,0.18,0,0,0,3,0,0,7,2,5,0,t0221,2023-02-17
dolnośląskie,wołowski,2,0,2,0.43,0.0,0.43,0,0,0,0,0,0,2,2,0,0,t0222,2023-02-17
dolnośląskie,wrocławski,11,6,17,0.71,0.39,1.1,0,0,0,13,0,0,54,18,36,0,t0223,2023-02-17
dolnośląskie,ząbkowicki,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,4,0,t0224,2023-02-17
dolnośląskie,zgorzelecki,5,0,5,0.56,0.0,0.56,0,0,0,8,0,0,14,5,9,0,t0225,2023-02-17
dolnośląskie,złotoryjski,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,t0226,2023-02-17
dolnośląskie,Jelenia Góra,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,t0261,2023-02-17
