wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt
Cały kraj,Cały kraj,-,-,12955.0,-,-,3.38,565.0,125.0,440.0,17657,4928.0,161160,54230,14149,38997,1084,t0000
dolnośląskie,bolesławiecki,-,-,32.0,-,-,3.55,,,,56,7.0,392,107,37,64,6,t0201
dolnośląskie,dzierżoniowski,-,-,13.0,-,-,1.29,2.0,,2.0,19,2.0,197,78,15,62,1,t0202
dolnośląskie,głogowski,-,-,21.0,-,-,2.36,2.0,,2.0,28,3.0,276,120,22,96,2,t0203
dolnośląskie,górowski,-,-,15.0,-,-,4.32,,,,21,1.0,101,45,15,29,1,t0204
dolnośląskie,jaworski,-,-,11.0,-,-,2.2,,,,7,11.0,133,35,11,24,0,t0205
dolnośląskie,jeleniogórski,-,-,11.0,-,-,1.74,,,,21,6.0,160,68,15,52,1,t0206
dolnośląskie,kamiennogórski,-,-,4.0,-,-,0.93,,,,1,1.0,84,25,5,19,1,t0207
dolnośląskie,kłodzki,-,-,18.0,-,-,1.15,1.0,,1.0,34,8.0,288,140,21,117,2,t0208
dolnośląskie,legnicki,-,-,8.0,-,-,1.45,1.0,1.0,,12,5.0,157,48,8,39,1,t0209
dolnośląskie,lubański,-,-,21.0,-,-,3.88,,,,28,7.0,311,46,24,20,2,t0210
dolnośląskie,lubiński,-,-,54.0,-,-,5.09,3.0,,3.0,42,5.0,296,198,55,139,4,t0211
dolnośląskie,lwówecki,-,-,16.0,-,-,3.5,1.0,1.0,,23,6.0,120,52,17,33,2,t0212
