wojewodztwo,powiat_miasto,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
kujawsko-pomorskie,tucholski,-,-,16,-,-,3.31,0,0,0,78,5,380,93,17,76,0,t0416,2022-01-24
kujawsko-pomorskie,wąbrzeski,-,-,18,-,-,5.28,0,0,0,57,3,212,108,21,87,0,t0417,2022-01-24
kujawsko-pomorskie,włocławski,-,-,42,-,-,4.89,0,0,0,123,24,859,160,47,111,2,t0418,2022-01-24
kujawsko-pomorskie,żniński,-,-,51,-,-,7.28,2,0,2,103,21,353,205,57,145,3,t0419,2022-01-24
kujawsko-pomorskie,Bydgoszcz,-,-,226,-,-,6.52,2,0,2,541,86,3048,956,285,659,12,t0461,2022-01-24
kujawsko-pomorskie,Grudziądz,-,-,44,-,-,4.68,1,1,0,162,19,941,295,60,225,10,t0462,2022-01-24
kujawsko-pomorskie,Toruń,-,-,157,-,-,7.81,1,0,1,295,62,2082,710,186,521,3,t0463,2022-01-24
kujawsko-pomorskie,Włocławek,-,-,28,-,-,2.56,2,0,2,150,27,632,207,34,171,2,t0464,2022-01-24
lubelskie,bialski,-,-,76,-,-,6.88,1,1,0,210,17,1753,344,87,249,8,t0601,2022-01-24
lubelskie,biłgorajski,-,-,18,-,-,1.79,0,0,0,212,14,1959,183,20,162,1,t0602,2022-01-24
lubelskie,chełmski,-,-,57,-,-,7.33,0,0,0,170,17,1679,221,60,159,2,t0603,2022-01-24
lubelskie,hrubieszowski,-,-,53,-,-,8.48,0,0,0,137,11,1217,206,65,140,1,t0604,2022-01-24
lubelskie,janowski,-,-,64,-,-,14.07,0,0,0,109,6,1231,206,72,131,3,t0605,2022-01-24
lubelskie,krasnostawski,-,-,43,-,-,6.83,1,0,1,75,14,1374,220,49,165,6,t0606,2022-01-24
lubelskie,kraśnicki,-,-,106,-,-,11.15,0,0,0,185,25,1757,343,123,219,1,t0607,2022-01-24
lubelskie,lubartowski,-,-,41,-,-,4.65,0,0,0,127,19,1540,211,48,162,1,t0608,2022-01-24
lubelskie,lubelski,-,-,203,-,-,13.01,0,0,0,486,73,4789,689,231,452,6,t0609,2022-01-24
lubelskie,łęczyński,-,-,86,-,-,15.01,1,0,1,191,8,1925,270,92,178,0,t0610,2022-01-24
lubelskie,łukowski,-,-,104,-,-,9.76,2,0,2,214,14,3902,319,124,188,7,t0611,2022-01-24
lubelskie,opolski,-,-,40,-,-,6.79,0,0,0,131,7,783,146,47,98,1,t0612,2022-01-24
lubelskie,parczewski,-,-,10,-,-,2.89,0,0,0,68,4,640,73,12,61,0,t0613,2022-01-24
lubelskie,puławski,-,-,144,-,-,12.76,0,0,0,411,39,2736,578,175,402,1,t0614,2022-01-24
lubelskie,radzyński,-,-,50,-,-,8.53,0,0,0,80,18,929,175,56,119,0,t0615,2022-01-24
lubelskie,rycki,-,-,88,-,-,15.76,1,1,0,226,31,2255,328,113,214,1,t0616,2022-01-24
lubelskie,świdnicki,-,-,187,-,-,26.07,0,0,0,322,31,2240,505,220,283,2,t0617,2022-01-24
lubelskie,tomaszowski,-,-,55,-,-,6.68,0,0,0,107,10,1007,219,60,157,2,t0618,2022-01-24
lubelskie,włodawski,-,-,51,-,-,13.35,0,0,0,78,4,690,159,55,101,3,t0619,2022-01-24
lubelskie,zamojski,-,-,141,-,-,13.32,1,0,1,222,23,2491,418,158,257,3,t0620,2022-01-24
lubelskie,Biała Podlaska,-,-,82,-,-,14.34,0,0,0,179,14,1175,277,94,183,0,t0661,2022-01-24
lubelskie,Chełm,-,-,59,-,-,9.58,0,0,0,121,6,1356,242,67,174,1,t0662,2022-01-24
lubelskie,Lublin,-,-,590,-,-,17.38,1,0,1,1107,164,10199,2223,682,1527,14,t0663,2022-01-24
lubelskie,Zamość,-,-,103,-,-,16.29,0,0,0,178,7,1762,278,112,166,0,t0664,2022-01-24
lubuskie,gorzowski,-,-,32,-,-,4.44,0,0,0,101,29,868,143,34,104,5,t0801,2022-01-24
lubuskie,krośnieński,-,-,8,-,-,1.46,0,0,0,57,16,397,81,13,67,1,t0802,2022-01-24
lubuskie,międzyrzecki,-,-,30,-,-,5.23,0,0,0,84,15,561,130,40,89,1,t0803,2022-01-24
lubuskie,nowosolski,-,-,36,-,-,4.19,0,0,0,114,33,900,285,42,243,0,t0804,2022-01-24
lubuskie,słubicki,-,-,24,-,-,5.12,0,0,0,69,17,564,119,26,92,1,t0805,2022-01-24
lubuskie,strzelecko-drezdenecki,-,-,12,-,-,2.46,0,0,0,91,16,427,80,14,65,1,t0806,2022-01-24
lubuskie,sulęciński,-,-,7,-,-,1.99,0,0,0,39,2,322,86,13,72,1,t0807,2022-01-24
lubuskie,świebodziński,-,-,38,-,-,6.82,0,0,0,94,17,715,148,47,100,1,t0808,2022-01-24
lubuskie,zielonogórski,-,-,15,-,-,1.98,0,0,0,96,30,733,183,17,165,1,t0809,2022-01-24
lubuskie,żagański,-,-,46,-,-,5.85,1,0,1,134,13,590,213,52,153,8,t0810,2022-01-24
lubuskie,żarski,-,-,50,-,-,5.22,2,0,2,106,13,814,207,56,148,3,t0811,2022-01-24
lubuskie,wschowski,-,-,25,-,-,6.45,0,0,0,66,0,239,79,26,52,1,t0812,2022-01-24
lubuskie,Gorzów Wielkopolski,-,-,35,-,-,2.84,2,0,2,147,34,1083,274,42,227,5,t0861,2022-01-24
lubuskie,Zielona Góra,-,-,91,-,-,6.44,0,0,0,222,54,1631,548,111,425,12,t0862,2022-01-24
łódzkie,bełchatowski,-,-,113,-,-,10.03,1,0,1,260,51,4186,403,136,263,4,t1001,2022-01-24
łódzkie,kutnowski,-,-,50,-,-,5.2,0,0,0,215,28,2186,253,56,193,4,t1002,2022-01-24
łódzkie,łaski,-,-,29,-,-,5.82,0,0,0,111,10,1586,141,32,108,1,t1003,2022-01-24
łódzkie,łęczycki,-,-,34,-,-,6.86,2,1,1,103,8,807,212,38,170,4,t1004,2022-01-24
łódzkie,łowicki,-,-,71,-,-,9.12,7,2,5,152,9,1591,279,79,199,1,t1005,2022-01-24
łódzkie,łódzki wschodni,-,-,102,-,-,14.09,0,0,0,197,19,2078,369,115,249,5,t1006,2022-01-24
łódzkie,opoczyński,-,-,50,-,-,6.59,0,0,0,85,7,1258,222,54,161,7,t1007,2022-01-24
łódzkie,pabianicki,-,-,121,-,-,10.15,0,0,0,301,41,3519,473,140,327,6,t1008,2022-01-24
łódzkie,pajęczański,-,-,16,-,-,3.13,0,0,0,96,19,1477,65,18,47,0,t1009,2022-01-24
łódzkie,piotrkowski,-,-,75,-,-,8.21,1,0,1,189,10,2398,258,85,173,0,t1010,2022-01-24
łódzkie,poddębicki,-,-,31,-,-,7.55,0,0,0,82,6,790,147,39,106,2,t1011,2022-01-24
łódzkie,radomszczański,-,-,109,-,-,9.71,0,0,0,178,36,2792,394,129,265,0,t1012,2022-01-24
łódzkie,rawski,-,-,45,-,-,9.28,0,0,0,106,6,1198,134,48,84,2,t1013,2022-01-24
łódzkie,sieradzki,-,-,129,-,-,10.99,0,0,0,254,29,3020,453,152,296,5,t1014,2022-01-24
łódzkie,skierniewicki,-,-,34,-,-,8.91,0,0,0,60,15,1087,143,38,104,1,t1015,2022-01-24
łódzkie,tomaszowski,-,-,55,-,-,4.74,1,1,0,210,39,3183,323,66,255,2,t1016,2022-01-24
łódzkie,wieluński,-,-,12,-,-,1.58,0,0,0,221,28,2369,75,17,58,0,t1017,2022-01-24
łódzkie,wieruszowski,-,-,15,-,-,3.57,0,0,0,92,19,904,97,18,77,2,t1018,2022-01-24
łódzkie,zduńskowolski,-,-,58,-,-,8.76,0,0,0,134,21,2188,206,60,145,1,t1019,2022-01-24
łódzkie,zgierski,-,-,198,-,-,11.92,0,0,0,429,51,5313,932,232,685,15,t1020,2022-01-24
łódzkie,brzeziński,-,-,21,-,-,6.82,0,0,0,43,6,1224,104,23,81,0,t1021,2022-01-24
łódzkie,Łódź,-,-,943,-,-,13.92,14,0,14,1509,229,16395,3740,1118,2564,58,t1061,2022-01-24
łódzkie,Piotrków Trybunalski,-,-,73,-,-,10.03,1,0,1,166,3,1215,244,87,154,3,t1062,2022-01-24
łódzkie,Skierniewice,-,-,89,-,-,18.57,0,0,0,116,9,1854,271,102,169,0,t1063,2022-01-24
małopolskie,bocheński,-,-,176,-,-,16.45,0,0,0,192,88,1714,449,205,240,4,t1201,2022-01-24
małopolskie,brzeski,-,-,91,-,-,9.77,0,0,0,94,48,1324,255,109,146,0,t1202,2022-01-24
małopolskie,chrzanowski,-,-,169,-,-,13.61,4,4,0,283,49,1776,481,183,291,7,t1203,2022-01-24
małopolskie,dąbrowski,-,-,22,-,-,3.72,0,0,0,60,17,661,74,22,52,0,t1204,2022-01-24
małopolskie,gorlicki,-,-,61,-,-,5.61,0,0,0,142,27,1412,257,75,175,7,t1205,2022-01-24
małopolskie,krakowski,-,-,204,-,-,7.28,1,1,0,517,233,4297,824,234,580,10,t1206,2022-01-24
małopolskie,limanowski,-,-,83,-,-,6.29,4,2,2,118,61,1169,298,103,193,2,t1207,2022-01-24
małopolskie,miechowski,-,-,40,-,-,8.22,0,0,0,70,22,516,122,44,74,4,t1208,2022-01-24
małopolskie,myślenicki,-,-,95,-,-,7.43,2,2,0,246,134,1765,337,110,225,2,t1209,2022-01-24
małopolskie,nowosądecki,-,-,191,-,-,8.8,1,1,0,243,65,2245,622,212,408,2,t1210,2022-01-24
małopolskie,nowotarski,-,-,110,-,-,5.73,8,0,8,157,90,1328,528,133,380,15,t1211,2022-01-24
małopolskie,olkuski,-,-,105,-,-,9.47,2,1,1,237,56,1233,382,138,239,5,t1212,2022-01-24
małopolskie,oświęcimski,-,-,169,-,-,11.04,2,0,2,274,88,2630,470,190,276,4,t1213,2022-01-24
